Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,46.91,47.11,46.58,47.08,1618900,47.08
10-May-05,47.30,47.45,46.71,46.91,2161900,46.91
9-May-05,47.26,47.88,47.26,47.70,1895800,47.70
6-May-05,47.95,48.05,47.35,47.43,1671400,47.43
5-May-05,47.85,47.98,47.18,47.70,2437200,47.70
4-May-05,47.95,48.49,47.95,48.10,2589600,47.85
3-May-05,47.63,48.34,47.61,47.93,3093600,47.69
2-May-05,47.05,47.64,47.01,47.63,2816800,47.39
29-Apr-05,46.70,46.94,46.25,46.87,2999800,46.63
28-Apr-05,46.97,46.97,46.41,46.47,2898400,46.23
27-Apr-05,46.55,47.40,46.40,46.96,4177300,46.72
26-Apr-05,47.15,47.26,46.55,46.55,2792500,46.31
25-Apr-05,47.12,47.50,47.00,47.28,3042700,47.04
22-Apr-05,47.30,47.40,46.78,47.00,6366200,46.76
21-Apr-05,45.15,48.46,45.10,48.04,12869000,47.80
20-Apr-05,45.27,45.53,44.85,45.10,3697300,44.87
19-Apr-05,45.69,45.70,44.96,45.27,3547100,45.04
18-Apr-05,45.63,45.87,45.52,45.70,2133400,45.47
15-Apr-05,46.00,46.26,45.52,45.72,3138800,45.49
14-Apr-05,46.06,46.65,45.89,45.99,2557800,45.76
13-Apr-05,46.71,46.74,45.99,46.06,2841800,45.83
12-Apr-05,46.04,46.89,45.94,46.71,3131500,46.47
11-Apr-05,46.01,46.42,45.83,46.05,2855200,45.82
8-Apr-05,46.10,46.27,46.00,46.00,2319000,45.77
7-Apr-05,45.49,46.14,45.46,46.10,3672800,45.87
6-Apr-05,46.20,46.35,45.45,45.65,11066300,45.42
5-Apr-05,47.27,47.49,47.21,47.44,1861600,47.20
4-Apr-05,47.13,47.26,46.95,47.16,2021900,46.92
1-Apr-05,47.51,47.60,47.00,47.13,3149600,46.89
30-Mar-05,47.26,47.63,47.00,47.50,3186700,47.26
29-Mar-05,47.48,47.55,47.25,47.26,1899800,47.02
28-Mar-05,47.44,47.74,47.32,47.45,2090500,47.21
24-Mar-05,47.49,47.49,47.22,47.28,1921000,47.04
23-Mar-05,47.20,47.40,47.10,47.39,2639900,47.15
22-Mar-05,47.50,47.72,47.26,47.26,2013700,47.02
21-Mar-05,47.51,47.62,47.25,47.47,1617500,47.23
18-Mar-05,47.50,47.68,47.42,47.60,2756600,47.36
17-Mar-05,47.40,48.00,47.30,47.40,2437200,47.16
16-Mar-05,47.48,47.69,47.28,47.34,2243100,47.10
15-Mar-05,47.85,47.95,47.45,47.47,2392700,47.23
14-Mar-05,47.55,47.98,47.54,47.93,1636000,47.69
11-Mar-05,47.92,47.92,47.49,47.54,2195100,47.30
10-Mar-05,47.88,48.15,47.81,48.01,2279600,47.77
9-Mar-05,47.75,47.96,47.65,47.76,2875900,47.52
8-Mar-05,48.13,48.24,47.85,47.93,1811600,47.69
7-Mar-05,48.20,48.40,47.91,48.13,2472200,47.88
4-Mar-05,47.60,48.20,47.50,47.95,2483900,47.71
3-Mar-05,47.55,47.65,47.29,47.40,2624000,47.16
2-Mar-05,47.35,47.81,47.26,47.58,2279300,47.34
1-Mar-05,47.55,47.90,47.47,47.48,2204000,47.24
28-Feb-05,47.52,47.59,47.31,47.45,2987600,47.21
25-Feb-05,47.50,47.62,47.30,47.52,2305800,47.28
24-Feb-05,47.40,47.69,47.35,47.57,1879800,47.33
23-Feb-05,47.60,47.69,47.27,47.42,2430200,47.18
22-Feb-05,47.96,48.01,47.31,47.35,3155800,47.11
18-Feb-05,48.05,48.17,47.90,47.95,1884800,47.71
17-Feb-05,48.30,48.30,47.96,48.00,3796600,47.76
16-Feb-05,48.32,48.56,48.32,48.38,2637600,48.13
15-Feb-05,48.25,48.40,48.10,48.32,2980600,48.07
14-Feb-05,48.46,48.58,48.21,48.30,2655700,48.05
11-Feb-05,48.30,48.60,48.20,48.38,3837700,48.13
10-Feb-05,48.65,48.65,48.25,48.27,2806500,48.02
