Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,18.47,18.60,18.22,18.55,123160600,18.55
10-May-05,18.11,18.30,18.01,18.21,73244704,18.21
9-May-05,18.00,18.24,17.98,18.21,54768400,18.21
6-May-05,18.10,18.16,17.92,18.02,49220600,18.02
5-May-05,17.61,18.06,17.61,18.00,80440000,18.00
4-May-05,17.33,17.71,17.31,17.65,75896496,17.65
3-May-05,17.18,17.39,17.18,17.31,43707300,17.31
2-May-05,17.24,17.32,17.16,17.26,43564300,17.26
29-Apr-05,17.19,17.30,17.04,17.27,49386700,17.27
28-Apr-05,17.14,17.33,17.10,17.14,48957400,17.14
27-Apr-05,17.19,17.46,17.08,17.25,62447400,17.25
26-Apr-05,17.35,17.64,17.25,17.28,56444600,17.28
25-Apr-05,17.46,17.60,17.39,17.48,39358000,17.48
22-Apr-05,17.50,17.61,17.22,17.43,41057800,17.43
21-Apr-05,17.39,17.71,17.35,17.68,52371700,17.68
20-Apr-05,17.43,17.54,17.15,17.19,58411500,17.19
19-Apr-05,17.20,17.31,17.15,17.18,44281100,17.18
18-Apr-05,17.17,17.39,17.01,17.02,63901600,17.02
15-Apr-05,17.49,17.62,17.18,17.20,86961296,17.20
14-Apr-05,18.00,18.01,17.75,17.81,52373700,17.81
13-Apr-05,18.21,18.29,17.97,18.00,44917500,18.00
12-Apr-05,17.92,18.30,17.85,18.24,86773400,18.24
11-Apr-05,18.00,18.10,17.93,17.99,42853400,17.99
8-Apr-05,18.08,18.15,17.90,17.90,45389700,17.90
7-Apr-05,17.80,18.17,17.78,18.15,50647300,18.15
6-Apr-05,17.82,18.00,17.74,17.77,40116400,17.77
5-Apr-05,17.74,17.91,17.52,17.82,50130200,17.82
4-Apr-05,17.66,17.75,17.50,17.67,51926100,17.67
1-Apr-05,18.01,18.07,17.69,17.70,56370800,17.70
31-Mar-05,18.02,18.14,17.86,17.89,46338200,17.89
30-Mar-05,17.81,18.10,17.80,18.03,53086500,18.03
29-Mar-05,17.85,17.98,17.66,17.75,49790300,17.75
28-Mar-05,18.02,18.14,17.89,17.89,40633700,17.89
24-Mar-05,17.81,18.15,17.70,17.88,51460900,17.88
23-Mar-05,17.80,18.02,17.73,17.75,42848200,17.75
22-Mar-05,17.96,18.16,17.82,17.92,55769100,17.92
21-Mar-05,17.77,18.03,17.75,17.94,38427200,17.94
18-Mar-05,18.07,18.15,17.80,17.80,52249300,17.80
17-Mar-05,18.02,18.30,18.01,18.03,48988500,18.03
16-Mar-05,18.15,18.26,18.00,18.07,47912700,18.07
15-Mar-05,18.58,18.65,18.20,18.25,43168700,18.25
14-Mar-05,18.48,18.63,18.45,18.54,41102900,18.54
11-Mar-05,18.67,18.80,18.21,18.45,55821100,18.45
10-Mar-05,18.64,18.79,18.46,18.71,81350200,18.71
9-Mar-05,18.27,18.74,18.26,18.53,80748600,18.53
8-Mar-05,18.24,18.49,18.11,18.12,54072000,18.12
7-Mar-05,18.28,18.52,18.15,18.24,97495200,18.24
4-Mar-05,17.90,18.08,17.76,18.04,55641700,18.04
3-Mar-05,17.72,17.90,17.71,17.80,48778400,17.80
2-Mar-05,17.49,17.84,17.46,17.74,57781500,17.74
1-Mar-05,17.44,17.68,17.41,17.50,50503000,17.50
28-Feb-05,17.20,17.56,17.17,17.42,62138100,17.42
25-Feb-05,17.20,17.33,17.14,17.20,38126100,17.20
24-Feb-05,17.22,17.29,17.13,17.18,53681900,17.18
23-Feb-05,17.38,17.41,17.13,17.28,58968400,17.28
22-Feb-05,17.16,17.55,17.15,17.31,65804900,17.31
18-Feb-05,17.54,17.58,17.28,17.30,60417100,17.30
17-Feb-05,17.73,17.74,17.39,17.45,46135700,17.45
16-Feb-05,17.86,17.95,17.68,17.71,56805900,17.71
15-Feb-05,18.06,18.18,17.81,17.92,65160200,17.92
14-Feb-05,17.71,18.05,17.64,17.97,59189600,17.97
11-Feb-05,17.57,17.87,17.37,17.70,99165600,17.70
10-Feb-05,17.73,17.76,17.51,17.58,81179800,17.58
9-Feb-05,18.31,18.32,17.50,17.63,116920496,17.63
8-Feb-05,18.23,18.43,18.16,18.24,112368000,18.24
7-Feb-05,18.00,18.20,17.90,18.16,62682700,18.16
4-Feb-05,17.58,17.92,17.58,17.90,75320600,17.90
3-Feb-05,18.04,18.09,17.50,17.52,86470496,17.52
2-Feb-05,18.22,18.30,18.05,18.15,57884400,18.15
1-Feb-05,18.09,18.25,18.00,18.13,55135300,18.13
31-Jan-05,18.15,18.30,17.98,18.04,51573700,18.04
28-Jan-05,18.27,18.39,17.85,17.90,77990000,17.90
27-Jan-05,17.77,18.22,17.73,18.18,76947600,18.18
26-Jan-05,17.80,17.86,17.55,17.69,73530304,17.69
25-Jan-05,17.90,17.98,17.41,17.51,76495904,17.51
24-Jan-05,18.15,18.20,17.70,17.75,80477000,17.75
21-Jan-05,18.31,18.49,18.00,18.01,56209900,18.01
20-Jan-05,18.08,18.43,17.91,18.32,83539400,18.32
19-Jan-05,18.66,18.68,18.11,18.15,72873000,18.15
18-Jan-05,18.75,18.80,18.63,18.74,51416900,18.74
14-Jan-05,18.87,18.97,18.78,18.88,51197100,18.88
13-Jan-05,18.92,18.99,18.63,18.78,56893000,18.78
12-Jan-05,18.76,18.97,18.71,18.93,65081900,18.93
11-Jan-05,18.56,18.72,18.46,18.64,53236100,18.64
10-Jan-05,18.66,18.84,18.60,18.72,47183300,18.72
7-Jan-05,18.92,18.98,18.62,18.72,54415000,18.72
6-Jan-05,18.67,18.86,18.56,18.85,63790900,18.85
5-Jan-05,18.47,18.88,18.45,18.57,66100500,18.57
4-Jan-05,19.38,19.39,18.54,18.56,106241904,18.56
3-Jan-05,19.42,19.61,19.27,19.32,56725600,19.32
31-Dec-04,19.39,19.50,19.26,19.32,29132500,19.32
30-Dec-04,19.28,19.50,19.26,19.42,42589300,19.42
29-Dec-04,19.23,19.36,19.18,19.31,36831100,19.31
28-Dec-04,19.30,19.41,19.25,19.26,33600400,19.26
27-Dec-04,19.45,19.58,19.30,19.30,32600100,19.30
23-Dec-04,19.23,19.56,19.22,19.45,51235700,19.45
22-Dec-04,19.21,19.46,19.15,19.32,54832100,19.32
21-Dec-04,19.07,19.52,19.04,19.36,65443300,19.36
20-Dec-04,19.10,19.33,19.00,19.05,57026200,19.05
17-Dec-04,19.19,19.58,18.99,18.99,100599296,18.99
16-Dec-04,19.28,19.66,19.26,19.40,86874896,19.40
15-Dec-04,19.20,19.42,19.17,19.40,49847800,19.40
