Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,3.81,3.82,3.67,3.68,3594800,3.68
10-May-05,3.70,3.84,3.65,3.79,3691200,3.79
9-May-05,3.55,3.70,3.53,3.66,2334300,3.66
6-May-05,3.60,3.61,3.46,3.50,1794100,3.50
5-May-05,3.93,4.03,3.32,3.57,6144200,3.57
4-May-05,3.57,3.91,3.56,3.85,9275700,3.85
3-May-05,3.29,3.42,3.25,3.42,1996000,3.42
2-May-05,3.30,3.35,3.23,3.25,1866600,3.25
29-Apr-05,3.25,3.32,3.20,3.30,3115100,3.30
28-Apr-05,3.49,3.51,3.31,3.32,2343400,3.32
27-Apr-05,3.60,3.61,3.43,3.52,2592900,3.52
26-Apr-05,3.77,3.79,3.65,3.65,2434100,3.65
25-Apr-05,3.79,3.87,3.76,3.79,2834600,3.79
22-Apr-05,3.76,3.81,3.73,3.79,3594300,3.79
21-Apr-05,3.63,3.83,3.63,3.81,3336800,3.81
20-Apr-05,3.71,3.80,3.56,3.59,2914000,3.59
19-Apr-05,3.71,3.85,3.71,3.76,4562300,3.76
18-Apr-05,3.69,3.79,3.65,3.73,3391900,3.73
15-Apr-05,3.73,3.75,3.66,3.69,3538900,3.69
14-Apr-05,3.92,3.92,3.67,3.75,4853200,3.75
13-Apr-05,3.96,3.96,3.89,3.91,3355800,3.91
12-Apr-05,3.98,3.99,3.87,3.96,3565200,3.96
11-Apr-05,4.03,4.07,3.96,3.99,3644400,3.99
8-Apr-05,4.31,4.33,4.00,4.10,3104600,4.10
7-Apr-05,4.24,4.25,4.16,4.19,1748900,4.19
6-Apr-05,4.27,4.31,4.20,4.25,2038800,4.25
5-Apr-05,4.30,4.35,4.22,4.27,2432000,4.27
4-Apr-05,4.29,4.41,4.27,4.34,4216100,4.34
1-Apr-05,4.43,4.43,4.29,4.32,3106400,4.32
31-Mar-05,4.50,4.54,4.42,4.48,5374600,4.48
30-Mar-05,4.52,4.59,4.47,4.49,6457400,4.46
29-Mar-05,4.50,4.53,4.44,4.51,12746900,4.48
28-Mar-05,4.54,4.55,4.38,4.42,2908800,4.39
24-Mar-05,4.49,4.56,4.47,4.55,23265200,4.52
23-Mar-05,4.52,4.65,4.44,4.49,10042800,4.46
22-Mar-05,4.55,4.65,4.40,4.51,7228800,4.48
21-Mar-05,4.40,4.40,4.15,4.36,5507100,4.33
18-Mar-05,4.56,4.56,4.36,4.38,5968300,4.35
17-Mar-05,4.71,4.71,4.55,4.56,2867200,4.53
16-Mar-05,4.65,4.85,4.57,4.67,18422200,4.64
15-Mar-05,5.18,5.23,4.91,4.94,4441000,4.91
14-Mar-05,5.30,5.31,5.15,5.19,4293500,5.16
11-Mar-05,5.15,5.27,5.10,5.12,6250300,5.09
10-Mar-05,4.86,5.08,4.83,5.07,6421900,5.04
9-Mar-05,5.00,5.00,4.84,4.89,5965900,4.86
8-Mar-05,5.08,5.25,4.92,5.01,7019600,4.98
7-Mar-05,5.16,5.33,5.15,5.15,10992400,5.12
4-Mar-05,5.90,5.91,5.41,5.46,24524500,5.42
3-Mar-05,6.48,6.48,6.28,6.37,2607400,6.33
2-Mar-05,6.75,6.83,6.44,6.46,6859400,6.42
1-Mar-05,6.91,6.97,6.82,6.89,4309300,6.84
28-Feb-05,6.90,6.91,6.81,6.87,2678900,6.82
25-Feb-05,6.90,6.90,6.80,6.89,2385300,6.84
24-Feb-05,6.91,6.93,6.83,6.87,1576800,6.82
23-Feb-05,6.91,7.01,6.88,6.90,1789900,6.85
22-Feb-05,7.02,7.05,6.91,6.92,2766700,6.87
18-Feb-05,7.09,7.14,7.03,7.06,2544500,7.01
17-Feb-05,7.10,7.17,7.08,7.08,2363900,7.03
16-Feb-05,7.12,7.15,7.09,7.09,2147900,7.04
15-Feb-05,7.15,7.19,7.12,7.13,2083500,7.08
14-Feb-05,7.21,7.25,7.13,7.13,2051600,7.08
11-Feb-05,7.27,7.31,7.23,7.26,2117500,7.21
10-Feb-05,7.44,7.46,7.29,7.30,1315900,7.25
9-Feb-05,7.54,7.55,7.38,7.41,1617000,7.36
8-Feb-05,7.51,7.58,7.42,7.50,4189100,7.45
7-Feb-05,7.55,7.59,7.49,7.55,1401400,7.50
4-Feb-05,7.45,7.64,7.45,7.63,2145900,7.58
3-Feb-05,7.63,7.64,7.45,7.45,952400,7.40
2-Feb-05,7.57,7.63,7.52,7.63,1353900,7.58
1-Feb-05,7.51,7.60,7.50,7.52,1244000,7.47
31-Jan-05,7.58,7.63,7.50,7.59,1548900,7.54
28-Jan-05,7.52,7.55,7.41,7.50,1755400,7.45
27-Jan-05,7.60,7.63,7.51,7.57,1763700,7.52
26-Jan-05,7.51,7.62,7.49,7.60,3034500,7.55
25-Jan-05,7.57,7.70,7.48,7.50,1929200,7.45
24-Jan-05,7.63,7.67,7.55,7.58,2637200,7.53
21-Jan-05,7.80,7.81,7.61,7.64,3603400,7.59
20-Jan-05,7.89,8.00,7.77,7.81,3402200,7.76
19-Jan-05,7.98,8.04,7.91,7.94,4728900,7.89
18-Jan-05,8.00,8.04,7.93,7.97,3865700,7.92
14-Jan-05,7.99,8.09,7.93,8.00,2094300,7.95
13-Jan-05,8.06,8.12,7.97,7.99,2400400,7.94
12-Jan-05,8.14,8.14,8.01,8.12,1346600,8.07
11-Jan-05,8.26,8.26,8.06,8.09,2193900,8.04
10-Jan-05,8.28,8.39,8.13,8.22,1468600,8.17
7-Jan-05,8.45,8.48,8.31,8.32,1355200,8.26
6-Jan-05,8.45,8.51,8.40,8.44,2947900,8.38
5-Jan-05,8.57,8.64,8.36,8.40,2689200,8.34
4-Jan-05,8.76,8.76,8.53,8.55,2993600,8.49
3-Jan-05,9.03,9.07,8.79,8.83,2418700,8.77
31-Dec-04,9.00,9.11,9.00,9.02,1515700,8.96
30-Dec-04,8.94,9.05,8.93,9.01,1974300,8.95
29-Dec-04,8.77,8.97,8.76,8.95,1833800,8.89
28-Dec-04,8.63,8.80,8.63,8.76,1772200,8.70
27-Dec-04,8.55,8.69,8.53,8.62,1624700,8.56
23-Dec-04,8.43,8.56,8.40,8.55,1632800,8.49
22-Dec-04,8.45,8.67,8.42,8.52,2428400,8.46
21-Dec-04,8.40,8.52,8.33,8.47,3034100,8.41
20-Dec-04,8.38,8.54,8.38,8.44,2585500,8.38
17-Dec-04,8.31,8.50,8.30,8.50,4079500,8.44
16-Dec-04,8.29,8.48,8.25,8.45,4098100,8.39
15-Dec-04,8.38,8.53,8.37,8.45,3819100,8.32
14-Dec-04,8.25,8.54,8.19,8.45,4403800,8.32
13-Dec-04,8.30,8.37,8.10,8.28,5845500,8.16
