Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,31.74,31.74,30.75,31.00,7913600,31.00
10-May-05,31.39,32.08,31.30,31.53,9108600,31.53
9-May-05,30.76,31.41,30.66,31.33,11380000,31.33
6-May-05,30.85,31.38,30.55,30.76,11673500,30.76
5-May-05,32.84,33.20,30.79,30.86,32298300,30.86
4-May-05,30.50,32.96,30.11,32.80,60210000,32.80
3-May-05,27.66,27.86,27.34,27.77,8970800,27.77
2-May-05,26.73,27.21,26.61,27.16,6276500,27.16
29-Apr-05,26.76,27.02,26.53,26.68,8539700,26.68
28-Apr-05,26.66,26.82,26.37,26.75,8782400,26.75
27-Apr-05,26.40,26.97,26.22,26.96,10175900,26.96
26-Apr-05,26.75,26.75,26.21,26.52,9007300,26.52
25-Apr-05,26.77,26.79,26.02,26.75,10154800,26.75
22-Apr-05,25.82,26.79,25.80,26.74,10882700,26.74
21-Apr-05,26.14,26.34,25.59,26.01,11947600,26.01
20-Apr-05,25.90,26.10,25.17,25.82,14106100,25.82
19-Apr-05,26.18,26.41,24.67,26.09,27997900,26.09
18-Apr-05,25.78,26.53,25.61,26.19,18522600,26.19
15-Apr-05,27.05,27.09,25.60,25.60,24085200,25.60
14-Apr-05,28.32,28.33,26.47,26.66,27375200,26.66
13-Apr-05,28.77,28.82,28.27,28.33,7392200,28.33
12-Apr-05,29.00,29.20,28.67,29.00,8648700,29.00
11-Apr-05,29.20,29.26,28.56,29.25,9481200,29.25
8-Apr-05,30.26,30.29,29.46,29.50,8540900,29.50
7-Apr-05,29.50,30.65,29.39,30.53,10429000,30.53
6-Apr-05,29.32,30.03,29.15,29.86,8233900,29.86
5-Apr-05,29.78,29.78,28.92,29.04,7354500,29.04
4-Apr-05,29.95,29.95,29.00,29.05,9361600,29.05
1-Apr-05,29.72,30.19,29.15,29.38,16562800,29.38
31-Mar-05,29.25,29.54,28.99,29.39,10544000,29.39
30-Mar-05,28.69,29.50,28.62,29.50,12222900,29.50
29-Mar-05,28.54,28.97,28.46,28.61,9763900,28.61
28-Mar-05,29.17,29.25,28.25,28.37,12934800,28.37
24-Mar-05,28.85,29.76,28.79,29.30,14101100,29.30
23-Mar-05,29.54,29.56,28.39,28.66,25065500,28.66
22-Mar-05,29.29,30.05,29.04,29.54,33609500,29.54
21-Mar-05,28.50,29.95,28.00,29.69,30111100,29.69
18-Mar-05,28.40,28.74,28.03,28.62,21216400,28.62
17-Mar-05,29.00,29.01,27.98,28.35,29612100,28.35
16-Mar-05,30.00,30.25,29.00,29.01,63710500,29.01
15-Mar-05,34.33,34.46,33.69,33.72,5615000,33.72
14-Mar-05,34.34,34.34,34.11,34.33,4750000,34.33
11-Mar-05,34.61,34.74,34.33,34.34,5939100,34.34
10-Mar-05,34.08,34.72,34.00,34.61,8926600,34.61
9-Mar-05,34.44,34.44,33.91,34.08,14556900,34.08
8-Mar-05,34.92,34.95,34.42,34.44,8636600,34.44
7-Mar-05,34.89,34.98,34.71,34.92,6925000,34.92
4-Mar-05,35.35,35.38,34.77,34.84,8769100,34.84
3-Mar-05,35.35,35.45,35.15,35.17,6122600,35.17
2-Mar-05,35.60,35.86,35.20,35.30,11304100,35.30
1-Mar-05,35.67,36.19,35.42,35.98,10242600,35.98
28-Feb-05,36.10,36.11,35.01,35.65,15125100,35.65
25-Feb-05,36.69,36.97,36.48,36.89,3912300,36.89
24-Feb-05,36.76,36.76,36.25,36.69,4419800,36.69
23-Feb-05,36.95,37.15,36.55,36.76,4594200,36.76
22-Feb-05,37.30,37.30,36.75,36.76,6360900,36.76
18-Feb-05,37.21,37.30,37.01,37.30,4321600,37.30
17-Feb-05,37.06,37.52,37.02,37.21,5670400,37.21
16-Feb-05,37.20,37.24,36.85,37.18,3888800,37.18
15-Feb-05,37.30,37.33,37.00,37.22,9158000,37.22
14-Feb-05,37.55,37.77,37.21,37.24,5806600,37.24
11-Feb-05,36.73,37.17,36.41,37.14,4461100,37.14
10-Feb-05,36.90,36.92,36.50,36.68,4884100,36.68
9-Feb-05,37.07,37.21,36.52,36.60,8548500,36.60
8-Feb-05,37.83,37.90,37.11,37.49,6082900,36.99
7-Feb-05,37.30,37.88,37.30,37.83,5358100,37.33
4-Feb-05,37.31,37.41,36.96,37.22,4439400,36.72
3-Feb-05,37.57,37.57,37.12,37.31,4101300,36.81
2-Feb-05,37.03,37.70,37.00,37.55,6694400,37.05
1-Feb-05,36.92,37.01,36.52,36.88,4764400,36.39
31-Jan-05,36.89,36.90,36.64,36.81,5609200,36.32
28-Jan-05,36.71,36.85,36.45,36.64,5018300,36.15
27-Jan-05,36.95,37.00,36.44,36.70,4697100,36.21
26-Jan-05,36.54,37.02,36.29,36.98,6890000,36.49
25-Jan-05,36.51,36.81,36.42,36.50,6828800,36.01
24-Jan-05,35.96,36.77,35.96,36.42,9323400,35.93
21-Jan-05,36.17,36.36,35.85,35.96,7821700,35.48
20-Jan-05,36.56,36.71,36.16,36.25,12139100,35.77
19-Jan-05,37.01,37.47,36.47,36.71,11696800,36.22
