Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,36.42,36.64,35.85,36.52,7089800,36.52
10-May-05,36.68,36.89,36.24,36.46,7924800,36.46
9-May-05,37.00,37.34,36.98,37.25,5995300,37.25
6-May-05,37.10,37.48,37.04,37.16,7768300,37.16
5-May-05,36.98,37.43,36.66,36.85,5553100,36.85
4-May-05,36.82,37.20,36.66,37.10,7092700,37.10
3-May-05,35.70,37.09,35.68,36.75,9662900,36.75
2-May-05,35.67,36.40,35.54,36.26,8223300,36.26
29-Apr-05,35.25,35.49,34.56,35.37,10155600,35.37
28-Apr-05,35.75,35.86,34.89,35.09,11298200,35.09
27-Apr-05,36.01,36.59,35.88,36.03,7256500,36.03
26-Apr-05,36.06,36.77,36.01,36.20,5496000,36.20
25-Apr-05,36.02,36.59,36.00,36.20,6150500,36.20
22-Apr-05,36.67,36.67,35.67,36.02,7728700,36.02
21-Apr-05,35.90,36.67,35.90,36.67,8073600,36.67
20-Apr-05,36.01,36.09,35.28,35.60,11172100,35.60
19-Apr-05,36.70,36.74,36.22,36.46,6016300,36.46
18-Apr-05,36.11,36.83,36.03,36.73,8421300,36.73
15-Apr-05,36.57,36.95,35.75,36.11,12597700,36.11
14-Apr-05,37.77,37.77,37.08,37.15,9794500,37.15
13-Apr-05,38.40,38.56,37.77,37.90,6411800,37.90
12-Apr-05,37.83,38.74,37.63,38.55,7174900,38.55
11-Apr-05,37.55,37.99,37.36,37.74,6325500,37.74
8-Apr-05,37.51,37.78,37.30,37.48,8287200,37.48
7-Apr-05,37.61,37.70,37.23,37.40,9925200,37.40
6-Apr-05,38.14,38.31,37.70,37.79,5966400,37.79
5-Apr-05,37.70,38.35,37.47,38.23,7168400,38.23
4-Apr-05,37.55,38.05,37.31,37.91,7878700,37.91
1-Apr-05,38.40,38.75,36.96,37.60,12149300,37.60
31-Mar-05,38.18,38.64,38.10,38.24,6665400,38.24
30-Mar-05,37.85,38.42,37.83,38.15,6376800,38.15
29-Mar-05,38.40,38.65,37.66,37.69,8156400,37.69
28-Mar-05,38.30,38.79,38.20,38.59,6300500,38.59
24-Mar-05,37.69,38.33,37.60,38.03,7585400,38.03
23-Mar-05,37.54,37.97,37.44,37.70,13465500,37.70
22-Mar-05,38.00,38.38,37.82,37.82,7509000,37.82
21-Mar-05,38.64,38.67,37.51,37.99,11310900,37.99
18-Mar-05,38.92,39.10,38.69,38.88,11023500,38.88
17-Mar-05,38.79,39.01,38.52,38.91,6771300,38.91
16-Mar-05,39.46,39.84,38.66,38.88,9594200,38.88
15-Mar-05,39.65,39.99,39.55,39.76,7213700,39.76
14-Mar-05,39.60,39.67,38.76,39.47,8673000,39.47
11-Mar-05,39.80,40.00,39.36,39.42,5837300,39.42
10-Mar-05,39.41,39.89,39.41,39.89,5574900,39.89
9-Mar-05,39.84,39.90,39.48,39.49,7951000,39.49
8-Mar-05,39.95,40.14,39.85,39.97,5578000,39.97
7-Mar-05,40.01,40.27,39.79,39.88,6808200,39.78
4-Mar-05,39.95,40.15,39.70,40.09,5639700,39.99
3-Mar-05,39.99,40.15,39.70,39.72,6993800,39.62
