Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,10.50,10.53,10.38,10.49,4230500,10.49
10-May-05,10.46,10.54,10.43,10.50,10844100,10.50
9-May-05,10.46,10.54,10.40,10.50,9049900,10.50
6-May-05,10.44,10.47,10.38,10.40,5853600,10.40
5-May-05,10.33,10.47,10.32,10.43,12968500,10.43
4-May-05,10.06,10.35,10.05,10.35,10371100,10.35
3-May-05,10.05,10.08,10.02,10.04,8307600,10.04
2-May-05,10.04,10.10,10.01,10.04,10857300,10.04
29-Apr-05,10.11,10.17,10.04,10.04,13236300,10.04
28-Apr-05,10.19,10.19,10.04,10.09,14403600,10.09
27-Apr-05,10.15,10.18,10.13,10.15,7601100,10.15
26-Apr-05,10.21,10.25,10.16,10.18,7421300,10.18
25-Apr-05,10.28,10.30,10.24,10.24,5995500,10.24
22-Apr-05,10.42,10.43,10.27,10.29,7007500,10.29
21-Apr-05,10.30,10.44,10.30,10.42,6022900,10.42
20-Apr-05,10.29,10.31,10.24,10.26,5341800,10.26
19-Apr-05,10.28,10.34,10.28,10.30,5470400,10.30
18-Apr-05,10.25,10.27,10.21,10.25,6612400,10.25
15-Apr-05,10.39,10.39,10.25,10.26,12670400,10.26
14-Apr-05,10.41,10.42,10.33,10.40,5786400,10.40
13-Apr-05,10.41,10.43,10.36,10.38,3437000,10.38
12-Apr-05,10.38,10.49,10.34,10.42,3111300,10.42
11-Apr-05,10.40,10.45,10.36,10.40,4252800,10.40
8-Apr-05,10.43,10.49,10.38,10.40,3072000,10.40
7-Apr-05,10.35,10.48,10.34,10.42,3767800,10.42
6-Apr-05,10.35,10.44,10.33,10.38,8486400,10.38
5-Apr-05,10.30,10.40,10.28,10.36,7711200,10.36
4-Apr-05,10.35,10.48,10.19,10.35,7744200,10.35
1-Apr-05,10.40,10.46,10.33,10.35,5314600,10.35
31-Mar-05,10.25,10.41,10.20,10.37,5292800,10.37
30-Mar-05,10.23,10.30,10.15,10.25,6027500,10.25
29-Mar-05,10.20,10.30,10.16,10.16,6854400,10.16
28-Mar-05,10.27,10.36,10.24,10.26,4846200,10.26
24-Mar-05,10.36,10.43,10.23,10.26,3594700,10.26
23-Mar-05,10.39,10.41,10.27,10.33,5801100,10.33
22-Mar-05,10.57,10.63,10.39,10.43,5815500,10.43
21-Mar-05,10.58,10.67,10.44,10.56,6256300,10.56
18-Mar-05,10.55,10.62,10.50,10.56,6997200,10.56
17-Mar-05,10.70,10.71,10.51,10.56,7081300,10.56
16-Mar-05,10.50,10.68,10.50,10.56,12708000,10.56
15-Mar-05,10.62,10.68,10.41,10.50,19116700,10.50
14-Mar-05,10.23,10.36,10.14,10.23,5189100,10.23
11-Mar-05,10.23,10.33,10.22,10.25,5658900,10.25
10-Mar-05,10.28,10.32,10.21,10.23,3551600,10.23
9-Mar-05,10.30,10.32,10.19,10.29,6098900,10.29
8-Mar-05,10.30,10.34,10.19,10.28,3384800,10.28
7-Mar-05,10.15,10.33,10.15,10.29,5333500,10.29
4-Mar-05,10.22,10.24,10.13,10.15,7344200,10.15
3-Mar-05,10.23,10.32,10.15,10.15,9510000,10.15
2-Mar-05,10.03,10.27,10.02,10.17,8845700,10.17
1-Mar-05,10.11,10.19,10.06,10.07,7294400,10.07
28-Feb-05,10.13,10.20,10.07,10.14,4596300,10.14
25-Feb-05,10.04,10.17,10.02,10.11,5024500,10.11
24-Feb-05,10.04,10.25,10.00,10.06,5101900,10.06
23-Feb-05,10.09,10.13,9.97,10.05,7883600,10.05
22-Feb-05,10.16,10.22,10.02,10.04,9541300,10.04
18-Feb-05,10.29,10.29,10.19,10.20,5592500,10.20
17-Feb-05,10.28,10.35,10.28,10.29,5236300,10.29
16-Feb-05,10.28,10.36,10.23,10.29,7025100,10.29
15-Feb-05,10.24,10.42,10.22,10.29,9282800,10.29
14-Feb-05,10.24,10.34,10.20,10.27,7044000,10.27
11-Feb-05,10.30,10.33,10.23,10.24,8954100,10.24
10-Feb-05,10.43,10.43,10.30,10.31,11074000,10.31
9-Feb-05,10.45,10.46,10.34,10.38,9656100,10.38
8-Feb-05,10.48,10.59,10.43,10.44,4107600,10.44
7-Feb-05,10.45,10.53,10.40,10.51,3758900,10.51
4-Feb-05,10.33,10.48,10.33,10.48,7360200,10.48
3-Feb-05,10.39,10.44,10.31,10.37,6156500,10.37
2-Feb-05,10.37,10.48,10.36,10.44,7946200,10.44
1-Feb-05,10.54,10.59,10.32,10.36,9022700,10.36
31-Jan-05,10.42,10.50,10.40,10.44,7717600,10.44
28-Jan-05,10.44,10.44,10.30,10.42,5443400,10.42
27-Jan-05,10.48,10.54,10.36,10.41,5418100,10.41
26-Jan-05,10.48,10.55,10.45,10.52,5801700,10.52
25-Jan-05,10.50,10.56,10.46,10.47,5949800,10.47
24-Jan-05,10.56,10.59,10.49,10.51,10278500,10.51
21-Jan-05,10.56,10.72,10.52,10.60,6877400,10.60
20-Jan-05,10.47,10.59,10.43,10.52,8381000,10.52
19-Jan-05,10.40,10.57,10.38,10.50,9354200,10.50
18-Jan-05,10.30,10.40,10.15,10.38,10883600,10.38
14-Jan-05,10.41,10.44,10.35,10.40,5708800,10.40
13-Jan-05,10.48,10.54,10.34,10.41,11964700,10.41
12-Jan-05,10.53,10.58,10.43,10.50,6730800,10.50
11-Jan-05,10.61,10.61,10.50,10.53,7227100,10.53
10-Jan-05,10.61,10.70,10.57,10.61,8919200,10.61
7-Jan-05,10.60,10.63,10.51,10.56,7502000,10.56
6-Jan-05,10.54,10.65,10.52,10.56,5378500,10.56
5-Jan-05,10.66,10.75,10.51,10.51,9437000,10.51
4-Jan-05,10.81,10.93,10.60,10.69,7056600,10.69
3-Jan-05,10.80,10.91,10.78,10.80,10054400,10.80
31-Dec-04,10.97,11.05,10.92,10.98,5220400,10.98
30-Dec-04,10.96,11.02,10.91,10.99,4765900,10.99
29-Dec-04,10.97,11.04,10.94,10.95,6805300,10.95
28-Dec-04,10.94,11.07,10.91,11.05,7482200,11.05
27-Dec-04,10.94,11.03,10.89,10.98,5521300,10.98
23-Dec-04,10.84,10.93,10.81,10.90,6984100,10.90
22-Dec-04,10.80,10.93,10.76,10.84,6384000,10.84
21-Dec-04,10.75,11.03,10.75,10.88,13719100,10.88
20-Dec-04,10.78,10.84,10.67,10.68,4402200,10.68
17-Dec-04,10.76,10.86,10.75,10.80,4463900,10.80
16-Dec-04,10.79,10.97,10.76,10.86,7857500,10.86
15-Dec-04,10.69,10.89,10.67,10.88,7394800,10.88
14-Dec-04,10.68,10.81,10.60,10.73,4491900,10.73
13-Dec-04,10.78,10.83,10.53,10.69,5723300,10.69
10-Dec-04,11.07,11.21,10.63,10.78,5924700,10.78
9-Dec-04,10.80,10.83,10.73,10.77,8679500,10.77
8-Dec-04,10.77,10.80,10.71,10.76,10138900,10.76
7-Dec-04,10.57,10.79,10.56,10.77,7704300,10.77
6-Dec-04,10.36,10.64,10.35,10.58,5189400,10.58
3-Dec-04,10.39,10.45,10.35,10.39,5564600,10.39
2-Dec-04,10.40,10.55,10.38,10.39,10981600,10.39
1-Dec-04,10.33,10.73,10.32,10.49,8418400,10.49
30-Nov-04,10.50,10.50,10.31,10.33,7105700,10.33
29-Nov-04,10.58,10.62,10.36,10.50,3821300,10.50
26-Nov-04,10.62,10.62,10.45,10.61,1740700,10.61
24-Nov-04,10.45,10.62,10.44,10.57,4206200,10.57
23-Nov-04,10.43,10.52,10.42,10.49,4431000,10.49
22-Nov-04,10.28,10.46,10.15,10.43,6537000,10.43
19-Nov-04,10.37,10.41,10.25,10.28,6600400,10.28
18-Nov-04,10.41,10.46,10.32,10.37,7304700,10.37
17-Nov-04,10.39,10.48,10.36,10.44,8825100,10.44
16-Nov-04,10.28,10.46,10.15,10.35,13962300,10.35
15-Nov-04,10.04,10.26,10.00,10.25,14285800,10.25
12-Nov-04,9.88,10.10,9.78,10.03,9932000,10.03
11-Nov-04,9.89,9.91,9.84,9.85,4959000,9.85
10-Nov-04,9.75,9.90,9.72,9.86,9198400,9.86
9-Nov-04,9.75,9.86,9.63,9.70,11170600,9.70
8-Nov-04,9.64,9.64,9.47,9.51,5627700,9.51
5-Nov-04,9.49,9.64,9.43,9.63,9838900,9.63
4-Nov-04,9.38,9.49,9.32,9.49,12490300,9.49
3-Nov-04,9.21,9.28,9.13,9.25,9783700,9.25
2-Nov-04,8.89,9.21,8.89,9.15,14927900,9.15
1-Nov-04,8.95,8.97,8.87,8.90,2265400,8.90
29-Oct-04,8.83,8.95,8.83,8.92,3893400,8.92
28-Oct-04,8.84,8.89,8.79,8.89,4448100,8.89
27-Oct-04,8.79,8.87,8.77,8.81,3661800,8.81
26-Oct-04,8.75,8.82,8.73,8.80,6452800,8.80
25-Oct-04,8.74,8.78,8.72,8.75,4071900,8.75
22-Oct-04,8.83,8.88,8.76,8.77,2859800,8.77
21-Oct-04,8.79,8.85,8.78,8.82,4678300,8.82
20-Oct-04,8.73,8.81,8.72,8.79,5116100,8.79
19-Oct-04,8.79,8.80,8.75,8.75,7559300,8.75
18-Oct-04,8.73,8.81,8.72,8.75,5692200,8.75
15-Oct-04,8.70,8.76,8.68,8.75,6392300,8.75
14-Oct-04,8.75,8.77,8.68,8.70,9508800,8.70
13-Oct-04,8.79,8.81,8.74,8.75,4896900,8.75
12-Oct-04,8.80,8.80,8.72,8.75,4500700,8.75
11-Oct-04,8.78,8.81,8.74,8.81,4678400,8.81
8-Oct-04,8.75,8.81,8.71,8.75,4245100,8.75
7-Oct-04,8.78,8.82,8.71,8.72,4749400,8.72
6-Oct-04,8.78,8.82,8.74,8.80,6103300,8.80
5-Oct-04,8.82,8.83,8.74,8.78,5699300,8.78
4-Oct-04,9.30,9.30,8.72,8.81,8517100,8.81
1-Oct-04,8.74,8.82,8.73,8.77,7810000,8.77
30-Sep-04,8.59,8.73,8.59,8.72,11887700,8.72
29-Sep-04,8.59,8.67,8.58,8.66,7982700,8.66
28-Sep-04,8.63,8.67,8.58,8.60,5526000,8.60
27-Sep-04,8.61,8.66,8.53,8.64,8243000,8.64
24-Sep-04,8.59,8.64,8.52,8.60,7967400,8.60
23-Sep-04,8.60,8.64,8.57,8.58,5250800,8.58
22-Sep-04,8.67,8.67,8.56,8.61,8229100,8.61
21-Sep-04,8.73,8.73,8.65,8.67,6939400,8.67
20-Sep-04,8.71,8.80,8.69,8.73,4972200,8.73
