Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,3.81,3.98,3.75,3.97,44797200,3.97
10-May-05,3.84,3.85,3.73,3.79,28814300,3.79
9-May-05,3.85,3.89,3.77,3.85,30937800,3.85
6-May-05,3.85,3.88,3.73,3.86,26689700,3.86
5-May-05,3.88,3.88,3.76,3.83,22990000,3.83
4-May-05,3.86,3.90,3.83,3.87,30002700,3.87
3-May-05,3.75,3.88,3.74,3.82,56082300,3.82
2-May-05,3.71,3.80,3.66,3.76,41356000,3.76
29-Apr-05,3.91,3.98,3.59,3.62,153504304,3.62
28-Apr-05,3.52,3.58,3.42,3.44,38893500,3.44
27-Apr-05,3.50,3.58,3.45,3.54,31365100,3.54
26-Apr-05,3.54,3.56,3.48,3.48,24535000,3.48
25-Apr-05,3.52,3.57,3.51,3.52,20655600,3.52
22-Apr-05,3.59,3.59,3.44,3.49,26971900,3.49
21-Apr-05,3.49,3.60,3.46,3.56,41954900,3.56
20-Apr-05,3.59,3.59,3.48,3.50,38535400,3.50
19-Apr-05,3.59,3.64,3.54,3.56,40016400,3.56
18-Apr-05,3.60,3.62,3.46,3.57,67577296,3.57
15-Apr-05,3.75,3.80,3.59,3.66,79454304,3.66
14-Apr-05,4.02,4.03,3.87,3.96,49450700,3.96
13-Apr-05,4.04,4.06,4.00,4.02,21112500,4.02
12-Apr-05,4.02,4.08,3.97,4.06,36736900,4.06
11-Apr-05,4.10,4.10,4.02,4.05,25609700,4.05
8-Apr-05,4.11,4.16,4.04,4.11,16938300,4.11
7-Apr-05,4.00,4.12,4.00,4.12,25523400,4.12
6-Apr-05,4.04,4.05,3.97,4.02,27710500,4.02
5-Apr-05,4.04,4.06,3.99,4.02,19722100,4.02
4-Apr-05,4.01,4.07,3.99,4.02,24212800,4.02
1-Apr-05,4.07,4.09,4.02,4.05,22362900,4.05
31-Mar-05,4.09,4.10,4.02,4.04,32922700,4.04
30-Mar-05,4.08,4.15,4.03,4.09,31032600,4.09
