Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,18.83,18.84,18.55,18.79,2838000,18.79
10-May-05,18.96,18.96,18.74,18.86,4730700,18.86
9-May-05,18.92,18.98,18.78,18.92,3027100,18.92
6-May-05,19.10,19.11,18.85,18.94,3300100,18.94
5-May-05,19.13,19.13,18.84,19.05,5650900,19.05
4-May-05,19.15,19.23,19.05,19.12,8649000,19.12
3-May-05,19.15,19.21,19.06,19.17,6059900,19.17
2-May-05,19.24,19.37,19.03,19.03,6575800,19.03
29-Apr-05,19.13,19.27,18.99,19.13,5869400,19.13
28-Apr-05,18.99,19.17,18.84,19.06,8779400,19.06
27-Apr-05,18.76,19.05,18.55,19.00,6685300,19.00
26-Apr-05,18.88,18.91,18.79,18.80,3695800,18.80
25-Apr-05,18.86,19.05,18.79,18.84,3413400,18.84
22-Apr-05,18.68,18.82,18.53,18.73,2129400,18.73
21-Apr-05,18.63,18.88,18.55,18.75,2793900,18.75
20-Apr-05,18.70,18.78,18.36,18.43,2361500,18.43
19-Apr-05,18.68,18.80,18.61,18.69,5480100,18.69
18-Apr-05,18.60,18.78,18.47,18.68,6240400,18.68
15-Apr-05,18.92,18.98,18.41,18.46,3919500,18.46
14-Apr-05,19.18,19.30,18.96,18.98,4646600,18.98
13-Apr-05,19.25,19.36,19.16,19.20,6721900,19.20
12-Apr-05,19.17,19.30,19.12,19.24,5853000,19.24
11-Apr-05,19.19,19.33,19.13,19.15,3879300,19.15
8-Apr-05,19.12,19.31,19.12,19.23,9888000,19.23
7-Apr-05,19.18,19.38,19.14,19.14,4967500,19.14
6-Apr-05,19.26,19.39,19.14,19.17,4080000,19.17
5-Apr-05,18.88,19.34,18.85,19.21,11807700,19.21
4-Apr-05,18.62,18.85,18.62,18.78,5889200,18.78
1-Apr-05,18.77,18.87,18.57,18.66,3471900,18.66
31-Mar-05,18.77,18.79,18.63,18.75,4802500,18.75
30-Mar-05,18.51,18.74,18.51,18.70,4891400,18.70
29-Mar-05,18.64,18.85,18.41,18.47,3924800,18.47
28-Mar-05,18.79,19.20,18.77,18.82,3482200,18.58
24-Mar-05,18.70,18.85,18.59,18.71,3075800,18.47
23-Mar-05,18.68,19.00,18.61,18.73,5076600,18.49
22-Mar-05,18.73,18.84,18.60,18.60,2559300,18.36
21-Mar-05,18.77,18.87,18.61,18.73,2767800,18.49
18-Mar-05,18.85,18.92,18.50,18.85,5159500,18.61
17-Mar-05,18.83,18.90,18.60,18.88,3198200,18.64
16-Mar-05,19.01,19.12,18.78,18.80,3181100,18.56
15-Mar-05,19.40,19.44,19.01,19.07,2375000,18.83
14-Mar-05,19.27,19.43,19.26,19.42,3425100,19.17
11-Mar-05,19.37,19.48,19.28,19.35,2088500,19.11
10-Mar-05,19.40,19.55,19.32,19.39,2377500,19.14
9-Mar-05,19.44,19.54,19.28,19.39,4034500,19.14
8-Mar-05,19.80,19.80,19.45,19.50,4707200,19.25
7-Mar-05,19.83,19.90,19.70,19.70,2989700,19.45
4-Mar-05,19.78,19.92,19.68,19.85,2922500,19.60
3-Mar-05,19.66,19.79,19.58,19.79,2741000,19.54
2-Mar-05,19.64,19.79,19.60,19.63,4051600,19.38
1-Mar-05,19.38,19.70,19.38,19.63,4959800,19.38
28-Feb-05,19.44,19.55,19.34,19.43,6589300,19.18
25-Feb-05,19.29,19.51,19.16,19.46,4231500,19.21
24-Feb-05,19.26,19.43,19.22,19.38,4215200,19.13
23-Feb-05,19.09,19.41,19.01,19.32,6427100,19.08
22-Feb-05,19.29,19.68,18.87,18.87,10921100,18.63
18-Feb-05,19.42,19.51,19.33,19.41,3793200,19.16
17-Feb-05,19.46,19.56,19.30,19.42,5835100,19.17
16-Feb-05,19.55,19.65,19.40,19.45,4921000,19.20
15-Feb-05,19.57,19.71,19.42,19.55,6438100,19.30
14-Feb-05,19.40,19.60,19.24,19.42,11140200,19.17
11-Feb-05,19.38,19.51,19.21,19.37,5606300,19.13
10-Feb-05,19.55,19.58,19.30,19.38,6326100,19.13
9-Feb-05,19.75,19.76,19.57,19.60,5599900,19.35
8-Feb-05,19.60,19.81,19.59,19.78,7430700,19.53
7-Feb-05,19.68,19.80,19.50,19.65,6431100,19.40
4-Feb-05,19.64,19.83,19.53,19.80,11847400,19.55
3-Feb-05,19.62,19.79,19.50,19.75,11395800,19.50
2-Feb-05,19.14,19.60,19.12,19.60,21518200,19.35
1-Feb-05,19.22,19.26,19.03,19.14,19224700,18.90
31-Jan-05,18.51,19.24,18.51,19.19,31524700,18.95
28-Jan-05,19.60,20.01,19.48,19.71,20062900,19.46
27-Jan-05,19.68,19.82,19.30,19.60,31123600,19.35
26-Jan-05,18.50,18.51,18.23,18.45,4996400,18.22
25-Jan-05,18.57,18.70,18.51,18.54,4469100,18.31
24-Jan-05,18.12,18.68,17.98,18.51,7173700,18.28
21-Jan-05,17.98,18.31,17.59,18.08,8635000,17.85
20-Jan-05,18.65,18.74,17.96,18.07,10506700,17.84
19-Jan-05,18.77,18.99,18.51,18.51,5781400,18.28
18-Jan-05,18.72,19.01,18.68,18.78,5201700,18.54
14-Jan-05,18.70,18.92,18.62,18.67,3917600,18.43
13-Jan-05,18.58,18.96,18.58,18.67,6204000,18.43
12-Jan-05,18.50,18.69,18.14,18.64,3524500,18.40
11-Jan-05,18.62,18.82,18.49,18.54,3675200,18.31
10-Jan-05,18.80,18.84,18.50,18.65,6193100,18.41
7-Jan-05,18.60,18.88,18.53,18.79,3623300,18.55
6-Jan-05,18.48,18.70,18.48,18.60,4135500,18.36
5-Jan-05,18.38,18.68,18.33,18.49,5884100,18.26
4-Jan-05,18.81,18.86,18.27,18.33,11564600,18.10
3-Jan-05,19.06,19.09,18.64,18.81,6413600,18.57
31-Dec-04,19.22,19.28,19.01,19.06,3299500,18.82
30-Dec-04,19.32,19.38,19.24,19.24,3034200,19.00
29-Dec-04,19.25,19.43,19.13,19.42,3933000,19.17
