Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,29.23,29.47,28.86,29.03,10266300,29.03
10-May-05,29.11,29.77,29.03,29.32,9645900,29.32
9-May-05,29.04,29.48,28.95,29.40,9029200,29.40
6-May-05,29.52,29.53,28.77,29.17,12167300,29.17
5-May-05,29.12,29.57,29.08,29.24,18823400,29.24
4-May-05,28.55,29.40,28.34,29.25,25712200,29.25
3-May-05,27.30,28.66,27.27,28.65,85656896,28.65
2-May-05,31.45,31.58,30.63,30.72,10665500,30.72
29-Apr-05,31.23,31.44,30.63,31.31,11598700,31.31
28-Apr-05,31.45,31.45,30.91,30.94,8062600,30.94
27-Apr-05,31.15,31.50,30.55,31.47,9684200,31.47
26-Apr-05,31.78,31.92,31.42,31.42,6602200,31.42
25-Apr-05,32.04,32.25,31.77,32.04,6712400,32.04
22-Apr-05,31.68,32.25,31.62,32.25,11380100,32.25
21-Apr-05,31.67,31.99,31.01,31.90,9000200,31.90
20-Apr-05,31.22,31.91,31.00,31.26,11715000,31.26
19-Apr-05,31.44,31.70,30.70,31.16,15286600,31.16
18-Apr-05,31.15,32.15,31.04,31.44,12420400,31.44
15-Apr-05,32.52,32.73,30.99,31.33,18226000,31.33
14-Apr-05,33.65,33.81,32.54,32.75,11671700,32.75
13-Apr-05,34.16,34.40,33.55,33.64,7227700,33.64
12-Apr-05,33.71,34.48,33.31,34.44,6122600,34.44
11-Apr-05,33.86,34.13,33.76,33.87,2956100,33.87
8-Apr-05,34.18,34.29,33.88,33.89,5363300,33.89
7-Apr-05,33.30,34.28,33.21,34.25,8751900,34.25
6-Apr-05,33.12,33.51,33.10,33.29,6218800,33.29
5-Apr-05,33.18,33.52,32.80,33.15,6316800,33.15
4-Apr-05,33.57,33.61,32.00,33.22,13471100,33.22
1-Apr-05,33.95,34.11,33.36,33.45,6262200,33.45
31-Mar-05,34.00,34.06,33.75,33.80,6428200,33.80
30-Mar-05,33.68,34.17,33.68,34.03,8284300,34.03
29-Mar-05,33.94,34.29,33.69,33.80,7264400,33.70
28-Mar-05,34.08,34.43,33.97,34.13,6308400,34.03
24-Mar-05,34.49,34.83,34.08,34.08,4850100,33.98
23-Mar-05,34.30,34.74,34.27,34.46,9121600,34.36
22-Mar-05,34.65,35.24,34.53,34.76,8475000,34.66
21-Mar-05,34.47,34.73,34.35,34.69,6207000,34.59
18-Mar-05,34.60,34.73,34.50,34.65,9479500,34.55
17-Mar-05,34.55,34.85,34.45,34.69,7602300,34.59
16-Mar-05,34.85,35.06,34.46,34.57,9163200,34.47
15-Mar-05,35.58,35.63,35.16,35.16,7294200,35.06
14-Mar-05,35.34,35.50,34.94,35.40,6130100,35.30
11-Mar-05,35.63,35.87,35.23,35.37,7182100,35.27
10-Mar-05,35.85,35.95,35.64,35.70,6659600,35.59
9-Mar-05,35.58,36.11,35.53,35.76,10018300,35.65
8-Mar-05,35.94,36.00,35.77,35.83,13305300,35.72
7-Mar-05,35.35,36.01,35.25,35.94,10416900,35.83
4-Mar-05,34.74,35.75,34.73,35.62,13525900,35.51
3-Mar-05,34.50,34.75,34.24,34.60,9098000,34.50
2-Mar-05,33.77,34.48,33.60,34.34,12328100,34.24
1-Mar-05,33.54,33.99,33.51,33.87,8896600,33.77
28-Feb-05,33.75,34.00,33.36,33.48,8763400,33.38
25-Feb-05,33.76,34.36,33.72,33.75,9582700,33.65
24-Feb-05,33.37,33.92,33.31,33.76,7700200,33.66
