Date,Open,High,Low,Close,Volume,Adj Close
2008-07-08,39.61,41.80,39.03,41.55,15838800,41.55
2008-07-07,40.48,41.45,38.40,39.59,15778100,39.59
2008-07-03,39.97,40.89,39.62,40.24,10758200,40.24
2008-07-02,40.11,40.90,39.50,39.62,16653400,39.62
2008-07-01,37.95,40.14,37.77,40.02,23788400,40.02
2008-06-30,38.17,38.68,37.61,37.67,15452000,37.67
2008-06-27,39.01,39.60,37.94,38.04,22203200,38.04
2008-06-26,40.42,40.45,38.80,38.89,25420600,38.89
2008-06-25,41.49,42.28,40.72,40.94,20927400,40.94
2008-06-24,40.65,42.49,40.57,42.10,12374800,42.10
2008-06-23,41.28,41.71,40.56,40.88,10132300,40.88
2008-06-20,42.22,42.30,41.11,41.18,14217900,41.18
2008-06-19,42.31,42.79,41.22,42.63,12893600,42.63
2008-06-18,42.45,43.12,41.59,42.42,13333100,42.42
2008-06-17,45.04,45.17,42.70,42.76,13699800,42.76
2008-06-16,44.37,45.82,43.85,44.68,13745400,44.68
2008-06-13,43.84,44.78,43.31,44.66,7645200,44.66
2008-06-12,42.89,44.49,42.77,43.42,10414500,43.42
2008-06-11,44.50,44.50,42.50,42.59,10970600,42.59
2008-06-10,43.87,45.20,43.55,44.35,9560400,44.35
2008-06-09,45.14,45.73,43.66,44.11,12490500,44.11
2008-06-06,46.60,46.80,44.52,44.65,13924400,44.65
2008-06-05,45.90,47.47,45.75,47.43,13047000,47.43
2008-06-04,45.20,47.05,44.83,45.64,21045700,45.64
2008-06-03,45.34,45.66,43.77,44.31,15719800,44.31
2008-06-02,46.25,46.25,44.35,45.25,10649300,45.25
2008-05-30,47.07,47.32,46.19,46.35,7377000,46.35
2008-05-29,46.28,47.26,45.77,46.75,8146800,46.75
2008-05-28,46.30,46.38,45.29,46.15,7755100,46.15
2008-05-27,45.56,46.70,45.19,45.90,5678700,45.90
2008-05-23,46.09,46.22,45.05,45.45,8456200,45.45
2008-05-22,45.52,46.81,45.41,46.36,9043100,46.36
2008-05-21,47.40,47.44,45.21,45.48,13497700,45.48
2008-05-20,47.93,48.19,46.93,47.31,10335700,47.31
2008-05-19,48.84,49.68,48.31,48.56,9108000,48.56
2008-05-16,49.99,49.99,48.25,48.68,9612700,48.68
