Date,Open,High,Low,Close,Volume,Adj Close
2008-07-08,64.43,66.00,64.21,65.92,6689800,65.92
2008-07-07,64.66,65.69,63.57,64.29,6175400,64.29
2008-07-03,64.01,64.60,63.54,64.47,4058400,64.47
2008-07-02,65.82,65.99,63.90,63.90,10136400,63.90
2008-07-01,64.95,66.22,64.56,65.45,9758400,65.45
2008-06-30,66.63,66.75,65.55,65.72,8562400,65.72
2008-06-27,67.74,67.93,66.38,66.92,10369500,66.92
2008-06-26,68.75,70.39,68.05,68.21,10984200,68.21
2008-06-25,72.28,72.79,69.35,69.64,21112900,69.64
2008-06-24,75.24,75.61,74.13,74.79,4949800,74.79
2008-06-23,76.23,76.48,75.12,75.59,4036600,75.59
2008-06-20,77.80,77.80,75.66,75.83,8868600,75.83
2008-06-19,75.05,77.21,74.68,76.95,7539700,76.95
2008-06-18,73.37,76.34,73.37,74.65,11534700,74.65
2008-06-17,75.38,75.50,73.81,74.38,6503700,74.38
2008-06-16,74.77,75.45,74.03,75.02,3481100,75.02
2008-06-13,74.76,75.49,74.38,75.12,6087100,75.12
2008-06-12,74.01,77.05,73.79,74.12,9794900,74.12
2008-06-11,73.44,73.77,72.93,73.31,6544800,73.31
2008-06-10,73.46,74.11,72.76,73.67,5675000,73.67
2008-06-09,73.40,74.12,73.14,73.95,6629000,73.95
2008-06-06,76.54,76.57,73.00,73.16,12786400,73.16
2008-06-05,78.19,78.20,76.80,77.31,5787700,77.31
2008-06-04,77.54,78.82,77.48,78.02,6750100,78.02
2008-06-03,81.50,81.80,77.30,78.12,10185000,78.12
2008-06-02,82.61,82.61,80.47,81.15,4492000,81.15
2008-05-30,82.40,82.94,81.01,82.77,4660200,82.77
2008-05-29,81.82,83.00,81.05,82.11,3465200,82.11
2008-05-28,83.25,83.25,81.08,82.13,4135400,82.13
2008-05-27,81.60,83.30,81.60,82.87,4528900,82.87
2008-05-23,81.21,82.09,80.85,81.48,4476600,81.48
2008-05-22,81.05,81.72,80.55,81.41,6333300,81.41
2008-05-21,85.41,85.60,80.78,81.19,10847200,81.19
2008-05-20,87.05,87.05,84.61,85.14,5698000,85.14
2008-05-19,85.56,88.29,85.00,87.07,7176300,87.07
2008-05-16,85.84,85.84,84.74,85.17,7129900,85.17
2008-05-15,85.71,86.14,85.00,85.55,6006300,85.55
2008-05-14,85.30,86.67,85.08,85.69,4909900,85.69
