Date,Open,High,Low,Close,Volume,Adj Close
2008-07-08,41.47,41.95,40.95,41.89,8096600,41.89
2008-07-07,42.14,42.33,41.10,41.52,8545600,41.52
2008-07-03,41.60,42.27,41.06,41.80,5786700,41.80
2008-07-02,42.90,43.20,41.63,41.65,8938100,41.65
2008-07-01,42.43,42.76,41.92,42.64,9007300,42.64
2008-06-30,42.86,43.31,42.58,42.89,7596400,42.89
2008-06-27,42.82,42.84,42.36,42.69,9967400,42.69
2008-06-26,43.70,43.94,42.82,42.82,7265600,42.82
2008-06-25,44.10,44.39,43.63,44.11,10196400,44.11
2008-06-24,45.30,45.48,43.87,43.96,10871600,43.96
2008-06-23,46.52,46.79,45.45,45.47,6334200,45.47
2008-06-20,47.25,47.32,46.09,46.23,11173100,46.23
2008-06-19,46.50,47.70,46.45,47.40,6453700,47.40
2008-06-18,46.94,47.48,46.28,46.62,5525800,46.62
2008-06-17,47.28,47.80,47.07,47.15,5791900,47.15
2008-06-16,47.04,47.39,46.50,47.13,6659500,47.13
2008-06-13,46.52,47.47,46.52,47.20,5338500,47.20
2008-06-12,46.10,46.88,46.00,46.31,6403500,46.31
2008-06-11,45.68,46.66,45.53,45.89,7698500,45.89
2008-06-10,45.97,46.04,45.17,45.72,8696300,45.72
2008-06-09,46.91,46.91,45.89,46.21,6183400,46.21
2008-06-06,47.24,47.31,46.30,46.32,7246000,46.32
2008-06-05,46.85,47.80,46.54,47.73,6509700,47.73
2008-06-04,46.56,47.17,46.44,46.77,5909200,46.77
2008-06-03,47.11,47.56,46.23,46.64,6251900,46.64
2008-06-02,47.82,47.82,46.78,47.04,5432800,47.04
2008-05-30,47.86,48.43,47.82,47.91,4339000,47.91
2008-05-29,47.64,48.26,47.25,47.80,4277600,47.80
2008-05-28,47.22,47.72,46.96,47.63,5244200,47.63
2008-05-27,47.61,47.84,46.72,47.00,7180700,47.00
2008-05-23,48.30,48.43,47.42,47.62,6400800,47.62
2008-05-22,48.51,48.74,48.23,48.43,4614800,48.43
2008-05-21,49.14,49.31,47.91,48.17,6669800,48.17
2008-05-20,49.66,49.66,48.67,48.95,5737900,48.95
2008-05-19,49.75,49.98,49.23,49.50,5437900,49.50
2008-05-16,49.60,50.02,49.15,49.63,5470800,49.63
2008-05-15,49.60,49.70,49.16,49.52,4910700,49.52
2008-05-14,49.14,50.05,48.91,49.58,4692400,49.58
2008-05-13,49.12,49.55,48.96,49.01,4401600,49.01
2008-05-12,48.66,49.58,48.47,49.58,4152000,49.17
2008-05-09,49.29,49.29,48.20,48.44,5981200,48.04
2008-05-08,48.81,49.41,48.49,49.33,5647400,48.92
2008-05-07,49.58,49.72,48.49,48.54,6063800,48.14
2008-05-06,49.85,49.85,49.25,49.65,5504300,49.24
2008-05-05,49.89,50.00,49.25,49.70,3446500,49.29
2008-05-02,49.31,50.00,49.15,49.86,7326200,49.45
2008-05-01,48.70,49.22,48.13,48.94,7055400,48.54
2008-04-30,48.67,49.67,48.67,48.91,6092900,48.51
2008-04-29,49.02,49.22,48.53,48.67,4033600,48.27
2008-04-28,50.09,50.09,48.83,49.18,6508700,48.77
2008-04-25,49.87,50.06,49.16,49.88,5661500,49.47
2008-04-24,50.05,50.21,49.58,49.69,8024300,49.28
2008-04-23,50.28,50.46,49.46,49.98,8548500,49.57
2008-04-22,51.59,51.70,49.77,50.16,11038000,49.75
2008-04-21,52.49,52.49,51.68,52.25,8909500,51.82
2008-04-18,51.85,52.27,51.54,52.02,8472300,51.59
2008-04-17,50.85,51.66,50.62,51.21,6923400,50.79
2008-04-16,49.44,51.26,49.37,51.10,10309300,50.68
2008-04-15,49.08,49.43,48.50,48.93,3849400,48.53
2008-04-14,49.25,49.41,48.60,48.80,4211200,48.40
2008-04-11,49.43,49.87,49.07,49.33,7792200,48.92
2008-04-10,49.65,49.85,48.68,49.64,9934000,49.23
2008-04-09,49.39,49.70,48.82,49.04,4864100,48.63
2008-04-08,48.74,49.53,48.50,49.46,4270700,49.05
2008-04-07,49.96,49.99,48.69,48.99,5512000,48.58
2008-04-04,49.22,49.90,49.00,49.50,5338600,49.09
2008-04-03,48.85,49.54,48.42,49.08,5703200,48.67
2008-04-02,47.89,48.95,47.64,48.84,8882400,48.44
2008-04-01,47.02,47.82,46.53,47.75,7237300,47.36
2008-03-31,46.52,47.40,46.34,46.76,6550900,46.37
2008-03-28,46.54,46.67,46.00,46.44,4246900,46.06
2008-03-27,47.00,47.12,46.03,46.40,4690000,46.02
2008-03-26,46.96,47.98,46.50,46.83,5211100,46.44
2008-03-25,47.14,47.52,46.80,47.30,6510100,46.91
2008-03-24,45.55,47.19,45.55,46.66,7172000,46.27
2008-03-20,45.70,45.98,44.57,45.45,10883200,45.07
2008-03-19,47.61,48.00,45.40,45.47,9885400,45.09
2008-03-18,46.61,47.52,46.24,47.47,8012700,47.08
2008-03-17,45.58,46.77,45.00,45.83,9816600,45.45
2008-03-14,48.08,48.08,45.57,46.98,11937200,46.59
2008-03-13,46.47,47.52,46.05,47.31,9612000,46.92
2008-03-12,46.77,47.31,46.50,46.58,8201100,46.19
2008-03-11,45.12,46.63,44.99,46.57,10296800,46.18
2008-03-10,44.95,45.12,44.09,44.21,10768400,43.84
2008-03-07,46.18,46.43,44.86,45.00,8404300,44.63
2008-03-06,47.16,47.56,46.43,46.47,5866400,46.09
2008-03-05,46.82,47.76,46.59,47.30,7924400,46.91
2008-03-04,46.19,46.80,45.58,46.43,8566400,46.05
2008-03-03,46.46,46.77,46.06,46.68,4616400,46.29
2008-02-29,46.81,47.10,46.15,46.42,7831000,46.04
2008-02-28,47.36,47.47,46.85,47.24,4759800,46.85
2008-02-27,47.11,47.91,46.87,47.61,5173100,47.22
2008-02-26,46.76,47.59,46.38,47.30,8567100,46.91
2008-02-25,45.98,46.98,45.54,46.89,6094700,46.50
2008-02-22,45.83,46.01,45.06,45.96,4750300,45.58
2008-02-21,46.53,46.84,45.38,45.56,6198800,45.18
2008-02-20,45.90,46.66,45.73,46.46,5460000,46.08
2008-02-19,46.10,46.87,45.77,46.22,5993100,45.84
2008-02-15,46.13,46.22,45.07,45.49,8241900,45.11
2008-02-14,46.77,46.99,46.04,46.22,5282300,45.84
2008-02-13,47.54,47.54,46.28,46.66,6075700,46.27
2008-02-12,46.20,48.07,46.20,47.12,9755600,46.32
2008-02-11,45.52,46.17,44.76,45.93,5901700,45.15
2008-02-08,45.03,45.85,44.63,45.44,4792100,44.67
2008-02-07,44.57,45.80,44.57,45.18,6363400,44.42
2008-02-06,45.00,45.62,44.56,44.74,6427500,43.98
2008-02-05,45.01,45.39,44.53,44.61,5381300,43.86
2008-02-04,45.96,46.45,45.46,45.64,4315000,44.87
2008-02-01,45.10,46.15,44.68,45.95,6053700,45.17
2008-01-31,43.98,45.49,43.76,45.18,8084800,44.42
2008-01-30,45.04,45.60,44.29,44.56,7685600,43.81
2008-01-29,45.03,46.00,44.66,45.15,7694100,44.39
2008-01-28,44.70,45.05,44.33,44.84,6709900,44.08
2008-01-25,45.98,46.00,44.33,44.72,9329700,43.96
2008-01-24,45.53,46.00,44.17,45.45,8853200,44.68
2008-01-23,42.35,45.43,42.12,45.36,13756700,44.59
2008-01-22,41.36,43.93,41.26,42.54,12611000,41.82
2008-01-18,43.10,43.51,42.00,42.70,9354400,41.98
2008-01-17,44.52,44.52,42.55,42.80,11361100,42.08
2008-01-16,44.82,45.35,43.76,44.30,7866200,43.55
2008-01-15,45.75,46.59,44.82,45.12,8208900,44.36
2008-01-14,45.09,46.20,44.76,46.02,7094100,45.24
2008-01-11,44.95,45.22,44.41,44.66,5382600,43.91
2008-01-10,44.95,45.74,44.43,45.28,10174900,44.51
2008-01-09,44.21,46.86,44.09,44.78,17478000,44.02
2008-01-08,43.48,44.05,42.63,42.75,6378400,42.03
2008-01-07,43.61,43.69,42.57,43.28,6829000,42.55
2008-01-04,43.78,43.92,43.00,43.38,7147900,42.65
2008-01-03,43.97,44.38,43.51,44.08,4883400,43.34
2008-01-02,44.15,44.30,43.42,43.74,5417300,43.00
2007-12-31,44.09,44.29,43.91,44.09,2843600,43.34
2007-12-28,44.60,44.75,44.11,44.30,3139600,43.55
2007-12-27,44.60,44.92,44.13,44.40,3917400,43.65
2007-12-26,45.41,45.41,44.80,45.07,2975400,44.31
2007-12-24,45.41,45.65,45.07,45.23,1400700,44.47
2007-12-21,44.21,45.42,44.21,45.35,11448600,44.58
2007-12-20,42.81,44.42,42.78,44.19,9094700,43.44
2007-12-19,43.27,43.54,42.25,42.58,7954200,41.86
2007-12-18,44.04,44.04,42.94,43.18,7835800,42.45
2007-12-17,44.60,44.65,43.62,43.64,7129300,42.90
2007-12-14,46.00,46.01,44.60,44.73,7289900,43.97
2007-12-13,46.01,46.68,45.49,46.22,6304200,45.44
2007-12-12,46.60,46.75,45.30,45.85,6533800,45.08
2007-12-11,47.67,47.86,45.77,45.89,6072200,45.11
2007-12-10,47.23,47.99,47.23,47.69,3283000,46.88
2007-12-07,47.25,47.62,46.74,47.19,2642700,46.39
2007-12-06,46.89,47.29,46.53,47.25,2891900,46.45
2007-12-05,46.84,46.84,46.29,46.70,4583500,45.91
2007-12-04,46.67,47.17,46.36,46.50,3886600,45.71
2007-12-03,46.44,47.75,46.01,46.86,6418800,46.07
2007-11-30,46.25,46.53,45.65,46.15,5710800,45.37
2007-11-29,45.80,46.39,45.54,46.09,4896400,45.31
2007-11-28,45.24,46.15,44.88,46.04,8044300,45.26
