Date,Open,High,Low,Close,Volume,Adj Close
2008-07-08,34.30,36.05,33.42,35.77,62285100,35.77
2008-07-07,35.50,35.95,33.56,34.04,48883600,34.04
2008-07-03,35.12,36.09,34.49,35.31,33028500,35.31
2008-07-02,34.36,35.75,34.23,34.60,51750200,34.60
2008-07-01,33.69,34.34,32.33,34.02,74620100,34.02
2008-06-30,34.86,35.50,33.96,34.31,50792600,33.93
2008-06-27,36.45,36.89,34.20,35.05,69316700,34.66
2008-06-26,37.16,37.58,36.20,36.32,45708400,35.92
2008-06-25,37.94,39.32,37.50,37.91,42317900,37.49
2008-06-24,36.81,38.26,36.25,37.72,43526200,37.30
2008-06-23,37.99,37.99,36.51,36.87,37741100,36.46
2008-06-20,37.69,39.19,36.95,37.86,55374100,37.44
2008-06-19,38.79,39.03,36.82,38.65,59944400,38.22
2008-06-18,38.53,39.25,37.93,38.74,35513700,38.31
2008-06-17,40.36,40.75,38.95,39.04,32510200,38.61
2008-06-16,39.48,40.65,39.10,39.94,34860200,39.50
2008-06-13,38.39,39.59,37.80,39.58,40465600,39.14
2008-06-12,37.71,38.75,37.63,38.01,53247700,37.59
2008-06-11,38.50,38.75,37.07,37.13,50965800,36.72
2008-06-10,37.23,39.23,37.16,38.29,54412400,37.87
2008-06-09,40.32,40.33,36.42,37.51,74856700,37.09
2008-06-06,41.79,41.79,39.95,40.09,39887900,39.65
2008-06-05,41.90,42.32,41.40,42.10,27755300,41.63
2008-06-04,41.74,42.35,41.16,41.63,30800100,41.17
2008-06-03,42.53,42.69,41.19,41.89,28503100,41.43
2008-06-02,42.63,42.77,41.66,42.15,30620500,41.68
2008-05-30,43.96,43.99,42.87,43.00,21391600,42.52
2008-05-29,42.69,44.06,42.29,43.57,22789000,43.09
2008-05-28,43.39,43.43,41.90,42.86,31688700,42.39
2008-05-27,42.40,43.40,42.30,43.01,28457800,42.53
2008-05-23,42.72,42.90,42.12,42.32,21440900,41.85
2008-05-22,42.40,43.73,42.10,43.05,28883300,42.57
2008-05-21,43.80,44.05,42.33,42.42,40611900,41.95
2008-05-20,45.66,45.66,43.50,43.70,48996100,43.22
2008-05-19,46.55,47.22,45.87,45.99,19402200,45.48
2008-05-16,47.32,47.32,46.05,46.53,20871400,46.01
2008-05-15,46.05,47.04,45.58,47.02,27289500,46.50
2008-05-14,46.00,46.37,45.30,45.91,24138200,45.40
2008-05-13,47.04,47.24,45.22,45.48,27485300,44.98
2008-05-12,46.82,47.29,46.51,47.24,20295600,46.72
2008-05-09,45.75,46.93,45.52,46.57,21730400,46.05
2008-05-08,46.98,47.00,45.31,46.05,26106000,45.54
2008-05-07,48.22,48.43,46.39,46.57,27636400,46.05
2008-05-06,47.34,48.70,47.25,48.20,25441400,47.67
2008-05-05,48.32,48.64,47.85,48.00,19276100,47.47
2008-05-02,49.90,49.95,48.03,48.66,27942900,48.12
2008-05-01,47.68,49.48,47.68,49.25,31723700,48.70
2008-04-30,47.25,48.64,46.73,47.65,36280800,47.12
2008-04-29,47.34,47.74,46.62,47.08,20738700,46.56
2008-04-28,47.67,48.09,46.81,47.34,27175000,46.82
2008-04-25,47.29,47.87,46.54,47.79,24266600,47.26
2008-04-24,45.37,47.34,45.34,46.97,37769300,46.45
2008-04-23,45.41,46.04,44.69,45.15,23260300,44.65
2008-04-22,44.96,45.80,44.75,45.65,23703800,45.14
2008-04-21,45.29,45.48,44.60,45.23,23513400,44.73
2008-04-18,46.33,46.86,45.42,45.76,31398100,45.25
2008-04-17,44.34,45.32,44.17,45.12,30302500,44.62
2008-04-16,43.53,44.96,43.10,44.96,52568400,44.46
2008-04-15,42.18,42.70,41.28,42.12,37271800,41.65
2008-04-14,42.40,42.80,41.17,41.50,33774900,41.04
2008-04-11,43.32,43.90,42.43,42.53,41959900,42.06
2008-04-10,44.20,44.81,43.58,43.86,30230100,43.37
2008-04-09,45.18,45.18,44.08,44.30,28476400,43.81
2008-04-08,45.24,45.61,44.43,44.86,29187700,44.36
2008-04-07,46.43,46.74,45.47,45.54,24069200,45.04
2008-04-04,45.85,46.44,45.12,45.57,29875900,45.07
2008-04-03,45.37,47.03,45.32,46.28,30314400,45.77
2008-04-02,47.08,47.56,45.94,46.24,36597900,45.73
2008-04-01,45.13,47.00,44.66,47.00,54562600,46.10
2008-03-31,42.71,44.25,42.61,42.95,28920400,42.13
2008-03-28,43.20,43.84,42.65,42.71,29011900,41.90
2008-03-27,44.22,44.49,42.86,42.86,32154500,42.04
2008-03-26,45.27,45.37,43.97,44.11,41122700,43.27
2008-03-25,46.02,46.65,44.91,46.06,54485500,45.18
2008-03-24,45.42,48.16,45.02,46.55,66011200,45.66
2008-03-20,42.91,46.45,42.85,45.97,72777200,45.09
2008-03-19,43.26,44.89,42.44,42.47,70593300,41.66
2008-03-18,42.19,42.88,41.25,42.71,76994300,41.90
2008-03-17,37.00,41.09,37.00,40.31,125296300,39.54
2008-03-14,38.80,38.80,36.01,36.54,77776000,35.84
2008-03-13,37.84,38.95,36.63,38.11,45537900,37.38
2008-03-12,38.85,40.23,38.40,38.61,44572400,37.87
2008-03-11,38.48,39.26,37.16,38.84,58401200,38.10
2008-03-10,37.73,38.26,36.31,36.48,41281300,35.78
2008-03-07,36.89,39.08,36.61,37.56,43258700,36.84
2008-03-06,38.18,38.23,37.15,37.37,44356900,36.66
2008-03-05,39.36,39.58,38.11,38.74,36325600,38.00
2008-03-04,39.37,39.58,38.22,39.19,56449300,38.44
2008-03-03,40.55,40.63,39.43,39.82,31481900,39.06
2008-02-29,41.88,41.97,40.38,40.65,36856600,39.87
2008-02-28,44.00,44.02,42.39,42.44,36606500,41.63
2008-02-27,43.07,44.49,42.62,44.41,38566000,43.56
2008-02-26,43.73,44.54,43.41,43.72,24989300,42.89
2008-02-25,43.43,44.46,42.76,44.03,27917200,43.19
2008-02-22,43.06,44.02,41.91,43.93,30452700,43.09
2008-02-21,43.14,43.69,42.22,43.07,32878200,42.25
2008-02-20,42.37,43.34,41.85,43.15,30149700,42.33
2008-02-19,43.54,44.05,42.17,42.83,25811900,42.01
2008-02-15,42.41,43.25,42.01,43.25,29031400,42.43
2008-02-14,44.05,44.10,42.47,42.61,31180000,41.80
2008-02-13,43.55,44.17,43.01,44.10,26533400,43.26
2008-02-12,43.66,44.45,42.75,43.31,27193400,42.48
2008-02-11,43.89,44.00,42.82,43.35,25874000,42.52
2008-02-08,44.96,44.96,43.26,43.82,26058300,42.98
2008-02-07,43.39,45.58,43.25,45.11,36818000,44.25
2008-02-06,44.27,44.74,43.27,43.72,27274800,42.89
2008-02-05,45.05,45.48,43.85,43.89,39045100,43.05
2008-02-04,47.83,48.14,46.03,46.22,28310200,45.34
2008-02-01,47.26,48.70,46.90,48.25,48834500,47.33
2008-01-31,46.41,48.19,45.85,47.40,55500600,46.50
2008-01-30,47.10,49.29,46.32,47.35,68343800,46.45
2008-01-29,45.94,47.80,44.75,47.45,56112700,46.55
2008-01-28,43.79,45.61,43.40,45.57,29739100,44.70
2008-01-25,45.67,45.84,43.21,43.64,38410900,42.81
2008-01-24,45.83,46.01,44.26,44.96,52062600,44.10
2008-01-23,40.40,46.15,40.00,45.72,77137000,44.85
2008-01-22,37.66,42.00,37.66,40.86,57178600,40.08
2008-01-18,40.24,40.67,38.52,39.59,51919100,38.83
2008-01-17,41.57,41.68,39.80,40.04,39647200,39.28
2008-01-16,40.46,42.65,40.21,41.43,63183100,40.64
2008-01-15,40.73,40.73,38.85,39.17,45240000,38.42
2008-01-14,41.27,41.75,40.60,41.36,22817000,40.57
2008-01-11,40.88,42.10,40.39,40.86,37520500,40.08
2008-01-10,39.77,42.14,39.30,41.33,41863600,40.54
2008-01-09,39.59,40.34,38.54,40.26,33546300,39.49
2008-01-08,41.46,41.58,39.42,39.70,33646000,38.94
2008-01-07,41.10,41.58,40.16,41.34,25644100,40.55
2008-01-04,41.41,41.80,40.63,40.93,25873800,40.15
2008-01-03,42.34,42.65,41.76,41.88,17150700,41.08
2008-01-02,43.55,43.79,42.00,42.17,22122300,41.37
2007-12-31,43.07,44.14,42.79,43.65,16361200,42.44
2007-12-28,44.19,44.27,42.82,43.26,16852200,42.07
2007-12-27,44.60,44.70,43.51,43.64,16530000,42.44
2007-12-26,44.72,44.99,44.24,44.94,14578700,43.70
2007-12-24,44.14,45.11,44.14,44.83,7679700,43.59
2007-12-21,43.92,44.18,43.33,44.11,26363000,42.89
2007-12-20,44.33,44.54,43.05,43.33,27147500,42.13
2007-12-19,43.90,45.10,43.66,43.98,21293700,42.77
2007-12-18,44.77,44.95,43.13,43.90,25224900,42.69
2007-12-17,44.82,45.50,44.36,44.53,19965700,43.30
2007-12-14,45.24,45.79,44.68,45.20,27651800,43.95
2007-12-13,45.83,46.26,44.73,45.76,41261000,44.50
2007-12-12,47.03,47.79,45.18,46.15,44364000,44.88
2007-12-11,47.11,48.02,45.50,45.94,38455700,44.67
2007-12-10,46.80,47.87,46.55,47.42,23388400,46.11
2007-12-07,46.21,46.81,45.85,46.08,15286600,44.81
2007-12-06,44.88,46.25,44.53,46.21,19130200,44.93
2007-12-05,44.54,45.19,43.93,44.90,20627900,43.66
2007-12-04,44.32,45.09,44.00,44.15,19315200,42.93
2007-12-03,45.90,45.92,44.95,45.21,21417200,43.96
2007-11-30,45.38,46.09,45.01,45.62,40113500,44.36
2007-11-29,43.38,44.09,43.01,43.65,23553600,42.44
2007-11-28,42.73,44.13,42.56,43.96,32246500,42.75
2007-11-27,40.92,42.48,40.57,42.35,28501100,41.18
2007-11-26,41.87,42.49,40.33,40.46,27132300,39.34
2007-11-23,41.50,42.20,40.96,41.95,10808400,40.79
2007-11-21,40.81,42.00,40.15,40.68,26759300,39.56
2007-11-20,41.37,42.35,40.28,41.63,33277800,40.48
2007-11-19,42.70,42.84,41.19,41.37,29656500,40.23
2007-11-16,43.74,44.11,42.48,43.09,29021800,41.90
2007-11-15,44.60,45.19,43.08,43.53,23434200,42.33
2007-11-14,45.90,46.02,44.44,45.15,25353700,43.90
2007-11-13,43.30,45.40,42.63,45.05,35927500,43.81
2007-11-12,42.11,43.68,41.86,42.39,27691800,41.22
2007-11-09,41.40,43.29,41.17,42.31,43572100,41.14
2007-11-08,42.51,42.92,40.68,42.61,37342800,41.43
2007-11-07,42.93,43.81,42.15,42.24,28980700,41.07
2007-11-06,42.69,44.34,42.69,44.11,28756400,42.89
2007-11-05,42.69,43.20,41.67,42.77,28852800,41.59
2007-11-02,44.45,44.48,42.06,43.15,39570300,41.96
2007-11-01,45.65,46.32,44.20,44.32,31730100,43.10
2007-10-31,46.95,47.55,46.04,47.00,23899100,45.70
2007-10-30,46.40,46.89,46.05,46.56,13131400,45.27
2007-10-29,47.39,47.50,46.51,46.67,18861900,45.38
2007-10-26,46.96,47.45,45.93,47.32,18851700,46.01
2007-10-25,46.10,46.55,45.15,46.05,20076400,44.78
2007-10-24,45.73,46.44,44.74,46.27,27352800,44.99
2007-10-23,45.92,45.99,45.13,45.94,13519100,44.67
2007-10-22,44.90,45.93,44.66,45.37,18094100,44.12
2007-10-19,45.79,46.60,44.96,45.02,29500400,43.78
2007-10-18,46.10,46.13,45.45,45.90,19397900,44.63
2007-10-17,47.04,47.12,45.75,46.37,34659600,45.09
2007-10-16,46.00,46.40,44.60,45.11,22510200,43.86
2007-10-15,46.77,46.82,45.79,46.27,16575300,44.99
2007-10-12,46.67,47.10,46.54,46.82,12507000,45.53
2007-10-11,47.01,47.62,46.53,46.66,27920400,45.37
2007-10-10,47.47,47.47,46.55,46.91,18858500,45.61
2007-10-09,47.59,47.70,46.99,47.57,12967500,46.26
2007-10-08,47.31,47.58,47.05,47.44,8305500,46.13
2007-10-05,47.45,47.88,47.28,47.58,13435600,46.27
2007-10-04,47.20,47.43,46.98,47.25,11132400,45.95
2007-10-03,46.71,47.46,46.65,47.00,12675700,45.70
2007-10-02,46.99,47.35,46.82,47.16,16003200,45.49
2007-10-01,45.47,47.04,45.42,46.81,17276200,45.15
2007-09-28,46.05,46.21,45.58,45.82,15587900,44.20
2007-09-27,46.20,46.28,45.68,46.21,12840300,44.57
2007-09-26,46.26,46.69,45.74,46.13,17485400,44.49
2007-09-25,46.25,46.25,45.65,46.10,16405200,44.47
2007-09-24,47.20,47.20,46.17,46.34,17346800,44.70
2007-09-21,47.50,47.54,46.63,47.13,20535000,45.46
