Date,Open,High,Low,Close,Volume,Adj Close
2008-07-08,57.70,58.66,57.33,58.52,9710800,58.52
2008-07-07,57.42,58.01,56.64,57.36,8011800,57.36
2008-07-03,57.60,57.88,56.26,57.19,5833800,57.19
2008-07-02,57.40,58.43,57.18,57.43,9864800,57.43
2008-07-01,55.87,57.35,55.70,57.29,12089100,57.29
2008-06-30,56.70,57.43,55.52,56.22,12268500,56.22
2008-06-27,56.63,57.19,55.17,56.50,14277700,56.50
2008-06-26,57.48,58.10,56.41,56.45,10465900,56.45
2008-06-25,57.34,58.39,56.78,58.05,8294300,58.05
2008-06-24,57.55,57.81,56.08,57.02,9697500,57.02
2008-06-23,57.75,58.05,56.94,57.01,7033900,57.01
2008-06-20,58.26,58.50,57.35,57.40,10426900,57.40
2008-06-19,58.07,58.97,57.87,58.59,6060400,58.59
2008-06-18,58.95,59.40,58.05,58.21,6248700,58.21
2008-06-17,60.27,60.33,59.07,59.21,5305400,59.21
2008-06-16,59.44,60.30,59.39,59.94,4520700,59.94
2008-06-13,59.61,60.33,59.40,59.95,5033700,59.95
2008-06-12,58.98,59.85,58.92,59.34,6261300,59.34
2008-06-11,59.77,59.77,58.64,58.75,6613400,58.75
2008-06-10,59.01,60.41,59.01,59.77,9083100,59.77
2008-06-09,58.37,59.56,58.00,59.31,11668400,59.31
2008-06-06,57.70,57.82,56.84,56.95,7365800,56.95
2008-06-05,57.96,58.50,57.77,58.05,7715900,58.05
2008-06-04,57.43,58.62,57.43,57.98,7601500,57.60
2008-06-03,58.70,58.91,57.21,57.56,9189000,57.19
2008-06-02,59.12,59.19,58.07,58.55,4930300,58.17
2008-05-30,59.54,59.64,58.80,59.32,5132200,58.94
2008-05-29,58.70,59.84,58.62,59.48,4506500,59.10
2008-05-28,58.37,59.05,58.35,58.69,5481600,58.31
2008-05-27,57.87,58.46,57.55,58.11,5896100,57.73
2008-05-23,58.37,58.37,57.31,57.73,5778800,57.36
2008-05-22,58.75,59.26,58.42,58.53,5111000,58.15
2008-05-21,59.77,59.96,58.41,58.78,7842600,58.40
2008-05-20,60.28,60.45,59.14,59.68,8618600,59.29
2008-05-19,60.76,60.87,60.40,60.45,4924600,60.06
2008-05-16,60.87,60.95,60.27,60.53,5691000,60.14
2008-05-15,60.40,60.88,59.66,60.86,6108400,60.47
2008-05-14,61.35,61.50,60.27,60.44,8562500,60.05
2008-05-13,60.90,61.76,60.76,61.17,6601200,60.77
2008-05-12,59.30,61.04,59.30,60.87,6268300,60.48
2008-05-09,59.06,59.58,59.06,59.24,5219400,58.86
2008-05-08,59.73,59.80,58.79,59.77,7987700,59.38
2008-05-07,60.40,60.69,59.25,59.38,6222700,59.00
2008-05-06,60.61,60.70,60.09,60.49,5146500,60.10
2008-05-05,60.96,60.99,60.30,60.87,5311900,60.48
2008-05-02,60.90,61.24,60.80,60.95,7353400,60.56
2008-05-01,59.54,60.93,59.35,60.92,6954300,60.53
2008-04-30,60.00,60.60,59.54,59.58,8486600,59.19
2008-04-29,59.15,60.50,59.15,60.20,7821800,59.81
2008-04-28,59.75,59.99,59.20,59.59,7705100,59.20
2008-04-25,59.75,59.98,59.26,59.67,7969600,59.28
2008-04-24,58.65,59.88,58.29,59.58,7197200,59.19
2008-04-23,58.41,59.44,58.10,58.69,8813400,58.31
2008-04-22,57.94,58.77,57.42,58.35,10915900,57.97
2008-04-21,58.59,58.68,58.05,58.67,6179000,58.29
2008-04-18,57.56,58.47,57.55,58.30,6762700,57.92
2008-04-17,57.11,57.42,56.86,57.33,5394100,56.96
2008-04-16,56.31,57.20,55.70,57.18,7441300,56.81
2008-04-15,55.79,56.14,55.67,55.96,6655700,55.60
2008-04-14,55.49,55.81,55.23,55.54,3883200,55.18
2008-04-11,55.41,55.85,55.14,55.40,5331500,55.04
2008-04-10,55.59,56.21,55.59,55.85,6762800,55.49
2008-04-09,55.79,56.10,55.39,55.74,7686800,55.38
2008-04-08,55.42,56.03,55.40,55.87,4893900,55.51
2008-04-07,56.02,56.24,55.45,55.65,6744800,55.29
2008-04-04,56.22,56.33,55.40,55.72,7419700,55.36
2008-04-03,56.44,56.85,55.77,56.24,6786400,55.88
2008-04-02,57.05,57.24,56.37,56.66,8375000,56.29
2008-04-01,56.04,57.05,56.00,56.91,13339900,56.54
2008-03-31,55.56,56.00,55.56,55.77,6452300,55.41
2008-03-28,55.69,55.94,55.23,55.48,4778800,55.12
2008-03-27,55.83,56.22,55.42,55.45,8198700,55.09
2008-03-26,55.83,56.30,55.20,55.60,5240900,55.24
2008-03-25,55.67,56.51,55.36,56.20,7557800,55.84
2008-03-24,54.58,56.00,54.40,55.77,7874100,55.41
2008-03-20,53.95,54.76,53.70,54.42,13075600,54.07
2008-03-19,55.01,55.49,53.59,53.66,8740500,53.31
2008-03-18,54.85,55.48,54.01,54.85,10415700,54.50
2008-03-17,53.37,54.80,53.01,54.28,10530900,53.93
2008-03-14,55.18,55.18,53.75,54.78,10275000,54.43
2008-03-13,53.40,55.12,53.40,54.89,11973500,54.53
2008-03-12,54.47,54.63,53.60,53.70,7407900,53.35
2008-03-11,54.80,54.80,53.45,54.25,9330900,53.90
2008-03-10,54.65,54.73,52.93,53.80,17599500,53.45
2008-03-07,52.55,52.78,52.00,52.27,8053000,51.93
2008-03-06,53.64,54.20,53.00,53.04,6526200,52.70
2008-03-05,53.83,54.17,53.27,53.94,7087700,53.59
2008-03-04,52.90,53.63,52.62,53.63,7887800,53.28
2008-03-03,53.98,54.74,52.67,53.16,7495800,52.82
2008-02-29,54.30,54.76,53.94,54.11,7461200,53.76
2008-02-28,55.00,55.10,54.30,54.62,6969500,54.27
2008-02-27,56.22,57.00,55.10,55.33,13814900,54.60
2008-02-26,55.68,56.82,55.68,56.45,9346700,55.70
2008-02-25,55.61,56.16,55.12,56.05,5236600,55.31
2008-02-22,55.35,55.69,54.39,55.69,5963300,54.95
2008-02-21,56.28,56.35,55.12,55.23,5764400,54.50
2008-02-20,55.27,56.40,55.01,56.20,8007600,55.46
2008-02-19,55.82,55.99,55.50,55.67,7853300,54.94
2008-02-15,55.35,55.47,54.84,55.30,6972300,54.57
2008-02-14,56.77,56.77,55.50,55.58,5610900,54.85
2008-02-13,57.07,57.07,55.85,56.64,7739000,55.89
2008-02-12,56.35,56.82,55.92,56.37,9506600,55.63
2008-02-11,55.73,56.34,55.19,55.98,5904900,55.24
2008-02-08,54.90,56.41,54.81,55.64,12940600,54.91
2008-02-07,53.37,54.86,53.30,54.46,11229000,53.74
2008-02-06,54.19,54.19,53.53,53.73,11636200,53.02
2008-02-05,53.37,54.50,52.88,53.84,13425000,53.13
2008-02-04,54.23,54.29,53.30,53.88,6079100,53.17
2008-02-01,53.67,54.37,52.85,54.22,11656900,53.50
2008-01-31,50.25,53.58,50.11,53.58,18338600,52.87
2008-01-30,50.84,51.78,50.80,51.01,13593900,50.34
2008-01-29,51.43,51.43,50.07,50.75,20685000,50.08
2008-01-28,51.10,51.43,49.36,51.07,49724500,50.40
2008-01-25,54.46,54.75,53.99,54.10,12779800,53.39
2008-01-24,53.80,54.19,52.99,54.00,10305400,53.29
2008-01-23,51.64,53.05,50.89,53.01,19158300,52.31
2008-01-22,49.37,52.62,49.37,52.45,16883500,51.76
2008-01-18,52.45,53.29,52.26,52.40,11754400,51.71
2008-01-17,52.67,53.04,51.92,51.98,12878400,51.29
2008-01-16,53.41,53.83,52.22,52.41,13246000,51.72
2008-01-15,54.39,55.19,53.44,53.76,10107000,53.05
2008-01-14,54.89,55.31,53.72,54.96,12932700,54.23
2008-01-11,56.90,56.90,53.32,54.32,33215200,53.60
2008-01-10,57.69,58.49,56.96,58.17,10767000,57.40
2008-01-09,57.06,57.53,56.10,57.47,11600400,56.71
2008-01-08,58.44,58.64,56.96,57.08,10080800,56.33
2008-01-07,57.36,58.25,56.87,58.03,10784500,57.26
2008-01-04,57.33,57.47,56.43,57.05,9687500,56.30
2008-01-03,58.40,58.80,57.74,57.93,6514700,57.17
2008-01-02,59.48,59.48,57.89,58.10,7858300,57.33
2007-12-31,59.72,59.94,58.83,58.91,4346000,58.13
2007-12-28,59.76,59.79,59.17,59.50,5471700,58.71
2007-12-27,59.64,59.92,59.16,59.19,4189400,58.41
2007-12-26,60.01,60.50,59.81,59.88,3314100,59.09
2007-12-24,60.16,60.49,60.00,60.31,2926200,59.51
2007-12-21,59.20,60.25,59.00,60.03,9803500,59.24
2007-12-20,59.16,59.16,58.23,58.79,6540100,58.01
2007-12-19,59.96,60.10,58.75,58.85,6180600,58.07
2007-12-18,60.30,60.49,59.53,59.83,7369900,59.04
2007-12-17,61.00,61.00,59.71,59.76,7289000,58.97
2007-12-14,61.21,62.00,61.11,61.16,6799200,60.35
2007-12-13,61.48,62.25,61.10,61.51,7731800,60.70
2007-12-12,63.60,63.69,61.10,61.66,10201300,60.85
2007-12-11,61.85,63.49,61.75,63.13,12972200,62.30
2007-12-10,61.00,62.14,60.70,61.90,8786700,61.08
2007-12-07,60.45,60.77,59.94,60.16,6121900,59.37
2007-12-06,59.81,60.39,59.08,60.28,6427700,59.48
2007-12-05,59.44,59.86,59.06,59.51,9485400,58.72
2007-12-04,59.59,60.47,59.45,60.03,9330500,59.24
2007-12-03,58.45,60.35,58.10,59.83,10450500,59.04
2007-11-30,59.00,59.60,58.20,58.47,11931700,57.70
2007-11-29,57.67,58.40,57.57,58.35,6500000,57.58
2007-11-28,57.60,58.20,57.42,57.97,10942200,57.20
2007-11-27,57.00,57.78,56.89,57.46,7532200,56.70
2007-11-26,57.84,57.84,56.75,56.82,10468900,56.07
2007-11-23,57.82,58.00,57.30,57.72,4688500,56.96
2007-11-21,58.11,58.40,57.32,57.33,9121100,56.57
2007-11-20,58.60,58.81,57.90,58.48,9414700,57.71
2007-11-19,57.88,58.95,57.88,58.60,10559300,57.83
2007-11-16,57.49,58.34,57.49,58.13,12450900,57.36
2007-11-15,56.59,57.30,56.24,57.18,8701800,56.43
2007-11-14,57.56,57.70,56.58,56.70,8255100,55.95
2007-11-13,58.50,58.50,56.77,57.10,16885600,56.35
2007-11-12,59.25,59.25,58.51,58.54,16528100,56.29
2007-11-09,59.00,59.27,58.10,58.31,9990200,56.07
2007-11-08,59.21,59.59,58.81,59.37,17443800,57.09
2007-11-07,59.57,59.86,58.25,58.38,9691800,56.13
