Date,Open,High,Low,Close,Volume,Adj Close
2008-07-08,36.75,37.43,36.74,36.97,25576700,36.97
2008-07-07,37.59,37.99,36.21,36.60,33240800,36.60
2008-07-03,38.28,38.70,38.28,38.45,10683900,38.45
2008-07-02,38.87,38.90,37.95,38.04,17793400,38.04
2008-07-01,37.41,38.73,37.34,38.36,23344800,38.36
2008-06-30,36.98,38.14,36.98,37.69,21641800,37.69
2008-06-27,36.31,37.88,36.25,36.98,36338200,36.98
2008-06-26,36.80,37.15,36.12,36.20,15992700,36.20
2008-06-25,36.75,37.20,36.33,36.98,22141500,36.98
2008-06-24,35.77,37.15,35.63,37.03,25269000,37.03
2008-06-23,35.21,35.99,35.12,35.83,18886400,35.83
2008-06-20,35.40,35.83,35.00,35.13,20638900,35.13
2008-06-19,34.82,36.07,34.78,35.60,27018300,35.60
2008-06-18,34.68,35.32,34.65,34.86,15662000,34.86
2008-06-17,35.12,35.41,34.64,34.68,15084400,34.68
2008-06-16,35.36,35.60,34.49,35.01,25522200,35.01
2008-06-13,35.65,35.97,34.92,35.53,19089900,35.53
2008-06-12,35.86,36.10,34.93,35.40,21962700,35.40
2008-06-11,36.50,36.63,35.43,35.73,25840200,35.73
2008-06-10,36.68,36.92,36.12,36.39,17612700,36.39
2008-06-09,37.60,37.83,36.71,36.99,15098700,36.99
2008-06-06,38.59,38.66,37.43,37.49,21969900,37.49
2008-06-05,38.37,38.98,38.09,38.89,13428800,38.89
2008-06-04,38.13,38.43,38.08,38.17,11552000,38.17
2008-06-03,38.28,38.57,38.04,38.35,12269200,37.97
2008-06-02,38.96,38.99,37.90,38.17,19494700,37.79
2008-05-30,39.11,39.26,38.53,38.96,13936700,38.57
2008-05-29,38.67,39.49,38.52,38.92,16202500,38.53
2008-05-28,38.80,38.86,38.23,38.66,11809000,38.28
2008-05-27,38.93,39.37,38.35,38.62,18798900,38.24
2008-05-23,38.99,39.24,38.72,38.74,10346600,38.36
2008-05-22,39.12,39.35,38.65,39.03,10859700,38.64
2008-05-21,39.73,40.09,39.00,39.13,12780400,38.74
2008-05-20,39.79,40.45,39.60,39.74,11052400,39.35
2008-05-19,39.95,40.10,39.77,40.02,14357800,39.62
2008-05-16,40.21,40.21,39.63,40.00,11971900,39.60
2008-05-15,39.82,40.09,39.47,40.00,13703900,39.60
2008-05-14,39.27,39.99,39.17,39.83,13065700,39.44
2008-05-13,39.50,39.83,38.94,39.17,12613700,38.78
2008-05-12,39.01,39.70,38.98,39.62,10252400,39.23
2008-05-09,39.00,39.62,38.50,38.99,12594100,38.60
2008-05-08,39.23,39.73,38.63,39.09,11337200,38.70
2008-05-07,38.85,39.49,38.85,39.01,16727600,38.62
2008-05-06,38.97,39.00,38.51,38.84,10439700,38.46
2008-05-05,39.37,39.40,38.90,38.98,10445300,38.59
2008-05-02,38.92,39.50,38.78,39.37,17154900,38.98
2008-05-01,37.81,39.04,37.80,38.95,23993400,38.56
2008-04-30,37.40,38.15,36.80,38.04,37419600,37.66
