Date,Open,High,Low,Close,Volume,Adj Close
2008-07-08,35.17,35.68,34.72,35.36,14601400,35.36
2008-07-07,35.94,36.33,34.86,35.43,16144500,35.00
2008-07-03,35.67,36.10,35.51,35.75,10597200,35.32
2008-07-02,35.72,35.99,35.50,35.63,17068700,35.20
2008-07-01,34.97,35.99,34.76,35.53,22806500,35.10
2008-06-30,34.27,35.58,34.15,35.40,18045900,34.97
2008-06-27,34.34,34.71,33.84,34.28,17971800,33.86
2008-06-26,35.49,35.49,34.31,34.31,19229900,33.89
2008-06-25,35.48,36.09,35.28,35.59,13435600,35.16
2008-06-24,35.85,35.88,35.04,35.41,13157900,34.98
2008-06-23,35.46,36.04,35.37,35.91,15924500,35.47
2008-06-20,36.16,36.62,35.26,35.38,22117900,34.95
2008-06-19,35.90,36.72,35.71,36.50,15081600,36.06
2008-06-18,35.72,36.07,35.27,35.98,12867300,35.54
2008-06-17,36.35,36.38,35.80,35.89,14403700,35.45
2008-06-16,36.54,36.79,36.11,36.24,15716800,35.80
2008-06-13,36.95,37.38,36.32,37.33,10931500,36.88
2008-06-12,36.89,37.56,36.17,36.63,16005800,36.19
2008-06-11,37.37,37.37,36.13,36.67,19315800,36.22
2008-06-10,37.72,37.92,37.03,37.52,13910500,37.06
2008-06-09,38.26,38.68,37.73,37.94,13390000,37.48
2008-06-06,38.71,38.89,38.00,38.23,18802000,37.77
2008-06-05,37.05,39.52,37.00,38.96,41727900,38.49
2008-06-04,37.52,37.70,36.34,36.98,23120400,36.53
2008-06-03,37.92,38.15,37.06,37.36,11429400,36.91
2008-06-02,38.40,38.50,36.20,37.86,13587500,37.40
2008-05-30,38.41,38.87,38.17,38.47,11834200,38.00
2008-05-29,37.78,38.64,37.48,38.37,9995300,37.90
2008-05-28,37.45,37.88,37.29,37.77,11016000,37.31
2008-05-27,37.03,37.58,36.75,37.38,8965000,36.93
2008-05-23,37.42,37.42,36.90,37.08,8882400,36.63
2008-05-22,37.29,37.77,37.15,37.47,8890400,37.02
2008-05-21,37.97,38.03,37.02,37.22,15998500,36.77
2008-05-20,38.83,38.86,37.55,37.83,15707100,37.37
2008-05-19,38.75,39.23,38.37,39.10,10868500,38.63
