Date,Open,High,Low,Close,Volume,Adj Close
2008-07-08,57.17,59.29,56.91,59.11,32714300,59.11
2008-07-07,56.75,57.87,56.20,56.91,22230900,56.91
2008-07-03,56.86,57.57,56.03,56.60,11793600,56.60
2008-07-02,57.25,57.80,56.45,56.50,20767500,56.50
2008-07-01,56.00,57.07,55.61,57.03,22714900,57.03
2008-06-30,56.73,57.82,56.02,56.20,22242200,56.20
2008-06-27,56.65,57.35,55.85,56.30,28653500,56.30
2008-06-26,57.75,58.27,56.83,56.83,21051600,56.83
2008-06-25,57.42,58.73,57.35,58.12,22062300,58.12
2008-06-24,56.32,57.85,56.25,57.32,19625600,57.32
2008-06-23,56.60,57.00,56.43,56.64,14295800,56.64
2008-06-20,57.40,57.70,56.20,56.26,27051900,56.26
2008-06-19,57.62,58.25,57.37,57.69,20677100,57.69
2008-06-18,58.20,59.41,57.59,57.67,22236700,57.67
2008-06-17,59.49,59.53,58.50,58.69,13559000,58.69
2008-06-16,58.90,59.39,58.50,59.31,18090100,59.31
2008-06-13,59.38,59.75,58.86,59.18,20883900,59.18
2008-06-12,58.92,59.83,58.73,59.11,19249100,59.11
2008-06-11,59.65,59.78,58.47,58.52,20755700,58.52
2008-06-10,59.26,59.95,59.05,59.78,21243200,59.78
2008-06-09,58.98,59.74,58.44,59.57,23345000,59.57
2008-06-06,59.33,59.57,58.33,58.37,23520900,58.37
2008-06-05,58.50,59.90,58.41,59.80,35740200,59.80
2008-06-04,57.49,58.02,57.34,57.68,14710600,57.68
2008-06-03,57.79,58.05,57.36,57.77,17073100,57.77
2008-06-02,57.41,57.99,56.52,57.20,17280800,57.20
2008-05-30,57.98,58.08,57.50,57.74,12122700,57.74
2008-05-29,56.93,58.15,56.93,57.94,18545800,57.94
2008-05-28,56.81,57.24,56.56,57.09,20417300,57.09
2008-05-27,55.80,56.68,55.80,56.40,17280200,56.40
2008-05-23,55.88,55.98,55.40,55.75,13558200,55.75
2008-05-22,55.20,56.21,55.09,56.05,15065200,56.05
2008-05-21,55.94,56.20,55.05,55.23,20367300,55.23
2008-05-20,56.15,56.39,55.48,55.95,21835600,55.95
2008-05-19,56.95,57.05,56.16,56.40,15555900,56.40
2008-05-16,57.39,57.43,56.59,57.04,14540900,57.04
2008-05-15,57.57,57.57,56.65,57.12,16672700,57.12
2008-05-14,56.88,57.60,56.65,57.45,17469400,57.45
2008-05-13,57.35,57.50,56.37,56.65,29000600,56.41
2008-05-12,57.69,58.37,57.64,58.02,18205100,57.78
2008-05-09,56.83,57.49,56.61,57.18,12992000,56.94
2008-05-08,57.39,57.60,56.75,57.16,26499000,56.92
2008-05-07,56.27,56.85,56.03,56.83,25029800,56.59
2008-05-06,56.99,57.24,56.03,56.35,21193400,56.11
2008-05-05,57.08,57.34,56.81,56.97,18498200,56.73
2008-05-02,58.89,58.89,56.90,57.50,19488800,57.26
2008-05-01,58.20,59.09,57.63,58.07,18653000,57.83
2008-04-30,58.70,59.04,57.88,57.98,20268400,57.74
2008-04-29,57.41,58.80,57.40,58.61,17691400,58.36
2008-04-28,57.50,57.94,57.20,57.35,12469100,57.11
2008-04-25,57.93,58.04,57.14,57.65,16982400,57.41
2008-04-24,57.02,57.68,57.01,57.45,19341500,57.21
2008-04-23,56.31,57.27,56.31,56.92,15216800,56.68
2008-04-22,56.25,56.56,55.84,56.55,14537300,56.31
2008-04-21,56.07,56.48,55.75,56.38,14373500,56.14
2008-04-18,57.00,57.36,56.14,56.31,19735700,56.07
2008-04-17,56.78,56.96,56.19,56.67,20980100,56.43
2008-04-16,56.45,57.12,56.35,57.07,28132800,56.83
2008-04-15,55.21,56.39,55.19,56.27,25633500,56.03
2008-04-14,54.89,55.34,54.86,55.15,17423500,54.92
2008-04-11,54.25,55.14,54.13,54.80,23461100,54.57
2008-04-10,54.55,55.33,54.41,54.66,28967600,54.43
2008-04-09,54.37,54.60,53.74,54.14,19530800,53.91
2008-04-08,54.01,54.85,53.99,54.45,15757000,54.22
2008-04-07,54.69,54.81,53.91,54.23,18858100,54.00
2008-04-04,54.91,54.95,54.22,54.40,20728100,54.17
2008-04-03,54.10,55.20,53.99,54.93,23190400,54.70
2008-04-02,54.31,54.89,54.00,54.46,21720300,54.23
2008-04-01,53.19,54.16,52.81,54.08,24232600,53.85
2008-03-31,52.20,53.11,51.63,52.68,19594400,52.46
2008-03-28,52.01,52.67,51.77,52.12,15048000,51.90
2008-03-27,53.01,53.22,52.28,52.37,18981300,52.15
2008-03-26,52.88,53.40,52.66,52.90,19226400,52.68
2008-03-25,53.53,53.71,52.91,53.05,20327500,52.83
2008-03-24,53.45,54.15,53.23,53.63,22246400,53.40
2008-03-20,50.85,53.49,50.80,53.23,44533300,53.01
2008-03-19,50.82,51.45,50.66,50.78,25829900,50.57
2008-03-18,50.26,51.01,50.22,50.98,26380000,50.77
2008-03-17,49.34,50.40,49.29,49.95,22126100,49.74
2008-03-14,50.71,50.71,49.17,49.82,27481400,49.61
2008-03-13,49.93,50.67,49.46,50.60,29852900,50.39
2008-03-12,50.02,50.72,49.94,50.29,26273700,50.08
2008-03-11,49.85,50.39,49.54,50.25,28354700,49.80
2008-03-10,50.00,50.00,48.64,48.85,24325300,48.41
2008-03-07,49.68,50.74,49.68,49.90,24346300,49.46
2008-03-06,50.24,50.40,49.85,49.98,27516400,49.53
2008-03-05,49.96,50.19,49.26,49.55,22994800,49.11
2008-03-04,49.73,50.02,49.62,49.87,24989100,49.43
2008-03-03,49.43,50.02,49.22,49.89,19752100,49.45
2008-02-29,50.38,50.67,49.53,49.59,20219400,49.15
2008-02-28,51.13,51.40,50.63,50.70,18397000,50.25
2008-02-27,50.99,51.57,50.92,51.43,29191300,50.97
2008-02-26,50.19,51.48,50.19,51.40,31028600,50.94
2008-02-25,50.19,50.40,49.70,50.33,25536400,49.88
2008-02-22,49.90,50.20,49.47,49.97,19518900,49.52
2008-02-21,49.85,50.23,49.60,49.79,22399700,49.35
2008-02-20,49.30,49.97,49.01,49.70,21676800,49.26
2008-02-19,50.10,50.32,49.30,49.66,22027200,49.22
2008-02-15,49.68,50.00,49.11,49.44,25832500,49.00
2008-02-14,50.58,50.90,49.76,49.97,18011900,49.52
2008-02-13,50.62,51.01,50.22,50.66,16078600,50.21
2008-02-12,49.48,50.72,49.48,50.25,23367400,49.80
2008-02-11,48.84,49.68,48.34,49.60,21552900,49.16
2008-02-08,49.67,50.10,48.64,48.76,22542300,48.33
2008-02-07,47.85,50.00,47.84,49.84,36286200,49.40
2008-02-06,49.60,50.03,48.51,48.83,28492300,48.39
2008-02-05,49.46,50.66,49.46,49.56,28403700,49.12
2008-02-04,51.00,51.25,49.83,50.07,20321300,49.62
2008-02-01,50.90,51.48,50.31,51.18,25745800,50.72
2008-01-31,48.85,51.30,48.73,50.74,46217900,50.29
2008-01-30,48.80,50.00,48.50,49.16,24486700,48.72
2008-01-29,49.10,49.19,48.13,49.01,21741500,48.57
2008-01-28,48.06,48.78,47.90,48.71,23440900,48.28
2008-01-25,49.09,49.26,47.99,48.09,24975700,47.66
2008-01-24,50.21,50.24,48.48,48.91,35716500,48.47
2008-01-23,48.50,50.36,48.31,50.16,50422200,49.71
2008-01-22,46.47,49.53,46.09,49.20,45128500,48.76
2008-01-18,47.89,48.51,47.42,47.58,33709400,47.16
2008-01-17,47.55,47.93,47.10,47.48,27911400,47.06
2008-01-16,46.68,48.05,46.68,47.49,25324300,47.07
2008-01-15,46.99,47.43,46.77,46.99,24480100,46.57
2008-01-14,47.98,47.98,43.11,47.67,20562600,47.24
2008-01-11,48.06,48.61,47.50,47.72,28185000,47.29
2008-01-10,47.10,48.77,47.10,48.40,35694800,47.97
2008-01-09,45.97,47.00,45.24,46.90,27197600,46.48
2008-01-08,46.59,47.08,45.88,45.97,19017100,45.56
2008-01-07,45.80,46.81,45.59,46.56,20326500,46.14
2008-01-04,45.91,46.37,45.37,45.72,20351200,45.31
2008-01-03,46.72,46.90,46.23,46.38,19801000,45.97
2008-01-02,47.41,47.63,46.46,46.90,19918600,46.48
2007-12-31,47.84,48.08,47.33,47.53,12176400,47.11
2007-12-28,48.00,48.47,47.77,48.08,8610900,47.65
2007-12-27,48.21,48.30,47.62,47.77,10758400,47.34
2007-12-26,48.20,48.50,47.92,48.38,9346600,47.95
2007-12-24,48.12,49.08,48.12,48.74,6325000,48.31
2007-12-21,47.82,48.50,47.80,48.21,23247600,47.78
2007-12-20,48.08,48.34,47.32,47.85,14158700,47.42
2007-12-19,48.15,48.49,47.85,48.08,13121100,47.65
2007-12-18,48.08,48.55,46.87,48.24,16863900,47.81
2007-12-17,47.60,48.16,47.26,47.83,16507500,47.40
2007-12-14,48.17,48.20,47.60,47.63,13588200,47.21
2007-12-13,47.81,48.48,47.75,48.33,16399900,47.90
2007-12-12,49.62,49.64,47.61,48.23,23946000,47.80
2007-12-11,49.41,50.05,48.62,49.03,26056000,48.37
2007-12-10,49.06,49.68,48.92,49.43,12558100,48.77
2007-12-07,49.26,49.39,48.80,49.02,14387000,48.36
2007-12-06,48.49,49.41,48.00,49.27,20289400,48.61
2007-12-05,48.54,49.12,48.51,48.90,17449200,48.25
2007-12-04,47.49,48.56,47.49,48.19,16460500,47.55
2007-12-03,47.71,48.31,47.57,47.87,12276100,47.23
2007-11-30,47.70,48.23,47.60,47.90,16397300,47.26
2007-11-29,46.80,47.85,46.76,47.54,14764800,46.90
2007-11-28,46.08,47.52,46.00,47.23,28587800,46.60
2007-11-27,45.27,46.18,45.15,45.83,21013800,45.22
2007-11-26,46.00,46.38,45.00,45.03,21989600,44.43
2007-11-23,45.23,46.25,44.87,45.73,13583100,45.12
2007-11-21,45.03,45.41,44.68,44.86,17478900,44.26
2007-11-20,45.45,46.21,44.70,45.50,25569500,44.89
2007-11-19,46.00,46.35,45.25,45.47,14989800,44.86
2007-11-16,46.42,46.60,45.62,46.34,18925200,45.72
2007-11-15,46.29,47.06,45.87,46.20,21829900,45.58
2007-11-14,46.24,47.08,46.12,46.51,29110400,45.89
2007-11-13,45.00,46.35,45.00,45.97,40735900,45.36
2007-11-12,42.98,44.57,42.66,43.32,25469300,42.74
2007-11-09,43.15,43.41,42.50,42.90,20431400,42.33
2007-11-08,44.19,44.38,42.82,43.62,20800200,43.04
2007-11-07,44.00,44.59,43.82,43.93,17568500,43.34
2007-11-06,44.01,44.40,43.81,44.29,12562400,43.70
2007-11-05,44.25,44.38,43.78,44.03,12579200,43.44
2007-11-02,44.16,44.38,43.66,44.19,18035400,43.60
2007-11-01,44.70,44.94,43.94,44.03,19866800,43.44
2007-10-31,45.71,45.81,44.53,45.21,22122300,44.61
2007-10-30,44.74,45.85,44.69,45.37,16429000,44.76
2007-10-29,44.72,45.14,44.62,45.01,13703000,44.41
2007-10-26,44.55,44.81,44.11,44.64,17033500,44.04
2007-10-25,43.96,44.25,43.28,43.88,21283800,43.29
2007-10-24,44.10,44.18,43.27,43.87,22283300,43.28
2007-10-23,45.51,45.58,43.50,43.93,38072000,43.34
2007-10-22,44.80,45.46,44.64,45.25,21218500,44.65
2007-10-19,45.84,46.02,44.96,44.98,22970800,44.38
2007-10-18,45.78,46.04,45.34,45.89,19021600,45.28
2007-10-17,46.14,46.36,45.28,45.99,23915600,45.38
2007-10-16,46.28,46.30,45.58,45.86,18018500,45.25
2007-10-15,47.01,47.07,46.26,46.45,16446000,45.83
2007-10-12,46.98,47.28,46.80,47.06,13996700,46.43
2007-10-11,47.35,47.70,46.72,46.90,41096600,46.27
2007-10-10,45.10,45.74,45.10,45.59,15830000,44.98
2007-10-09,45.03,45.49,44.63,45.21,12247800,44.61
2007-10-08,45.20,45.40,45.08,45.27,8070200,44.66
2007-10-05,45.45,45.88,44.97,45.37,13122700,44.76
2007-10-04,45.06,45.34,44.77,45.00,9553600,44.40
2007-10-03,44.69,45.60,44.49,45.13,17053700,44.53
2007-10-02,44.45,45.11,44.36,44.87,18352900,44.27
2007-10-01,43.83,44.67,43.66,44.47,15185900,43.88
2007-09-28,43.61,44.00,43.51,43.65,13055700,43.07
2007-09-27,43.56,44.02,43.48,43.61,14204300,43.03
2007-09-26,43.30,43.60,42.95,43.30,19146600,42.72
2007-09-25,43.29,43.30,42.68,43.16,21317800,42.58
