Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,61.05,61.38,59.51,60.40,5590900,60.40
10-May-05,60.56,62.50,60.50,61.04,9135400,60.79
9-May-05,60.75,60.96,60.16,60.56,3871300,60.31
6-May-05,60.18,61.25,60.13,61.01,3279200,60.76
5-May-05,60.10,60.38,59.59,59.74,3144000,59.50
4-May-05,59.75,60.48,59.64,60.28,3287500,60.03
3-May-05,59.65,60.40,59.23,59.87,4469400,59.62
2-May-05,59.52,59.88,58.90,59.38,4266800,59.14
29-Apr-05,59.03,59.60,58.26,59.52,3698600,59.28
28-Apr-05,60.00,60.00,58.61,58.72,4778800,58.48
27-Apr-05,58.49,60.10,58.25,59.66,7408000,59.42
26-Apr-05,59.85,60.00,58.15,59.00,5073300,58.76
25-Apr-05,58.80,59.76,58.80,59.58,3492300,59.34
22-Apr-05,58.55,58.84,57.24,57.88,3050700,57.64
21-Apr-05,57.85,59.08,57.72,59.08,3354900,58.84
20-Apr-05,58.10,58.37,57.23,57.23,3940900,57.00
19-Apr-05,56.93,58.36,56.62,58.09,3570000,57.85
18-Apr-05,56.65,57.32,56.22,56.92,3497700,56.69
15-Apr-05,58.05,58.49,57.00,57.00,3339600,56.77
14-Apr-05,59.05,59.32,58.13,58.16,3730000,57.92
13-Apr-05,58.65,59.05,58.45,58.67,3825800,58.43
12-Apr-05,59.40,59.55,57.75,58.45,6787500,58.21
11-Apr-05,58.75,59.81,58.75,59.40,4269300,59.16
8-Apr-05,59.00,59.01,58.42,58.60,2527400,58.36
7-Apr-05,58.45,59.14,58.30,59.01,3491900,58.77
6-Apr-05,58.72,58.78,58.35,58.43,2595600,58.19
5-Apr-05,58.32,59.45,58.05,58.33,4414900,58.09
4-Apr-05,58.60,58.72,58.01,58.33,2961100,58.09
1-Apr-05,58.55,59.12,58.30,58.78,3853800,58.54
31-Mar-05,58.79,58.79,57.94,58.46,3385300,58.22
30-Mar-05,57.25,58.80,57.25,58.79,3652600,58.55
29-Mar-05,57.73,58.17,57.00,57.25,5307200,57.02
28-Mar-05,57.30,58.13,57.26,58.10,3104100,57.86
24-Mar-05,57.02,57.24,56.67,56.80,1806400,56.57
23-Mar-05,57.23,57.40,56.62,56.85,3041300,56.62
22-Mar-05,57.00,57.70,56.95,57.22,3646500,56.99
21-Mar-05,57.00,57.20,56.58,56.84,2053200,56.61
18-Mar-05,57.05,57.19,56.57,57.16,5497600,56.93
17-Mar-05,56.75,57.31,56.71,56.89,3839200,56.66
16-Mar-05,58.30,58.52,56.70,56.77,4868300,56.54
15-Mar-05,57.85,58.94,57.63,58.48,4775300,58.24
14-Mar-05,57.50,57.99,57.30,57.71,3272300,57.47
11-Mar-05,57.85,58.22,57.20,57.49,3275100,57.25
10-Mar-05,57.76,58.36,57.69,57.98,3411000,57.74
9-Mar-05,57.85,58.05,57.44,57.75,3505800,57.51
8-Mar-05,58.31,58.68,57.81,58.15,4604500,57.91
7-Mar-05,57.52,58.42,57.25,58.30,6256100,58.06
4-Mar-05,57.63,58.74,56.99,58.38,6625600,58.14
3-Mar-05,55.45,58.07,55.32,57.42,8889100,57.18
2-Mar-05,54.45,55.42,54.37,55.30,4414100,55.07
1-Mar-05,54.98,55.23,54.26,54.49,4279200,54.27
28-Feb-05,54.90,55.05,54.71,54.97,4608600,54.74
25-Feb-05,53.60,55.03,53.33,54.99,4502800,54.76
24-Feb-05,53.20,53.94,52.96,53.94,3890600,53.72
23-Feb-05,52.80,53.11,52.56,52.72,4072900,52.50
22-Feb-05,52.35,52.55,52.07,52.15,3327100,51.94
18-Feb-05,53.67,53.67,52.55,52.78,4805100,52.56
17-Feb-05,54.20,54.45,53.58,53.66,4133800,53.44
16-Feb-05,54.15,54.29,53.80,53.92,2767500,53.70
15-Feb-05,54.25,54.82,54.01,54.43,3302200,54.21
14-Feb-05,54.01,54.33,53.72,54.04,2882800,53.82
11-Feb-05,53.75,54.30,53.35,54.14,2204300,53.92
10-Feb-05,54.12,54.43,53.63,53.86,3634700,53.64
9-Feb-05,53.50,54.16,53.36,54.12,4835300,53.90
8-Feb-05,52.65,53.62,52.39,53.50,6070700,53.03
7-Feb-05,52.42,52.69,52.30,52.50,3731200,52.04
4-Feb-05,51.95,52.90,51.90,52.58,3324900,52.12
3-Feb-05,52.95,52.95,51.94,52.00,4199200,51.55
2-Feb-05,52.20,52.89,51.42,52.23,6095300,51.77
1-Feb-05,50.60,51.18,50.22,51.04,2684700,50.59
31-Jan-05,50.25,50.63,50.07,50.60,3894400,50.16
28-Jan-05,50.97,50.98,49.54,49.92,3717100,49.48
27-Jan-05,49.54,51.00,49.54,50.97,4708800,50.52
26-Jan-05,49.56,50.34,49.52,49.86,3530800,49.42
25-Jan-05,50.15,50.21,49.52,49.84,2954600,49.40
24-Jan-05,50.33,50.60,49.52,49.64,3019300,49.21
21-Jan-05,50.65,50.98,50.01,50.07,2593000,49.63
20-Jan-05,51.10,51.51,50.88,50.90,2457500,50.45
19-Jan-05,51.60,51.86,51.31,51.41,2723200,50.96
18-Jan-05,50.50,51.97,50.45,51.88,3537400,51.43
14-Jan-05,50.60,50.99,50.10,50.91,3084500,50.46
13-Jan-05,51.90,52.15,50.59,50.63,4252500,50.19
12-Jan-05,51.00,51.96,50.95,51.94,4126100,51.49
11-Jan-05,51.03,51.10,50.62,50.82,2044100,50.38
10-Jan-05,50.13,51.33,50.10,50.98,2877800,50.53
7-Jan-05,50.50,50.85,50.10,50.31,1957100,49.87
6-Jan-05,50.68,51.12,50.34,50.48,3076700,50.04
5-Jan-05,50.00,51.13,49.55,50.81,5336700,50.37
