Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,2.12,2.15,2.07,2.13,3386900,2.13
10-May-05,2.13,2.14,2.11,2.13,2501800,2.13
9-May-05,2.13,2.18,2.10,2.16,5202100,2.16
6-May-05,2.16,2.19,2.11,2.14,4662700,2.14
5-May-05,2.19,2.20,2.12,2.14,4930100,2.14
4-May-05,2.22,2.25,2.15,2.19,6573600,2.19
3-May-05,2.30,2.34,2.17,2.20,10168900,2.20
2-May-05,2.30,2.34,2.25,2.30,13102900,2.30
29-Apr-05,2.12,2.31,2.05,2.30,23242400,2.30
28-Apr-05,2.16,2.24,2.07,2.10,35266500,2.10
27-Apr-05,1.91,2.03,1.91,2.02,5634500,2.02
26-Apr-05,2.00,2.00,1.94,1.95,3456800,1.95
25-Apr-05,2.04,2.05,1.98,2.01,7515700,2.01
22-Apr-05,2.04,2.05,1.84,1.91,5003900,1.91
21-Apr-05,2.02,2.05,1.98,2.05,5738300,2.05
20-Apr-05,1.94,2.03,1.94,2.02,9765700,2.02
19-Apr-05,1.97,1.97,1.92,1.95,5119800,1.95
18-Apr-05,1.87,1.96,1.79,1.90,22094700,1.90
15-Apr-05,1.87,1.93,1.82,1.92,5811500,1.92
14-Apr-05,1.88,1.89,1.80,1.88,5850300,1.88
13-Apr-05,1.84,1.91,1.82,1.87,6809200,1.87
12-Apr-05,1.98,1.99,1.84,1.90,8457800,1.90
11-Apr-05,1.93,2.00,1.90,1.98,8986500,1.98
8-Apr-05,1.88,1.92,1.85,1.91,11987200,1.91
7-Apr-05,1.79,1.88,1.76,1.88,8188100,1.88
6-Apr-05,1.73,1.80,1.72,1.76,16221700,1.76
5-Apr-05,1.69,1.73,1.65,1.70,9385100,1.70
4-Apr-05,1.72,1.75,1.65,1.69,6439500,1.69
1-Apr-05,1.76,1.81,1.67,1.70,7876900,1.70
31-Mar-05,1.72,1.72,1.64,1.72,13460400,1.72
30-Mar-05,1.72,1.75,1.70,1.72,9295700,1.72
29-Mar-05,1.75,1.78,1.71,1.72,7367800,1.72
28-Mar-05,1.82,1.84,1.76,1.76,6106700,1.76
24-Mar-05,1.86,1.87,1.81,1.82,4126600,1.82
23-Mar-05,1.92,1.93,1.83,1.85,5680700,1.85
22-Mar-05,1.94,1.96,1.89,1.89,8075200,1.89
21-Mar-05,1.86,1.97,1.83,1.95,13832300,1.95
18-Mar-05,1.84,1.88,1.77,1.85,14006800,1.85
17-Mar-05,1.89,1.91,1.82,1.85,9152200,1.85
16-Mar-05,1.89,1.95,1.88,1.90,6615300,1.90
15-Mar-05,1.96,1.98,1.92,1.93,6107900,1.93
14-Mar-05,2.01,2.04,1.89,1.92,14254500,1.92
11-Mar-05,1.97,2.08,1.96,2.00,16807500,2.00
10-Mar-05,2.00,2.01,1.93,1.94,9463400,1.94
9-Mar-05,1.94,2.10,1.93,1.99,18710900,1.99
8-Mar-05,2.01,2.02,1.90,1.91,7855000,1.91
7-Mar-05,1.99,2.02,1.98,1.99,9844200,1.99
4-Mar-05,2.00,2.01,1.97,1.97,7273100,1.97
3-Mar-05,2.03,2.03,1.98,1.98,5660200,1.98
2-Mar-05,2.07,2.09,1.98,2.00,9035300,2.00
1-Mar-05,1.99,2.09,1.96,2.07,15894800,2.07
28-Feb-05,2.06,2.09,1.95,1.98,16116800,1.98
25-Feb-05,2.14,2.15,2.02,2.04,24530200,2.04
24-Feb-05,2.43,2.44,1.94,2.13,49827700,2.13
23-Feb-05,2.79,2.84,2.40,2.40,39333000,2.40
22-Feb-05,2.55,2.76,2.55,2.75,15919600,2.75
18-Feb-05,2.61,2.69,2.55,2.55,5357300,2.55
17-Feb-05,2.70,2.75,2.58,2.59,9084300,2.59
16-Feb-05,2.75,2.76,2.68,2.72,6465200,2.72
15-Feb-05,2.75,2.82,2.72,2.77,4636800,2.77
14-Feb-05,2.83,2.87,2.70,2.75,6701200,2.75
11-Feb-05,2.77,2.89,2.76,2.83,6160000,2.83
10-Feb-05,2.83,2.83,2.69,2.80,7876400,2.80
9-Feb-05,2.92,2.95,2.75,2.79,10595200,2.79
8-Feb-05,2.72,2.88,2.69,2.84,15527200,2.84
7-Feb-05,2.75,2.75,2.66,2.71,7327600,2.71
4-Feb-05,2.67,2.84,2.52,2.70,12076000,2.70
