Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,47.45,47.66,46.70,47.43,4106700,47.43
10-May-05,48.27,48.27,47.42,47.59,3083400,47.22
9-May-05,48.05,48.42,47.80,48.27,2207700,47.89
6-May-05,48.33,48.55,47.84,48.05,2115700,47.68
5-May-05,48.57,48.87,47.85,48.21,2672300,47.84
4-May-05,47.81,48.62,47.81,48.62,2801700,48.24
3-May-05,47.20,48.04,47.10,47.74,3116300,47.37
2-May-05,47.12,47.71,46.94,47.19,2917100,46.82
29-Apr-05,46.40,47.31,46.26,47.11,4096000,46.74
28-Apr-05,46.48,46.94,45.80,45.96,3666800,45.60
27-Apr-05,46.70,46.92,46.01,46.47,5176800,46.11
26-Apr-05,48.20,48.44,46.95,47.03,4563600,46.66
25-Apr-05,48.15,48.85,48.05,48.58,2668700,48.20
22-Apr-05,48.07,48.55,47.61,48.10,3280100,47.73
21-Apr-05,48.10,48.56,47.52,48.44,3098600,48.06
20-Apr-05,48.16,48.24,47.25,47.25,3620700,46.88
19-Apr-05,47.66,48.65,47.60,48.13,4421600,47.76
18-Apr-05,46.60,47.47,46.15,47.20,3734800,46.83
15-Apr-05,46.98,47.56,46.38,46.55,5440200,46.19
14-Apr-05,48.63,48.64,46.96,47.36,6811000,46.99
13-Apr-05,49.95,49.98,48.41,48.69,4761400,48.31
12-Apr-05,50.13,50.38,49.20,50.05,6157500,49.66
11-Apr-05,50.71,50.83,50.27,50.38,1774900,49.99
8-Apr-05,51.54,51.58,50.68,50.70,1976000,50.31
7-Apr-05,50.90,51.66,50.70,51.54,2362400,51.14
6-Apr-05,51.06,51.38,50.88,50.95,2183500,50.55
5-Apr-05,50.40,50.94,50.16,50.77,2742200,50.38
4-Apr-05,50.66,50.71,50.20,50.43,3654500,50.04
1-Apr-05,51.52,51.88,50.62,50.83,3748400,50.43
31-Mar-05,51.12,51.42,50.88,51.24,2774800,50.84
30-Mar-05,50.59,51.23,50.52,51.12,3544600,50.72
29-Mar-05,51.24,51.67,50.16,50.29,4047300,49.90
28-Mar-05,51.21,51.55,50.93,51.24,3210100,50.84
24-Mar-05,51.40,51.61,50.94,50.98,2657600,50.58
23-Mar-05,51.74,52.07,50.91,51.21,4035500,50.81
22-Mar-05,51.36,52.69,51.21,51.74,4689000,51.34
21-Mar-05,52.09,52.13,51.20,51.38,2672400,50.98
18-Mar-05,51.70,52.17,51.45,52.14,6765900,51.73
17-Mar-05,51.70,52.24,51.42,51.58,3644400,51.18
16-Mar-05,52.64,52.78,51.40,51.73,5921400,51.33
15-Mar-05,53.94,54.08,53.11,53.13,2777400,52.72
14-Mar-05,53.37,54.23,53.20,53.94,3079000,53.52
11-Mar-05,53.70,54.52,53.47,53.47,3574600,53.05
10-Mar-05,54.47,54.58,53.41,54.04,3288200,53.62
9-Mar-05,53.67,54.62,53.67,54.47,4344900,54.05
8-Mar-05,53.95,54.04,53.60,53.77,2819900,53.35
7-Mar-05,54.23,54.31,53.84,53.95,2649500,53.53
4-Mar-05,53.30,54.90,53.30,54.55,5431400,54.13
3-Mar-05,53.50,53.81,52.68,53.10,3562800,52.69
2-Mar-05,53.30,53.77,53.10,53.33,4574000,52.92
1-Mar-05,53.90,54.26,53.45,53.88,4677600,53.46
28-Feb-05,53.75,53.99,53.06,53.30,4234500,52.89
25-Feb-05,53.50,54.34,53.23,53.96,3802600,53.54
24-Feb-05,53.00,53.54,52.88,53.54,4567400,53.12
23-Feb-05,52.71,53.45,52.65,53.31,4806800,52.90
22-Feb-05,52.80,53.77,52.64,52.82,7604900,52.41
