Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,10.25,10.25,10.07,10.21,3805500,10.21
10-May-05,10.44,10.50,10.11,10.21,3747700,10.21
9-May-05,10.30,10.55,10.28,10.55,2048800,10.55
6-May-05,10.31,10.39,10.28,10.33,1423100,10.33
5-May-05,10.27,10.41,10.18,10.28,2014800,10.28
4-May-05,10.22,10.39,10.14,10.32,3439400,10.32
3-May-05,10.26,10.33,10.09,10.18,2891000,10.18
2-May-05,10.02,10.27,9.95,10.26,4002400,10.26
29-Apr-05,10.03,10.05,9.88,9.99,6007000,9.99
28-Apr-05,10.17,10.20,9.90,10.03,5346100,10.03
27-Apr-05,10.24,10.29,10.04,10.23,4770800,10.23
26-Apr-05,10.47,10.47,10.21,10.24,2838900,10.24
25-Apr-05,10.47,10.58,10.35,10.43,2784900,10.43
22-Apr-05,10.35,10.40,10.20,10.35,4326600,10.35
21-Apr-05,10.25,10.40,10.16,10.30,4262000,10.30
20-Apr-05,10.33,10.44,10.11,10.16,5217100,10.16
19-Apr-05,10.25,10.36,10.13,10.23,7057100,10.23
18-Apr-05,9.60,10.20,9.30,10.15,9333100,10.15
15-Apr-05,9.99,10.08,9.78,9.82,8141700,9.82
14-Apr-05,10.30,10.39,9.92,9.96,7496600,9.96
13-Apr-05,10.45,10.47,10.32,10.35,5904800,10.35
12-Apr-05,10.42,10.43,10.32,10.40,8472600,10.40
11-Apr-05,10.56,10.56,10.30,10.42,12652600,10.42
8-Apr-05,10.62,10.65,10.50,10.56,5124000,10.56
7-Apr-05,10.69,10.77,10.28,10.62,14220400,10.62
6-Apr-05,10.35,10.63,10.30,10.55,8132300,10.55
5-Apr-05,10.63,10.73,10.54,10.66,2921000,10.66
4-Apr-05,10.69,10.77,10.41,10.55,3892200,10.55
1-Apr-05,10.68,10.79,10.58,10.65,2557100,10.65
31-Mar-05,10.47,10.71,10.45,10.58,4392900,10.58
30-Mar-05,10.20,10.44,10.19,10.41,6740500,10.41
29-Mar-05,10.30,10.41,10.11,10.19,5661400,10.19
28-Mar-05,10.61,10.62,10.33,10.40,4446900,10.40
24-Mar-05,10.38,10.58,10.27,10.47,6062000,10.47
23-Mar-05,10.47,10.61,10.20,10.35,6779200,10.35
22-Mar-05,10.75,10.80,10.44,10.53,7900200,10.53
21-Mar-05,11.15,11.16,10.77,10.83,12838800,10.83
18-Mar-05,11.19,11.30,11.14,11.16,4125400,11.16
17-Mar-05,11.22,11.40,11.15,11.18,5328700,11.18
16-Mar-05,11.05,11.35,11.02,11.15,8786900,11.15
15-Mar-05,11.72,11.85,11.45,11.53,2548800,11.53
14-Mar-05,11.70,11.81,11.50,11.72,2856000,11.72
11-Mar-05,11.55,11.86,11.52,11.66,3746400,11.66
10-Mar-05,11.64,11.67,11.25,11.50,4740900,11.50
9-Mar-05,12.00,12.10,11.66,11.67,4323300,11.67
8-Mar-05,12.23,12.25,11.97,12.00,10017100,12.00
7-Mar-05,12.38,12.38,12.10,12.21,4111000,12.21
4-Mar-05,12.37,12.41,12.21,12.25,2076100,12.25
3-Mar-05,12.05,12.32,12.02,12.30,4258600,12.30
2-Mar-05,12.00,12.11,11.64,11.93,3980100,11.93
1-Mar-05,12.42,12.42,11.93,12.02,4816600,11.98
28-Feb-05,12.45,12.55,12.03,12.33,4499400,12.29
