Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,44.13,44.32,43.79,44.27,4554600,44.27
10-May-05,44.12,44.41,44.02,44.23,4303500,44.23
9-May-05,44.20,44.60,44.10,44.57,4631600,44.57
6-May-05,44.22,44.53,44.10,44.19,5681400,44.19
5-May-05,43.78,44.24,43.76,44.15,4505900,44.15
4-May-05,43.98,44.24,43.69,43.93,5888000,43.93
3-May-05,43.57,44.02,43.52,43.76,6677800,43.76
2-May-05,43.49,43.62,43.24,43.57,5293900,43.57
29-Apr-05,42.71,43.50,42.60,43.44,8185400,43.44
28-Apr-05,42.63,42.92,42.62,42.69,5306000,42.69
27-Apr-05,42.89,42.95,42.48,42.82,5246300,42.82
26-Apr-05,42.68,43.31,42.60,42.96,8783800,42.96
25-Apr-05,42.43,42.73,42.11,42.68,6132700,42.68
22-Apr-05,41.95,42.56,41.89,42.13,6690100,42.13
21-Apr-05,42.30,42.30,41.74,41.98,8196300,41.98
20-Apr-05,42.52,42.55,41.63,41.88,8406200,41.88
19-Apr-05,42.70,42.92,42.06,42.40,12645900,42.40
18-Apr-05,41.12,41.33,40.74,40.97,7705300,40.97
15-Apr-05,42.08,42.13,41.15,41.29,7024300,41.29
14-Apr-05,42.20,42.47,42.02,42.07,6882900,42.07
13-Apr-05,42.33,42.57,42.01,42.10,6996200,42.10
12-Apr-05,41.77,42.41,41.69,42.33,7108500,42.33
11-Apr-05,42.25,42.28,41.81,41.87,4977600,41.87
8-Apr-05,42.22,42.40,42.05,42.10,3883700,42.10
7-Apr-05,41.82,42.26,41.82,42.12,5335100,42.12
6-Apr-05,41.99,42.08,41.60,41.71,4181500,41.71
5-Apr-05,41.64,41.95,41.50,41.86,4371800,41.86
4-Apr-05,41.60,41.60,41.25,41.47,4649100,41.47
1-Apr-05,41.83,41.95,41.29,41.38,5852600,41.38
31-Mar-05,41.91,41.91,41.51,41.67,4728700,41.67
30-Mar-05,41.45,42.01,41.45,41.95,6619900,41.95
29-Mar-05,41.20,41.45,41.09,41.39,5448000,41.39
28-Mar-05,41.41,41.59,41.09,41.12,5783900,41.12
24-Mar-05,41.43,41.43,40.91,41.20,5160800,41.20
23-Mar-05,41.30,41.37,41.06,41.18,6899100,41.18
22-Mar-05,41.64,41.87,41.28,41.40,6594300,41.40
21-Mar-05,41.62,41.69,41.25,41.60,6610900,41.60
18-Mar-05,42.01,42.11,41.40,41.46,15582700,41.46
17-Mar-05,41.88,42.15,41.75,42.00,4239600,42.00
16-Mar-05,42.25,42.50,41.84,41.94,7254800,41.94
15-Mar-05,42.50,42.70,42.18,42.24,5207900,42.24
14-Mar-05,42.60,42.75,42.10,42.34,5666000,42.34
11-Mar-05,42.90,42.91,42.30,42.48,5901700,42.48
10-Mar-05,43.25,43.39,42.97,43.07,4984300,42.79
9-Mar-05,43.22,43.43,42.80,43.21,6239600,42.93
8-Mar-05,43.57,43.80,43.35,43.42,5767300,43.14
7-Mar-05,43.54,43.85,43.51,43.72,4742500,43.44
4-Mar-05,43.44,43.77,43.25,43.64,6570700,43.36
3-Mar-05,43.19,43.43,43.05,43.18,4725000,42.90
2-Mar-05,43.02,43.40,42.86,43.04,4859600,42.76
1-Mar-05,42.80,43.40,42.76,43.27,4999700,42.99
28-Feb-05,42.86,43.14,42.69,42.80,6611600,42.52
25-Feb-05,42.70,43.05,42.37,43.02,5353600,42.74
24-Feb-05,42.63,42.82,42.41,42.66,4655500,42.38
23-Feb-05,42.79,42.92,42.40,42.58,5773400,42.30
