Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,30.01,30.15,29.70,29.85,5780300,29.85
10-May-05,29.95,30.32,29.80,30.10,4499200,30.10
9-May-05,29.70,30.15,29.60,30.12,6065900,30.12
6-May-05,29.96,30.05,29.37,29.38,6281100,29.38
5-May-05,30.19,30.28,29.76,29.94,4703100,29.94
4-May-05,29.79,30.26,29.73,30.13,4829400,30.13
3-May-05,29.72,30.00,29.60,29.80,6839500,29.80
2-May-05,29.12,29.60,29.12,29.57,5036000,29.57
29-Apr-05,29.61,29.79,29.11,29.31,7557600,29.31
28-Apr-05,29.85,30.15,29.61,29.61,5318400,29.61
27-Apr-05,29.86,30.40,29.79,30.16,4795900,30.16
26-Apr-05,30.15,30.27,29.93,30.00,4676400,30.00
25-Apr-05,29.96,30.47,29.70,30.28,5169900,30.28
22-Apr-05,30.50,30.65,29.75,30.06,8272000,30.06
21-Apr-05,30.27,30.50,29.51,29.85,6525200,29.85
20-Apr-05,30.09,30.28,29.70,29.94,5267800,29.94
19-Apr-05,30.10,30.25,29.88,30.18,5122100,30.18
18-Apr-05,30.15,30.22,29.37,30.10,8465100,30.10
15-Apr-05,30.62,30.69,30.15,30.30,6510900,30.30
14-Apr-05,31.33,31.34,30.74,30.76,4586400,30.76
13-Apr-05,31.42,31.91,31.20,31.22,9357800,31.22
12-Apr-05,30.60,31.05,30.31,30.90,5528000,30.90
11-Apr-05,30.98,31.04,30.52,30.80,4897000,30.80
8-Apr-05,31.48,31.78,31.11,31.14,3420500,31.14
7-Apr-05,31.39,31.59,31.15,31.47,3916100,31.47
6-Apr-05,31.13,31.70,31.00,31.49,4360500,31.49
5-Apr-05,30.87,31.29,30.81,31.21,3643200,31.21
4-Apr-05,31.07,31.14,30.65,30.99,5859300,30.99
1-Apr-05,31.20,31.52,30.88,31.00,4399000,31.00
31-Mar-05,31.60,31.60,31.09,31.14,5400600,31.14
30-Mar-05,30.98,31.68,30.98,31.65,4418700,31.65
29-Mar-05,31.34,31.42,30.96,31.02,5404500,31.02
