Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,16.91,16.92,16.70,16.92,4549200,16.92
10-May-05,16.96,17.02,16.84,16.91,7485400,16.91
9-May-05,17.03,17.23,17.00,17.16,14168500,17.16
6-May-05,16.91,16.98,16.87,16.91,8575000,16.91
5-May-05,16.74,16.87,16.71,16.83,13481400,16.83
4-May-05,16.40,16.72,16.37,16.67,12815000,16.67
3-May-05,16.11,16.18,15.99,16.07,6375200,16.07
2-May-05,16.02,16.10,15.98,16.10,6673600,16.10
29-Apr-05,15.96,16.01,15.73,15.98,9088000,15.98
28-Apr-05,15.93,16.13,15.84,15.92,9816000,15.92
27-Apr-05,15.90,16.18,15.82,16.16,13288300,16.16
26-Apr-05,16.13,16.27,16.00,16.02,9092200,16.02
25-Apr-05,16.32,16.41,16.23,16.40,6044300,16.40
22-Apr-05,16.46,16.51,16.23,16.31,10600100,16.31
21-Apr-05,16.40,16.46,16.04,16.35,29927900,16.35
20-Apr-05,15.34,15.50,15.18,15.34,9736100,15.34
19-Apr-05,15.08,15.32,15.04,15.26,12656200,15.26
18-Apr-05,14.56,14.81,14.52,14.68,10188500,14.68
15-Apr-05,14.78,14.92,14.70,14.74,14659400,14.74
14-Apr-05,15.14,15.15,14.93,14.95,9481800,14.95
13-Apr-05,15.23,15.35,15.08,15.14,8240600,15.14
12-Apr-05,15.20,15.36,15.08,15.33,6886800,15.33
11-Apr-05,15.44,15.45,15.35,15.37,5186900,15.37
8-Apr-05,15.36,15.39,15.26,15.35,8378500,15.35
7-Apr-05,15.39,15.75,15.39,15.62,9316200,15.18
6-Apr-05,15.28,15.42,15.23,15.40,7794700,14.97
5-Apr-05,15.17,15.33,15.17,15.22,8348500,14.79
4-Apr-05,15.21,15.32,15.07,15.28,9163800,14.85
1-Apr-05,15.65,15.70,15.35,15.42,9104500,14.99
31-Mar-05,15.72,15.73,15.40,15.43,6817000,15.00
30-Mar-05,15.34,15.62,15.32,15.58,8525800,15.14
29-Mar-05,15.22,15.45,15.21,15.24,4937800,14.81
28-Mar-05,15.20,15.37,15.20,15.31,5163900,14.88
24-Mar-05,15.29,15.56,15.23,15.33,9782900,14.90
23-Mar-05,15.45,15.54,15.38,15.50,9340500,15.07
22-Mar-05,15.90,15.97,15.63,15.69,7181700,15.25
21-Mar-05,16.03,16.04,15.86,15.96,6552300,15.51
18-Mar-05,16.23,16.24,16.02,16.10,5803600,15.65
17-Mar-05,16.21,16.35,16.17,16.27,5789900,15.81
16-Mar-05,16.30,16.40,16.12,16.16,6647000,15.71
15-Mar-05,16.43,16.44,16.31,16.33,6634200,15.87
14-Mar-05,16.32,16.38,16.23,16.32,3713900,15.86
11-Mar-05,16.35,16.42,16.25,16.25,8189800,15.80
10-Mar-05,16.36,16.47,16.25,16.41,6829200,15.95
9-Mar-05,16.29,16.41,16.17,16.21,7852800,15.76
8-Mar-05,16.21,16.50,16.20,16.29,11571500,15.83
7-Mar-05,16.02,16.23,16.01,16.14,6832700,15.69
4-Mar-05,16.08,16.23,16.04,16.16,6985900,15.71
3-Mar-05,16.01,16.06,15.86,15.96,5963900,15.51
2-Mar-05,16.04,16.12,15.96,16.08,6191200,15.63
1-Mar-05,16.25,16.32,16.06,16.24,10491900,15.79
28-Feb-05,16.32,16.33,16.11,16.14,6727300,15.69
25-Feb-05,16.20,16.42,16.20,16.38,12206200,15.92
24-Feb-05,15.97,16.25,15.83,16.25,12624000,15.80
23-Feb-05,16.04,16.06,15.86,15.98,9488000,15.53
22-Feb-05,15.95,16.30,15.91,16.10,14344800,15.65
18-Feb-05,15.74,15.84,15.68,15.76,6108800,15.32
17-Feb-05,15.85,15.89,15.69,15.73,8248000,15.29
16-Feb-05,15.88,15.90,15.76,15.84,6943400,15.40
15-Feb-05,16.02,16.07,15.89,16.02,8575400,15.57
14-Feb-05,16.03,16.09,15.89,16.06,10670000,15.61
11-Feb-05,15.79,16.00,15.75,15.97,9546100,15.52
10-Feb-05,15.71,15.86,15.71,15.81,9768400,15.37
9-Feb-05,15.65,15.84,15.61,15.67,13179400,15.23
8-Feb-05,15.52,15.78,15.51,15.71,10397900,15.27
7-Feb-05,15.60,15.61,15.50,15.56,11088500,15.12
4-Feb-05,15.44,15.77,15.43,15.74,10626100,15.30
3-Feb-05,15.54,15.62,15.44,15.58,8562100,15.14
2-Feb-05,15.61,15.69,15.53,15.69,11989000,15.25
1-Feb-05,15.34,15.55,15.33,15.47,8723000,15.04
31-Jan-05,15.26,15.34,15.18,15.28,10412900,14.85
28-Jan-05,15.26,15.31,15.01,15.20,13586900,14.77
27-Jan-05,15.31,15.34,15.01,15.22,33801800,14.79
26-Jan-05,14.14,14.52,14.14,14.33,21028100,13.93
25-Jan-05,13.97,14.06,13.92,14.02,13350400,13.63
24-Jan-05,14.05,14.12,13.92,13.92,16392700,13.53
21-Jan-05,14.01,14.25,13.94,14.14,18770700,13.74
20-Jan-05,14.17,14.30,14.05,14.10,27079600,13.71
19-Jan-05,14.92,14.93,14.53,14.53,20102100,14.12
18-Jan-05,14.88,15.10,14.82,15.05,9715600,14.63
14-Jan-05,15.08,15.25,15.02,15.24,13875500,14.81
13-Jan-05,15.23,15.23,15.02,15.04,9812200,14.62
12-Jan-05,15.24,15.38,15.14,15.35,10281900,14.92
11-Jan-05,15.39,15.42,15.13,15.18,9757800,14.76
10-Jan-05,15.47,15.65,15.40,15.49,17523600,15.06
7-Jan-05,15.65,15.67,15.14,15.25,18166900,14.82
6-Jan-05,15.48,15.68,15.48,15.57,12214300,15.13
5-Jan-05,15.32,15.60,15.31,15.52,13481100,15.09
4-Jan-05,15.75,15.77,15.31,15.52,9984000,15.09
3-Jan-05,15.95,15.96,15.57,15.59,9230100,15.15
31-Dec-04,15.71,15.79,15.63,15.67,4905700,15.23
30-Dec-04,15.72,15.81,15.67,15.76,6660500,15.32
29-Dec-04,15.79,15.89,15.76,15.77,5388300,15.33
28-Dec-04,15.90,15.95,15.77,15.90,6691700,15.46
27-Dec-04,15.91,15.94,15.77,15.77,6746200,15.33
23-Dec-04,15.90,15.95,15.80,15.84,7047600,15.40
22-Dec-04,15.62,15.76,15.61,15.66,9529600,15.22
21-Dec-04,15.50,15.60,15.41,15.57,11281500,15.13
20-Dec-04,15.25,15.40,15.15,15.24,12432200,14.81
17-Dec-04,15.00,15.16,14.87,15.15,15055100,14.73
16-Dec-04,15.43,15.44,15.03,15.17,18293900,14.75
15-Dec-04,15.81,15.87,15.58,15.71,8096700,15.27
14-Dec-04,15.46,15.67,15.38,15.61,8619300,15.17
13-Dec-04,15.54,15.67,15.38,15.62,10488500,15.18
10-Dec-04,15.70,15.78,15.43,15.50,13596200,15.07
9-Dec-04,15.73,15.96,15.53,15.92,12871800,15.47
8-Dec-04,16.11,16.17,15.95,16.12,9527900,15.67
7-Dec-04,16.45,16.54,16.14,16.21,10594500,15.76
6-Dec-04,16.37,16.62,16.23,16.31,11006600,15.85
3-Dec-04,16.60,16.66,16.30,16.37,10156200,15.91
2-Dec-04,16.65,16.76,16.61,16.72,8588000,16.25
1-Dec-04,16.28,16.58,16.26,16.55,8214800,16.09
30-Nov-04,16.49,16.53,16.15,16.17,8586400,15.72
29-Nov-04,16.55,16.61,16.40,16.45,7877400,15.99
26-Nov-04,16.41,16.52,16.38,16.46,2565500,16.00
24-Nov-04,16.29,16.43,16.18,16.42,6205600,15.96
23-Nov-04,16.43,16.47,16.13,16.21,7621000,15.76
22-Nov-04,16.26,16.46,16.22,16.45,7608000,15.99
19-Nov-04,16.73,16.76,16.31,16.39,8116800,15.93
18-Nov-04,16.70,16.90,16.62,16.85,7942600,16.38
17-Nov-04,16.56,16.75,16.50,16.66,9877500,16.19
16-Nov-04,16.40,16.42,16.22,16.34,7389700,15.88
15-Nov-04,16.49,16.56,16.38,16.45,7480900,15.99
12-Nov-04,16.58,16.66,16.47,16.63,11666300,16.16
11-Nov-04,16.46,16.73,16.46,16.71,13240300,16.24
10-Nov-04,16.32,16.36,16.19,16.26,8230000,15.81
9-Nov-04,16.14,16.22,16.03,16.19,11055600,15.74
8-Nov-04,16.10,16.23,15.94,16.05,9484000,15.60
5-Nov-04,16.20,16.30,16.02,16.24,11010600,15.79
4-Nov-04,15.80,16.25,15.61,16.12,23347900,15.67
3-Nov-04,15.90,15.95,15.66,15.79,16947400,15.35
2-Nov-04,15.60,15.75,15.55,15.58,10889800,15.14
1-Nov-04,15.55,15.62,15.46,15.54,9154400,15.11
29-Oct-04,15.47,15.58,15.32,15.42,11744600,14.99
28-Oct-04,15.29,15.59,15.24,15.42,10651800,14.99
27-Oct-04,14.98,15.35,14.95,15.29,11783700,14.86
26-Oct-04,14.80,14.85,14.73,14.84,8103000,14.42
25-Oct-04,14.90,14.90,14.71,14.90,7341400,14.48
22-Oct-04,15.17,15.20,14.90,14.92,7764400,14.50
21-Oct-04,14.99,15.14,14.94,15.09,10950900,14.67
20-Oct-04,15.05,15.05,14.88,14.92,11073100,14.50
19-Oct-04,15.10,15.23,14.91,14.93,16639400,14.51
18-Oct-04,14.74,14.87,14.64,14.84,9011400,14.42
15-Oct-04,14.61,14.92,14.53,14.72,19560200,14.31
14-Oct-04,14.36,14.44,14.15,14.20,21783700,13.80
13-Oct-04,13.99,14.07,13.85,13.98,16664500,13.59
12-Oct-04,13.77,13.84,13.65,13.80,10175400,13.41
11-Oct-04,13.94,14.08,13.88,14.02,6914300,13.63
8-Oct-04,14.17,14.27,14.04,14.08,7247500,13.69
7-Oct-04,14.35,14.47,14.23,14.35,8307900,13.95
6-Oct-04,14.29,14.45,14.24,14.44,8170900,14.04
5-Oct-04,14.35,14.59,14.35,14.36,10336500,13.96
4-Oct-04,14.39,14.54,14.36,14.45,15894700,14.05
1-Oct-04,13.99,14.41,13.89,14.39,16606900,13.99
30-Sep-04,13.83,13.94,13.70,13.72,9198900,13.34
29-Sep-04,13.65,13.75,13.58,13.63,8255600,13.25
28-Sep-04,13.59,13.65,13.44,13.62,7806300,13.24
27-Sep-04,13.62,13.72,13.57,13.58,6103700,13.20
24-Sep-04,13.77,13.86,13.71,13.80,10935200,13.41
23-Sep-04,13.73,13.87,13.62,13.84,10792900,13.45
22-Sep-04,13.90,14.15,13.87,13.89,13192300,13.50
21-Sep-04,14.13,14.15,14.02,14.14,11712700,13.74
20-Sep-04,13.88,14.05,13.86,13.98,9363300,13.59
17-Sep-04,14.01,14.09,13.87,13.88,9415900,13.49
16-Sep-04,13.59,13.96,13.58,13.89,17038300,13.50
15-Sep-04,13.70,13.72,13.56,13.57,8442100,13.19
14-Sep-04,13.74,13.91,13.73,13.85,7935800,13.46
13-Sep-04,13.79,13.94,13.72,13.75,12413200,13.37
10-Sep-04,13.76,13.90,13.68,13.84,15918500,13.45
9-Sep-04,13.66,13.81,13.47,13.77,37674800,13.38
8-Sep-04,12.53,12.85,12.53,12.71,17820800,12.35
7-Sep-04,12.64,12.69,12.47,12.59,15408100,12.24
3-Sep-04,12.43,12.49,12.25,12.41,11328900,12.06
2-Sep-04,11.93,12.37,11.92,12.34,15893600,11.99
1-Sep-04,11.78,11.92,11.76,11.82,7749900,11.49
31-Aug-04,11.71,11.89,11.71,11.87,7800300,11.54
30-Aug-04,11.82,11.85,11.68,11.68,5415100,11.35
27-Aug-04,11.79,11.88,11.73,11.86,8775000,11.53
26-Aug-04,11.82,11.96,11.81,11.91,10968500,11.58
25-Aug-04,11.60,11.91,11.58,11.82,8051500,11.49
24-Aug-04,11.81,11.81,11.63,11.69,8907300,11.36
23-Aug-04,11.80,11.96,11.74,11.75,8276400,11.42
20-Aug-04,11.61,11.94,11.58,11.90,7528000,11.57
19-Aug-04,11.86,11.91,11.71,11.78,8757300,11.45
18-Aug-04,11.51,11.96,11.49,11.89,12688100,11.56
17-Aug-04,11.65,11.73,11.56,11.56,10670200,11.24
16-Aug-04,11.18,11.57,11.16,11.55,10080800,11.23
13-Aug-04,11.18,11.25,11.06,11.16,8527600,10.85
12-Aug-04,10.95,11.07,10.89,11.03,14006800,10.72
11-Aug-04,11.13,11.25,11.08,11.20,9011700,10.89
10-Aug-04,11.33,11.49,11.27,11.46,7823300,11.14
9-Aug-04,11.11,11.23,11.05,11.15,7084900,10.84
6-Aug-04,11.41,11.41,11.18,11.24,14165800,10.93
5-Aug-04,11.54,11.57,11.31,11.32,11342600,11.00
4-Aug-04,11.30,11.67,11.29,11.54,9272700,11.22
3-Aug-04,11.55,11.61,11.36,11.40,6279500,11.08
2-Aug-04,11.32,11.62,11.30,11.56,7213900,11.24
30-Jul-04,11.55,11.62,11.44,11.62,12744600,11.29
29-Jul-04,11.34,11.70,11.33,11.60,10603200,11.28
28-Jul-04,11.53,11.55,11.26,11.44,16432400,11.12
27-Jul-04,11.75,11.78,11.55,11.72,12207000,11.39
26-Jul-04,11.82,11.88,11.60,11.72,10359200,11.39
23-Jul-04,11.79,11.83,11.67,11.68,12982700,11.35
22-Jul-04,11.85,12.10,11.79,12.10,12328800,11.76
21-Jul-04,12.37,12.41,11.98,12.01,13081800,11.67
20-Jul-04,12.08,12.44,12.01,12.29,11575900,11.95
19-Jul-04,12.14,12.22,12.01,12.08,12623200,11.74
16-Jul-04,12.37,12.42,12.12,12.14,19777800,11.80
15-Jul-04,12.10,12.74,12.01,12.45,61092500,12.10
14-Jul-04,14.09,14.25,14.05,14.24,14029200,13.84
13-Jul-04,14.25,14.34,14.16,14.31,7358100,13.91
12-Jul-04,14.47,14.52,14.28,14.44,9257900,14.04
9-Jul-04,14.45,14.70,14.42,14.67,12125800,14.26
8-Jul-04,14.34,14.40,14.10,14.11,7183500,13.72
7-Jul-04,14.07,14.40,14.00,14.25,6285200,13.85
6-Jul-04,14.30,14.30,14.08,14.15,7548800,13.75
2-Jul-04,14.61,14.64,14.51,14.55,4474700,14.14
1-Jul-04,14.79,14.85,14.49,14.65,15721900,14.24
30-Jun-04,14.48,14.58,14.31,14.54,14520900,14.13
29-Jun-04,14.08,14.17,14.05,14.11,8091300,13.72
28-Jun-04,14.32,14.37,14.11,14.14,6601400,13.74
