Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,27.59,28.07,27.18,27.70,3272300,27.70
10-May-05,28.19,28.22,27.34,27.51,3142700,27.51
9-May-05,28.17,28.26,27.80,28.23,2447900,28.23
6-May-05,28.00,28.23,27.39,28.18,4223300,28.18
5-May-05,27.80,27.95,27.53,27.75,4016900,27.75
4-May-05,27.02,27.81,27.02,27.81,4511600,27.81
3-May-05,26.76,27.22,26.72,26.91,3523200,26.91
2-May-05,26.54,27.35,26.54,26.98,3242100,26.98
29-Apr-05,26.54,26.88,25.88,26.67,3939000,26.67
28-Apr-05,26.80,26.80,26.28,26.37,4355400,26.37
27-Apr-05,26.62,27.05,26.08,26.88,4340500,26.88
26-Apr-05,27.04,27.41,26.64,26.70,3481200,26.70
25-Apr-05,27.32,27.45,27.00,27.29,3170500,27.29
22-Apr-05,27.20,27.33,26.32,26.57,3576400,26.57
21-Apr-05,26.68,27.41,26.36,27.25,4804800,27.25
20-Apr-05,27.20,27.35,26.23,26.35,4266800,26.35
19-Apr-05,26.62,27.70,26.53,27.03,6243700,27.03
18-Apr-05,25.91,26.19,25.55,25.98,3844800,25.98
15-Apr-05,26.79,26.80,25.55,25.91,8354200,25.91
14-Apr-05,28.00,28.33,27.14,27.34,3641700,27.34
13-Apr-05,29.11,29.16,27.76,27.93,4329100,27.93
12-Apr-05,28.53,28.86,28.10,28.84,3713000,28.84
11-Apr-05,28.65,29.04,28.45,28.53,3904000,28.53
8-Apr-05,29.31,29.40,28.53,28.56,6195500,28.56
7-Apr-05,28.50,29.31,28.29,29.16,5175600,29.16
6-Apr-05,28.18,28.93,28.05,28.45,11323900,28.45
5-Apr-05,27.74,27.83,27.06,27.21,3809600,27.21
4-Apr-05,26.83,27.76,26.50,27.63,4606300,27.63
1-Apr-05,27.77,28.00,27.18,27.25,3392900,27.25
31-Mar-05,27.91,27.95,27.51,27.66,4552400,27.66
30-Mar-05,26.65,27.68,26.50,27.68,5103500,27.68
29-Mar-05,27.29,27.37,26.28,26.34,5783500,26.34
28-Mar-05,27.90,28.01,27.36,27.38,4291700,27.38
24-Mar-05,27.40,28.43,27.36,27.94,9435900,27.94
23-Mar-05,26.69,27.28,26.59,26.86,6861800,26.86
22-Mar-05,27.15,27.27,26.51,26.56,5161200,26.56
21-Mar-05,26.90,27.28,26.46,26.97,12758700,26.97
18-Mar-05,28.00,28.04,27.26,28.00,6637300,28.00
17-Mar-05,28.02,28.36,27.72,27.90,3849900,27.90
16-Mar-05,28.10,28.64,27.74,27.94,4021600,27.94
15-Mar-05,28.80,28.80,28.02,28.03,4683200,28.03
14-Mar-05,28.97,28.99,28.27,28.75,4677000,28.75
11-Mar-05,29.71,29.78,28.70,28.71,5529200,28.71
10-Mar-05,29.91,30.20,28.90,29.66,6565900,29.66
9-Mar-05,30.28,30.66,30.03,30.13,2990400,30.13
8-Mar-05,30.69,30.95,30.25,30.27,3017100,30.27
7-Mar-05,30.50,31.37,30.40,30.77,4282700,30.77
4-Mar-05,30.00,30.66,29.80,30.32,3581400,30.32
3-Mar-05,29.96,30.04,29.34,29.78,3677600,29.78
2-Mar-05,29.20,30.33,29.13,29.82,4016000,29.82
1-Mar-05,29.77,30.09,29.17,29.53,4926100,29.53
28-Feb-05,29.87,30.36,29.51,30.01,4826800,30.01
25-Feb-05,29.92,30.27,29.40,29.82,3503500,29.82
24-Feb-05,29.54,30.03,28.85,29.87,7853200,29.87
23-Feb-05,30.75,30.98,29.14,29.29,8776700,29.29
22-Feb-05,30.53,31.14,30.30,30.46,4592300,30.46
18-Feb-05,31.20,31.52,30.91,31.00,3489300,31.00
17-Feb-05,31.78,31.98,31.05,31.26,7050400,31.26
16-Feb-05,29.99,31.99,29.50,31.73,30056400,31.73
15-Feb-05,33.83,34.98,33.47,34.36,10981900,34.36
14-Feb-05,32.88,34.42,32.74,33.99,6720900,33.99
11-Feb-05,30.89,32.70,30.82,32.54,5664400,32.54
10-Feb-05,31.02,31.55,30.26,30.79,3006200,30.79
9-Feb-05,31.97,32.02,30.60,30.91,3263700,30.91
8-Feb-05,31.44,32.40,31.35,31.97,3573200,31.97
7-Feb-05,31.85,32.52,31.32,31.56,3598300,31.56
4-Feb-05,30.83,32.11,30.82,31.92,2940900,31.92
3-Feb-05,31.13,31.60,30.69,31.05,3237900,31.05
2-Feb-05,32.25,32.29,31.18,31.44,3349100,31.44
1-Feb-05,31.70,32.27,31.68,32.15,2532100,32.15
31-Jan-05,31.70,32.08,31.46,31.84,2978000,31.84
28-Jan-05,31.15,31.32,30.40,31.21,4069200,31.21
27-Jan-05,30.59,31.40,30.18,31.07,3539600,31.07
26-Jan-05,30.56,31.00,30.02,30.77,4939000,30.77
25-Jan-05,30.52,30.90,30.24,30.40,5521600,30.40
24-Jan-05,31.24,31.40,30.15,30.62,8900600,30.62
21-Jan-05,32.11,32.29,31.25,31.49,4934300,31.49
20-Jan-05,32.11,32.95,31.94,32.08,4152000,32.08
19-Jan-05,33.37,33.37,32.17,32.34,4364100,32.34
18-Jan-05,31.84,33.58,31.78,33.36,5093900,33.36
14-Jan-05,31.75,32.29,31.60,32.04,2555700,32.04
13-Jan-05,31.48,32.20,31.14,31.76,3623500,31.76
12-Jan-05,31.76,31.99,30.90,31.70,5997300,31.70
11-Jan-05,31.80,32.42,30.96,31.71,8853600,31.71
10-Jan-05,30.29,31.40,30.25,30.73,6943000,30.73
7-Jan-05,31.25,31.40,30.38,30.48,5748300,30.48
6-Jan-05,31.70,31.96,30.93,31.13,4698100,31.13
5-Jan-05,31.11,32.28,31.00,31.45,5577800,31.45
4-Jan-05,32.65,32.76,31.34,31.40,5025900,31.40
3-Jan-05,33.28,33.59,32.49,32.70,5271200,32.70
31-Dec-04,32.88,33.61,32.84,33.22,2985200,33.22
30-Dec-04,32.65,33.11,32.64,32.91,2926100,32.91
29-Dec-04,32.30,32.93,32.10,32.91,4844100,32.91
28-Dec-04,31.92,32.28,31.69,32.24,3674800,32.24
27-Dec-04,31.95,32.04,31.30,31.69,5249900,31.69
23-Dec-04,31.55,32.05,30.76,32.05,18452400,32.05
22-Dec-04,33.80,34.08,32.93,33.07,8372600,33.07
21-Dec-04,34.34,34.83,33.44,34.04,4753300,34.04
20-Dec-04,34.12,34.97,34.00,34.19,4816900,34.19
17-Dec-04,34.15,34.59,34.00,34.07,4249000,34.07
16-Dec-04,34.58,34.72,33.89,34.09,6557000,34.09
15-Dec-04,33.21,34.99,33.00,34.64,10699800,34.64
14-Dec-04,33.07,33.38,32.85,33.11,4147000,33.11
13-Dec-04,33.12,33.55,32.66,32.88,4204200,32.88
10-Dec-04,33.22,33.51,32.84,33.06,3354600,33.06
9-Dec-04,32.42,33.30,32.01,33.24,5710700,33.24
8-Dec-04,32.99,33.61,32.37,32.84,5891000,32.84
7-Dec-04,33.95,33.96,32.85,32.86,8142800,32.86
6-Dec-04,32.25,33.99,31.62,33.77,7522400,33.77
3-Dec-04,33.41,33.63,32.20,32.21,6892500,32.21
2-Dec-04,32.06,34.16,31.99,33.73,10617600,33.73
1-Dec-04,30.17,32.49,30.03,32.13,9655800,32.13
30-Nov-04,29.93,30.35,29.78,30.16,4283100,30.16
29-Nov-04,30.27,30.86,29.94,30.11,2889700,30.11
26-Nov-04,30.01,30.79,29.96,30.35,1368800,30.35
24-Nov-04,29.89,30.67,29.80,30.50,4394200,30.50
23-Nov-04,29.69,30.30,29.50,29.85,4958900,29.85
22-Nov-04,28.89,29.88,28.63,29.85,4834900,29.85
19-Nov-04,29.49,29.77,28.87,28.93,8013100,28.93
18-Nov-04,29.10,30.03,29.03,29.91,8036300,29.91
17-Nov-04,28.50,29.67,28.32,29.57,22870200,29.57
16-Nov-04,25.39,25.55,24.79,25.02,7183400,25.02
15-Nov-04,25.36,25.54,25.18,25.46,3705800,25.46
12-Nov-04,25.03,25.33,24.96,25.30,2905700,25.30
11-Nov-04,25.15,25.38,24.57,25.00,3685900,25.00
10-Nov-04,25.67,25.77,24.89,24.98,3897600,24.98
9-Nov-04,25.92,26.09,25.44,25.49,4276400,25.49
8-Nov-04,25.55,26.12,25.44,25.65,2665000,25.65
5-Nov-04,26.12,26.15,25.34,25.69,3098000,25.69
4-Nov-04,25.66,25.99,25.43,25.95,3679400,25.95
3-Nov-04,26.02,26.28,25.49,25.85,4650500,25.85
2-Nov-04,25.00,26.15,24.82,25.63,8381600,25.63
1-Nov-04,24.41,25.04,23.98,24.98,4272000,24.98
29-Oct-04,23.80,24.50,23.77,24.47,3701900,24.47
28-Oct-04,23.69,24.11,23.50,24.02,2842200,24.02
27-Oct-04,22.84,24.00,22.75,23.86,2911800,23.86
26-Oct-04,23.45,23.64,22.72,22.98,3978100,22.98
25-Oct-04,23.35,23.63,23.13,23.47,1738700,23.47
22-Oct-04,24.15,24.24,23.35,23.41,2642000,23.41
21-Oct-04,23.76,24.28,23.35,24.12,3276500,24.12
20-Oct-04,23.66,23.73,23.22,23.65,2249500,23.65
19-Oct-04,24.47,24.67,23.60,23.74,3906600,23.74
18-Oct-04,23.39,24.33,23.21,24.22,3927000,24.22
15-Oct-04,23.36,24.00,23.09,23.65,3381100,23.65
14-Oct-04,23.66,23.74,23.08,23.29,1861500,23.29
13-Oct-04,23.65,24.43,23.56,23.81,3618300,23.81
12-Oct-04,23.46,23.65,23.04,23.42,2681800,23.42
11-Oct-04,23.43,23.74,23.43,23.55,2331100,23.55
8-Oct-04,24.13,24.16,23.42,23.52,2762100,23.52
7-Oct-04,24.56,24.95,24.14,24.25,2336300,24.25
6-Oct-04,24.60,24.92,24.31,24.73,3160300,24.73
5-Oct-04,24.72,25.04,24.57,24.79,3833200,24.79
4-Oct-04,24.40,25.21,24.27,24.83,5894000,24.83
1-Oct-04,23.33,24.48,23.11,24.27,5295000,24.27
30-Sep-04,22.80,23.23,21.80,23.05,3272100,23.05
29-Sep-04,22.02,22.92,22.02,22.75,2658900,22.75
28-Sep-04,22.15,22.38,21.78,22.26,3769900,22.26
27-Sep-04,22.63,22.75,22.24,22.34,2935900,22.34
24-Sep-04,22.80,23.29,22.75,22.94,3018800,22.94
23-Sep-04,22.70,23.10,22.41,22.96,4038100,22.96
22-Sep-04,22.95,23.13,22.52,22.68,4030800,22.68
21-Sep-04,23.10,23.25,22.92,23.21,2336600,23.21
20-Sep-04,22.87,23.49,22.55,22.92,3700800,22.92
17-Sep-04,22.70,23.00,22.64,22.97,4651400,22.97
16-Sep-04,22.24,22.89,22.16,22.54,2760100,22.54
15-Sep-04,22.37,22.59,22.04,22.20,3860700,22.20
