Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,35.59,36.30,35.19,36.15,10849000,36.15
10-May-05,35.64,35.97,35.26,35.59,9185200,35.59
9-May-05,35.50,36.33,35.24,36.04,13549700,36.04
6-May-05,35.42,35.81,35.36,35.58,10565600,35.58
5-May-05,35.52,35.86,34.95,35.16,11445700,35.16
4-May-05,34.87,35.76,34.71,35.65,11216100,35.65
3-May-05,35.09,35.24,34.52,34.67,12396200,34.67
2-May-05,34.84,35.32,34.76,35.05,8969900,35.05
29-Apr-05,34.90,35.18,34.21,34.89,14668300,34.89
28-Apr-05,35.00,35.40,34.68,34.84,13057400,34.84
27-Apr-05,34.13,35.50,34.12,35.35,17604500,35.35
26-Apr-05,34.40,35.05,34.15,34.50,19114300,34.50
25-Apr-05,34.00,34.76,33.92,34.67,13101100,34.67
22-Apr-05,34.47,34.89,33.59,33.92,15097400,33.92
21-Apr-05,33.05,35.06,33.00,34.71,36225700,34.71
20-Apr-05,33.00,33.43,32.71,33.21,21404100,33.21
19-Apr-05,32.73,33.26,32.70,32.80,15603300,32.80
18-Apr-05,32.15,33.16,32.08,32.52,18060200,32.52
15-Apr-05,33.31,33.84,32.67,32.69,21681200,32.69
14-Apr-05,33.29,33.97,32.70,33.57,27519300,33.57
13-Apr-05,34.39,34.56,32.89,32.90,27062400,32.90
12-Apr-05,34.35,34.70,33.90,34.60,17125600,34.60
11-Apr-05,34.93,35.08,34.36,34.49,14597100,34.49
8-Apr-05,35.26,35.33,34.78,34.90,14574400,34.90
7-Apr-05,34.96,35.65,34.89,35.17,14157500,35.17
6-Apr-05,35.37,35.98,34.92,35.12,14206500,35.12
5-Apr-05,36.09,36.44,35.52,35.65,13062500,35.65
4-Apr-05,35.65,36.35,35.25,36.08,13061300,36.08
1-Apr-05,36.63,36.74,35.39,35.55,19724500,35.55
31-Mar-05,36.81,37.21,36.36,36.63,14235900,36.63
30-Mar-05,36.05,37.00,36.01,36.91,17994800,36.91
29-Mar-05,36.15,36.45,35.37,35.75,15597700,35.75
28-Mar-05,35.86,36.56,35.77,36.19,12621400,36.19
24-Mar-05,36.36,36.65,35.76,35.76,12781700,35.76
23-Mar-05,35.98,36.68,35.88,36.31,12659500,36.31
22-Mar-05,36.77,37.16,35.97,36.00,15078900,36.00
21-Mar-05,36.33,36.97,36.21,36.53,12594000,36.53
18-Mar-05,36.60,36.74,36.03,36.47,22650200,36.47
17-Mar-05,37.71,37.80,36.83,36.88,16148600,36.88
16-Mar-05,37.89,38.54,37.60,37.76,21371400,37.76
15-Mar-05,37.92,38.37,37.70,38.11,21539300,38.11
14-Mar-05,37.59,37.80,37.00,37.46,13265400,37.46
11-Mar-05,37.65,37.93,37.30,37.35,22351800,37.35
10-Mar-05,36.80,37.36,36.34,37.08,14765700,37.08
9-Mar-05,36.03,37.06,35.85,36.74,18515500,36.74
8-Mar-05,37.07,37.88,36.21,36.29,21097500,36.29
7-Mar-05,35.45,37.60,35.40,37.39,24949000,37.39
4-Mar-05,35.80,36.08,35.50,35.50,12809600,35.50
3-Mar-05,36.51,36.59,35.22,35.41,15917500,35.41
2-Mar-05,35.93,36.87,35.71,36.28,12935000,36.28
1-Mar-05,36.21,36.88,36.06,36.36,13193100,36.36
28-Feb-05,37.00,37.22,35.46,36.05,20195700,36.05
25-Feb-05,35.37,37.12,35.28,37.00,22554000,37.00
24-Feb-05,34.04,35.62,33.99,35.51,21900300,35.51
23-Feb-05,34.74,34.82,34.13,34.13,16148900,34.13
22-Feb-05,34.04,35.03,34.00,34.54,20611400,34.47
18-Feb-05,35.35,35.60,34.59,34.64,16165800,34.57
17-Feb-05,35.99,36.00,35.04,35.35,14957200,35.28
16-Feb-05,36.63,36.72,35.75,35.99,16187300,35.92
15-Feb-05,36.97,37.72,36.54,36.88,18342100,36.81
14-Feb-05,36.16,37.32,36.10,37.17,14373900,37.09
11-Feb-05,35.35,36.24,34.36,36.16,17975000,36.09
10-Feb-05,35.90,35.99,35.30,35.31,9819500,35.24
9-Feb-05,36.32,36.37,35.42,35.69,11344200,35.62
8-Feb-05,35.83,36.43,35.36,36.24,13963000,36.17
7-Feb-05,36.64,37.49,35.87,35.98,15333500,35.91
4-Feb-05,36.14,37.09,35.90,36.95,10481500,36.88
3-Feb-05,36.22,36.60,35.81,36.11,9473100,36.04
2-Feb-05,36.76,36.88,36.01,36.39,10757200,36.32
1-Feb-05,37.14,37.32,36.63,36.83,12610000,36.76
31-Jan-05,36.94,37.41,36.91,37.24,15400900,37.16
28-Jan-05,36.16,36.51,35.64,36.35,15142000,36.28
27-Jan-05,36.90,37.06,35.77,36.14,16776200,36.07
26-Jan-05,36.66,37.17,36.64,36.90,13524000,36.83
25-Jan-05,36.84,37.25,36.59,36.66,16445600,36.59
24-Jan-05,37.80,37.92,36.35,36.54,23281400,36.47
21-Jan-05,37.81,38.26,35.78,37.80,33592900,37.72
20-Jan-05,38.37,38.64,37.54,37.78,51373600,37.70
19-Jan-05,42.49,42.58,41.03,41.07,23923600,40.99
