Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,9.46,9.68,9.34,9.60,17618500,9.60
10-May-05,9.40,9.85,9.34,9.54,35290100,9.54
9-May-05,9.56,9.61,9.33,9.44,12019600,9.44
6-May-05,9.57,9.74,9.43,9.63,36027400,9.63
5-May-05,9.44,9.44,9.00,9.21,41593200,9.21
4-May-05,9.37,9.75,8.88,9.53,50667800,9.53
3-May-05,8.88,10.00,8.88,9.50,84410496,9.50
2-May-05,8.71,8.94,8.60,8.91,24707500,8.91
29-Apr-05,8.96,9.10,8.74,9.00,50488100,9.00
28-Apr-05,8.68,8.78,8.43,8.59,23827800,8.59
27-Apr-05,8.71,8.78,8.48,8.68,26673900,8.68
26-Apr-05,8.87,8.91,8.67,8.76,22793800,8.76
25-Apr-05,9.14,9.25,8.87,8.90,20259400,8.90
22-Apr-05,9.07,9.29,8.99,9.08,14813000,9.08
21-Apr-05,9.07,9.26,8.92,9.20,20534700,9.20
20-Apr-05,9.08,9.10,8.89,8.93,20882900,8.93
19-Apr-05,8.64,9.12,8.63,9.07,34845100,9.07
18-Apr-05,8.70,8.76,8.53,8.63,11568400,8.63
15-Apr-05,8.52,8.87,8.49,8.67,44371000,8.67
14-Apr-05,8.76,8.94,8.53,8.53,34305900,8.53
13-Apr-05,9.08,9.09,8.57,8.68,46085500,8.68
12-Apr-05,8.78,9.00,8.71,8.97,8815800,8.97
11-Apr-05,8.91,9.08,8.75,8.79,9313500,8.79
8-Apr-05,8.69,9.10,8.55,8.96,24438500,8.96
7-Apr-05,8.25,8.71,8.22,8.69,50192500,8.69
6-Apr-05,8.11,8.45,8.10,8.26,80262400,8.26
5-Apr-05,9.26,9.26,9.01,9.15,16147800,9.15
4-Apr-05,9.43,9.43,9.18,9.26,11581000,9.26
1-Apr-05,9.18,9.66,9.12,9.46,27999200,9.46
31-Mar-05,8.89,9.32,8.86,9.13,21835600,9.13
30-Mar-05,8.59,8.95,8.58,8.95,14463900,8.95
29-Mar-05,8.55,8.62,8.51,8.56,11380300,8.56
28-Mar-05,8.60,8.67,8.55,8.59,8062600,8.59
24-Mar-05,8.78,8.82,8.60,8.60,11808400,8.60
23-Mar-05,8.73,8.84,8.72,8.78,8609800,8.78
22-Mar-05,8.90,8.93,8.72,8.75,11425200,8.75
21-Mar-05,8.95,8.96,8.76,8.92,6194900,8.92
18-Mar-05,8.88,8.96,8.79,8.91,9945700,8.91
17-Mar-05,8.70,8.91,8.70,8.87,12589500,8.87
16-Mar-05,8.66,8.84,8.62,8.70,16143400,8.70
15-Mar-05,8.97,9.05,8.74,8.75,12209100,8.75
14-Mar-05,8.90,9.09,8.76,8.93,8946800,8.93
11-Mar-05,9.00,9.04,8.78,8.84,11537300,8.84
10-Mar-05,8.91,9.05,8.76,9.03,9275400,9.03
9-Mar-05,8.74,9.06,8.69,8.86,13939300,8.86
8-Mar-05,8.74,8.92,8.70,8.77,7052900,8.77
7-Mar-05,8.58,8.83,8.50,8.75,8402100,8.75
4-Mar-05,8.55,8.65,8.49,8.50,7545300,8.50
3-Mar-05,8.55,8.59,8.41,8.48,6720400,8.48
2-Mar-05,8.47,8.56,8.36,8.51,8603600,8.51
1-Mar-05,8.53,8.64,8.50,8.56,7867300,8.56
28-Feb-05,8.69,8.85,8.40,8.53,15078200,8.53
25-Feb-05,8.68,8.74,8.57,8.68,8559400,8.68
24-Feb-05,8.55,8.70,8.52,8.68,7681900,8.68
23-Feb-05,8.62,8.67,8.53,8.62,8292400,8.62
22-Feb-05,8.60,8.71,8.39,8.51,10852200,8.51
18-Feb-05,8.72,8.89,8.66,8.72,6692100,8.72
17-Feb-05,8.99,9.08,8.71,8.74,9065800,8.74
16-Feb-05,9.05,9.10,8.95,9.02,11353600,9.02
15-Feb-05,8.69,9.25,8.66,9.14,16213100,9.14
14-Feb-05,8.76,8.83,8.65,8.70,6653300,8.70
11-Feb-05,8.61,8.84,8.61,8.78,7255800,8.78
10-Feb-05,8.64,8.71,8.54,8.64,6086600,8.64
9-Feb-05,8.87,8.90,8.64,8.64,7404000,8.64
8-Feb-05,8.84,8.94,8.76,8.86,8352900,8.86
7-Feb-05,8.94,8.97,8.75,8.81,6222100,8.81
4-Feb-05,8.64,8.93,8.61,8.89,9279700,8.89
3-Feb-05,8.66,8.77,8.55,8.66,9159500,8.66
2-Feb-05,8.69,8.76,8.61,8.67,8213400,8.67
1-Feb-05,8.70,8.72,8.58,8.68,7412500,8.68
31-Jan-05,8.78,8.89,8.62,8.71,10693200,8.71
28-Jan-05,9.21,9.24,8.57,8.67,26081400,8.67
27-Jan-05,9.08,9.16,8.96,9.14,17172200,9.14
26-Jan-05,9.07,9.13,8.98,9.10,10473700,9.10
25-Jan-05,8.87,9.15,8.83,8.92,8246200,8.92
24-Jan-05,9.00,9.12,8.79,8.81,12297600,8.81
21-Jan-05,9.16,9.18,8.90,8.93,11520400,8.93
20-Jan-05,9.28,9.38,8.98,9.13,9136500,9.13
19-Jan-05,9.50,9.52,9.25,9.30,11414100,9.30
18-Jan-05,9.32,9.47,9.27,9.44,6514300,9.44
14-Jan-05,9.12,9.38,9.11,9.29,10246000,9.29
13-Jan-05,9.24,9.26,9.02,9.07,7613700,9.07
12-Jan-05,9.30,9.32,9.05,9.23,7660200,9.23
11-Jan-05,9.27,9.36,9.15,9.20,7494300,9.20
10-Jan-05,9.42,9.57,9.30,9.30,7932000,9.30
7-Jan-05,9.50,9.57,9.25,9.44,11544300,9.44
6-Jan-05,9.70,9.81,9.33,9.35,23336300,9.35
5-Jan-05,10.31,10.31,9.58,9.61,39543100,9.61
4-Jan-05,10.20,10.34,9.88,9.88,19822100,9.88
3-Jan-05,10.61,10.68,10.35,10.44,10375000,10.44
31-Dec-04,10.48,10.66,10.43,10.49,7681900,10.49
30-Dec-04,9.94,10.47,9.91,10.42,11334800,10.42
29-Dec-04,9.89,10.00,9.88,9.94,5487900,9.94
28-Dec-04,10.05,10.09,9.90,9.92,5815300,9.92
27-Dec-04,9.85,10.06,9.78,10.04,9482200,10.04
23-Dec-04,9.83,9.90,9.75,9.75,3918300,9.75
22-Dec-04,9.94,9.98,9.74,9.90,6255800,9.90
21-Dec-04,9.67,9.95,9.67,9.95,4071100,9.95
20-Dec-04,10.04,10.04,9.71,9.73,7441600,9.73
17-Dec-04,9.96,10.13,9.90,9.97,10591900,9.97
16-Dec-04,10.43,10.50,9.96,9.96,9844200,9.96
15-Dec-04,9.96,10.48,9.95,10.42,13977200,10.42
14-Dec-04,10.01,10.13,9.82,9.87,10065000,9.87
13-Dec-04,10.04,10.35,9.80,9.97,11622900,9.97
10-Dec-04,9.94,10.08,9.91,9.99,4733000,9.99
9-Dec-04,9.83,10.16,9.75,10.10,8437700,10.10
8-Dec-04,10.30,10.32,10.00,10.01,8466000,10.01
7-Dec-04,10.56,10.85,10.25,10.26,11312500,10.26
6-Dec-04,10.46,10.66,10.38,10.52,8995000,10.52
3-Dec-04,10.27,10.51,10.26,10.38,9075200,10.38
2-Dec-04,10.28,10.43,10.10,10.31,6987800,10.31
1-Dec-04,10.15,10.45,10.13,10.45,8295400,10.45
30-Nov-04,10.30,10.33,10.00,10.08,7078700,10.08
29-Nov-04,10.25,10.40,10.06,10.29,7148600,10.29
26-Nov-04,10.14,10.16,10.01,10.05,2043400,10.05
24-Nov-04,10.07,10.17,9.94,10.16,6443600,10.16
23-Nov-04,10.09,10.18,9.82,9.89,9288600,9.89
22-Nov-04,9.89,10.13,9.72,10.08,10045600,10.08
19-Nov-04,10.21,10.26,9.88,9.91,7114900,9.91
18-Nov-04,10.19,10.31,9.95,10.02,8759700,10.02
17-Nov-04,9.71,10.20,9.71,10.18,15430700,10.18
16-Nov-04,9.68,9.75,9.55,9.63,6838400,9.63
15-Nov-04,9.40,9.85,9.40,9.78,6774900,9.78
12-Nov-04,9.49,9.60,9.42,9.56,6793600,9.56
11-Nov-04,9.58,9.63,9.42,9.53,7895000,9.53
10-Nov-04,9.45,9.58,9.27,9.32,6077500,9.32
9-Nov-04,9.36,9.53,9.34,9.44,5193000,9.44
8-Nov-04,9.32,9.49,9.27,9.44,6572100,9.44
5-Nov-04,9.67,9.67,9.34,9.38,5781500,9.38
4-Nov-04,9.40,9.59,9.28,9.59,4432000,9.59
3-Nov-04,9.89,9.89,9.28,9.38,8017400,9.38
2-Nov-04,9.57,9.75,9.47,9.62,6153000,9.62
1-Nov-04,9.37,9.60,9.36,9.52,3933500,9.52
29-Oct-04,9.50,9.50,9.27,9.50,3854900,9.50
28-Oct-04,9.42,9.55,9.37,9.50,4713100,9.50
27-Oct-04,9.21,9.57,9.15,9.57,6717000,9.57
26-Oct-04,9.02,9.29,8.92,9.21,8809800,9.21
25-Oct-04,9.02,9.13,8.89,9.02,4397500,9.02
22-Oct-04,9.48,9.48,9.03,9.06,4575700,9.06
21-Oct-04,9.26,9.46,9.15,9.45,7129500,9.45
20-Oct-04,9.30,9.34,9.06,9.16,6336900,9.16
19-Oct-04,9.52,9.69,9.30,9.37,9708000,9.37
18-Oct-04,9.00,9.41,8.98,9.38,7099100,9.38
15-Oct-04,8.90,9.23,8.86,9.03,7009700,9.03
14-Oct-04,9.00,9.01,8.78,8.88,5864100,8.88
13-Oct-04,9.28,9.36,8.95,8.99,5548300,8.99
12-Oct-04,9.01,9.15,8.90,9.14,6431500,9.14
11-Oct-04,9.09,9.31,9.07,9.19,4923100,9.19
8-Oct-04,9.36,9.42,9.13,9.16,6568700,9.16
7-Oct-04,9.58,9.60,9.31,9.35,8195400,9.35
6-Oct-04,9.42,9.54,9.33,9.54,8533200,9.54
5-Oct-04,9.24,9.59,9.21,9.44,15848600,9.44
4-Oct-04,9.52,9.73,9.27,9.34,39768400,9.34
1-Oct-04,7.69,8.25,7.68,8.19,17381900,8.19
30-Sep-04,7.54,7.60,7.37,7.54,9601200,7.54
29-Sep-04,7.49,7.60,7.44,7.47,10174000,7.47
28-Sep-04,7.60,7.64,7.42,7.53,7273900,7.53
27-Sep-04,7.68,7.77,7.51,7.55,7607700,7.55
24-Sep-04,7.72,7.85,7.65,7.75,5686000,7.75
23-Sep-04,7.73,7.83,7.64,7.74,7896200,7.74
22-Sep-04,7.93,7.97,7.72,7.74,7174800,7.74
21-Sep-04,8.00,8.07,7.94,8.04,4548900,8.04
20-Sep-04,8.01,8.11,7.91,7.96,6773100,7.96
17-Sep-04,8.15,8.27,7.98,8.10,7082900,8.10
16-Sep-04,8.05,8.23,7.95,8.11,6595600,8.11
15-Sep-04,8.24,8.24,7.85,7.94,12127600,7.94
14-Sep-04,8.43,8.47,8.22,8.35,7355300,8.35
13-Sep-04,8.38,8.61,8.25,8.43,14838100,8.43
10-Sep-04,7.79,8.18,7.70,8.17,13679600,8.17
9-Sep-04,7.50,7.59,7.44,7.54,5983800,7.54
8-Sep-04,7.63,7.69,7.42,7.42,5370300,7.42
7-Sep-04,7.52,7.78,7.52,7.70,6671700,7.70
3-Sep-04,7.65,7.76,7.46,7.47,6243700,7.47
2-Sep-04,7.63,7.81,7.48,7.76,5012100,7.76
1-Sep-04,7.55,7.70,7.41,7.61,5445300,7.61
31-Aug-04,7.57,7.64,7.40,7.61,6752400,7.61
30-Aug-04,7.74,7.74,7.53,7.60,5335000,7.60
27-Aug-04,7.81,7.86,7.71,7.82,2269500,7.82
26-Aug-04,7.80,7.84,7.68,7.74,4142100,7.74
