Date,Open,High,Low,Close,Volume,Adj. Close*
11-May-05,101.81,104.12,101.81,103.97,2114200,103.97
10-May-05,102.77,102.98,101.41,101.94,1565000,101.94
9-May-05,102.02,103.10,101.85,103.03,2045100,103.03
6-May-05,102.50,102.97,101.85,102.03,2598600,102.03
5-May-05,102.12,102.90,101.83,102.39,1694300,102.39
4-May-05,101.39,102.50,100.62,102.21,2195700,102.21
3-May-05,101.04,101.80,100.50,100.96,2726200,100.96
2-May-05,101.90,102.20,100.72,101.46,1681300,101.46
29-Apr-05,100.60,101.92,100.05,101.72,2096500,101.72
28-Apr-05,100.69,101.62,99.70,99.84,2190600,99.84
27-Apr-05,101.07,101.92,100.02,101.58,1918900,101.58
26-Apr-05,102.00,102.65,101.20,101.29,1571400,101.29
25-Apr-05,102.28,102.93,101.72,102.27,1512500,102.27
22-Apr-05,102.39,102.79,100.35,101.56,1868700,101.56
21-Apr-05,100.00,102.41,99.96,102.39,2545900,102.39
20-Apr-05,101.00,101.18,98.90,99.04,3125400,99.04
19-Apr-05,98.60,98.95,97.80,98.27,3048500,98.27
18-Apr-05,97.75,98.63,96.85,98.20,2498500,98.20
15-Apr-05,99.66,100.05,97.40,97.55,3153000,97.55
14-Apr-05,100.83,102.16,99.60,99.65,2439500,99.65
13-Apr-05,102.08,102.82,100.76,101.05,1623400,101.05
12-Apr-05,100.57,102.25,99.46,102.08,1981600,102.08
11-Apr-05,101.42,101.42,100.27,100.97,998000,100.97
8-Apr-05,101.68,102.00,100.81,100.81,1128600,100.81
7-Apr-05,100.77,101.83,100.20,101.67,1632400,101.67
6-Apr-05,100.05,100.70,99.92,100.39,1399500,100.39
5-Apr-05,99.70,99.99,99.20,99.76,2531200,99.76
4-Apr-05,100.35,100.50,99.32,99.85,2435600,99.85
1-Apr-05,102.14,102.18,100.21,100.94,2007100,100.94
31-Mar-05,102.30,102.75,101.37,101.66,1830600,101.66
30-Mar-05,101.40,102.89,101.06,102.73,1473400,102.73
29-Mar-05,101.92,103.00,101.25,101.46,1729600,101.46
28-Mar-05,102.18,102.93,101.75,101.92,1541200,101.92
24-Mar-05,102.35,102.84,101.75,101.93,1361800,101.93
23-Mar-05,102.89,103.07,101.73,101.86,1979500,101.86
22-Mar-05,103.85,104.35,102.74,102.74,1690700,102.74
21-Mar-05,104.00,104.50,103.60,103.83,1654700,103.83
18-Mar-05,103.33,104.70,102.00,103.75,4589600,103.75
17-Mar-05,102.00,102.97,101.69,102.37,1862800,102.37
16-Mar-05,102.31,102.85,101.07,101.51,2421700,101.51
15-Mar-05,103.00,104.20,102.30,102.30,1892600,102.30
14-Mar-05,101.43,103.33,101.36,102.98,1949900,102.98
11-Mar-05,101.90,102.13,101.00,101.36,1724600,101.36
10-Mar-05,101.15,102.12,100.88,101.83,1282300,101.83
9-Mar-05,102.26,102.47,100.40,100.54,1899000,100.54
8-Mar-05,101.42,102.90,101.36,102.26,1732000,102.26
7-Mar-05,101.15,102.64,101.03,101.30,1511600,101.30
4-Mar-05,100.68,101.45,100.13,100.74,2168300,100.74
3-Mar-05,99.95,100.30,98.69,99.71,1786300,99.71
2-Mar-05,99.02,100.47,99.01,99.53,1605700,99.53
1-Mar-05,99.87,100.60,99.61,99.90,1634500,99.90
28-Feb-05,100.50,101.08,99.69,99.88,1620500,99.88
25-Feb-05,100.42,101.32,99.95,101.02,1188000,101.02
24-Feb-05,99.90,100.14,98.70,100.02,1561800,100.02
23-Feb-05,99.58,100.32,99.02,99.75,2188700,99.75
22-Feb-05,100.40,100.68,98.64,98.64,2463200,98.64
18-Feb-05,101.50,101.50,100.50,100.91,1647700,100.91
17-Feb-05,102.70,103.06,101.32,101.50,1921000,101.50
16-Feb-05,102.33,103.11,102.16,102.85,2065500,102.85
15-Feb-05,101.31,102.82,100.95,102.77,2554600,102.33
14-Feb-05,100.90,101.43,100.60,101.30,1316300,100.87
11-Feb-05,102.25,102.77,101.10,101.40,3042400,100.97
10-Feb-05,100.49,102.97,100.48,102.66,2268300,102.22
9-Feb-05,100.75,100.82,99.93,100.50,1831900,100.07
8-Feb-05,99.75,101.30,99.35,101.00,1826900,100.57
7-Feb-05,101.45,101.50,99.63,100.18,1884700,99.75
4-Feb-05,100.20,101.72,100.00,101.72,2370500,101.28
3-Feb-05,99.63,100.51,99.10,100.50,1704400,100.07
2-Feb-05,99.47,99.82,98.05,99.63,3283900,99.20
1-Feb-05,100.40,100.51,99.72,100.02,2570400,99.59
31-Jan-05,102.01,102.25,100.04,100.68,2611600,100.25
28-Jan-05,102.17,102.93,101.04,102.00,2239400,101.56
27-Jan-05,100.35,102.65,99.50,102.16,2639300,101.72
26-Jan-05,99.75,101.05,99.52,100.82,2269700,100.39
25-Jan-05,99.37,100.95,99.02,99.58,2165500,99.15
24-Jan-05,100.28,100.33,98.94,99.00,1980800,98.58
21-Jan-05,100.75,101.64,99.70,100.08,3079400,99.65
20-Jan-05,100.80,101.55,99.10,99.78,2931000,99.35
19-Jan-05,102.00,102.35,100.84,101.05,1446000,100.62
18-Jan-05,100.55,102.60,100.50,102.20,2007900,101.76
14-Jan-05,100.60,102.35,100.60,100.94,1502600,100.51
13-Jan-05,101.94,102.10,100.20,100.60,1692000,100.17
12-Jan-05,100.25,102.25,100.02,101.94,2893000,101.50
11-Jan-05,99.20,100.75,99.20,100.16,1747300,99.73
10-Jan-05,99.85,101.03,99.36,99.74,1908900,99.31
7-Jan-05,101.25,101.50,99.32,100.02,1838400,99.59
6-Jan-05,100.80,102.02,100.72,101.11,1971400,100.68
5-Jan-05,102.12,102.75,100.80,101.05,2377100,100.62
4-Jan-05,103.00,103.63,101.81,101.81,2379700,101.37
3-Jan-05,103.22,104.32,102.65,103.00,2348800,102.56
31-Dec-04,103.45,103.96,103.05,103.35,961800,102.91
30-Dec-04,104.35,104.77,103.76,103.76,911400,103.32
29-Dec-04,105.17,105.17,103.26,103.96,1168700,103.51
28-Dec-04,104.95,105.20,104.30,104.74,1235300,104.29
27-Dec-04,105.75,106.28,104.27,104.27,1769800,103.82
23-Dec-04,105.40,106.05,105.39,105.52,1652200,105.07
22-Dec-04,103.40,105.21,103.26,105.01,1885300,104.56
21-Dec-04,103.65,104.52,103.29,103.85,2357800,103.41
